,From,To,edge
1,Pete Sessions,Erik Paulsen,1
3,Pete Sessions,Robert B. Aderholt,1
7,Pete Sessions,Robert E. Latta,1
8,Pete Sessions,Patrick Mchenry,1
11,Pete Sessions,Marsha Blackburn,1
12,Pete Sessions,Steve Womack,1
13,Pete Sessions,Darin Lahood,1
19,Pete Sessions,Gregg Harper,1
21,Pete Sessions,Mike Bishop,1
23,Pete Sessions,David P. Roe,1
28,Pete Sessions,Barry Loudermilk,1
30,Pete Sessions,K. Michael Conaway,1
45,Pete Sessions,Michael C. Burgess,1
47,Pete Sessions,Paul Mitchell,1
51,Pete Sessions,Tom Cole,1
57,Pete Sessions,Trent Kelly,1
59,Pete Sessions,Jeff Fortenberry,1
60,Pete Sessions,Robert W. Goodlatte,1
62,Pete Sessions,Mo Brooks,1
66,Pete Sessions,Ted S. Yoho,1
75,Pete Sessions,Kevin Brady,1
77,Pete Sessions,Dennis A. Ross,1
78,Pete Sessions,Tom Marino,1
80,Pete Sessions,Glenn Thompson,1
87,Pete Sessions,Diane Black,1
88,Pete Sessions,Luke Messer,1
93,Pete Sessions,James B. Renacci,1
94,Pete Sessions,Brad R. Wenstrup,1
99,Pete Sessions,Tom Graves,1
100,Pete Sessions,Robert Pittenger,1
104,Pete Sessions,Rod Blum,1
106,Pete Sessions,Jodey C. Arrington,1
108,Pete Sessions,Bob Gibbs,1
114,Pete Sessions,Steve Stivers,1
115,Pete Sessions,Keith J. Rothfus,1
117,Pete Sessions,Martha Roby,1
124,Pete Sessions,Randy Hultgren,1
128,Pete Sessions,Ted Budd,1
129,Pete Sessions,Sam Johnson,1
132,Pete Sessions,Bradley Byrne,1
136,Pete Sessions,Doug Lamborn,1
137,Pete Sessions,Steven M. Palazzo,1
139,Pete Sessions,Trey Hollingsworth,1
140,Pete Sessions,Steve King,1
142,Pete Sessions,Rob Bishop,1
145,Pete Sessions,Bill Johnson,1
146,Pete Sessions,Jim Bridenstine,1
147,Pete Sessions,Bill Huizenga,1
149,Pete Sessions,Kevin Cramer,1
154,Pete Sessions,Dan Newhouse,1
