,From,To,edge
91,Harry M. Reid,Mitch Mcconnell,1
107,David Vitter,John Cornyn,1
109,David Vitter,Tom Coburn,1
111,David Vitter,Rob Portman,1
112,David Vitter,John Barrasso,1
117,David Vitter,Mike Johanns,1
118,David Vitter,Roy Blunt,1
124,David Vitter,John Hoeven,1
132,David Vitter,Orrin Grant Hatch,1
138,David Vitter,Charles Ernest Grassley,1
139,David Vitter,Johnny Isakson,1
151,David Vitter,Marco Rubio,1
152,David Vitter,Thad Cochran,1
154,David Vitter,Lamar Alexander,1
155,David Vitter,Mike Lee,1
159,David Vitter,Ron Johnson,1
166,David Vitter,Pat Toomey,1
167,David Vitter,Richard Burr,1
170,David Vitter,Jerry Moran,1
172,David Vitter,Pat Roberts,1
174,David Vitter,John R. Thune,1
176,David Vitter,Michael B. Enzi,1
177,David Vitter,Daniel Ray Coats,1
181,David Vitter,Saxby Chambliss,1
183,David Vitter,Jim Inhofe,1
186,David Vitter,Ted Cruz,1
187,David Vitter,Lindsey O. Graham,1
188,David Vitter,Jeff Flake,1
190,David Vitter,John Boozman,1
192,David Vitter,Kelly Ayotte,1
193,David Vitter,Deb Fischer,1
194,David Vitter,James E. Risch,1
195,David Vitter,Mitch Mcconnell,1
196,David Vitter,Roger F. Wicker,1
199,David Vitter,Michael D. Crapo,1
200,David Vitter,Richard Craig Shelby,1
202,David Vitter,Tim Scott,1
207,David Vitter,Jeff Sessions,1
217,Mark R. Warner,Angus King,1
225,Mark R. Warner,Mark Udall,1
229,Mark R. Warner,Jeanne Shaheen,1
233,Mark R. Warner,Mark Steven Kirk,1
234,Mark R. Warner,Benjamin L. Cardin,1
237,Mark R. Warner,Claire Mccaskill,1
246,Mark R. Warner,Amy Klobuchar,1
250,Mark R. Warner,Mark Begich,1
251,Mark R. Warner,Timothy Kaine,1
252,Mark R. Warner,Kay R. Hagan,1
254,Mark R. Warner,Barbara Ann Mikulski,1
260,Mark R. Warner,Clarence William Nelson,1
264,Mark R. Warner,Mary Landrieu,1
268,Mark R. Warner,Thomas R. Carper,1
277,Mark R. Warner,Mark Lunsford Pryor,1
283,Mark R. Warner,Christopher A. Coons,1
286,Mark R. Warner,Joe Manchin,1
293,Mark R. Warner,Joe Donnelly,1
296,Mark R. Warner,Kelly Ayotte,1
302,Mark R. Warner,Heidi Heitkamp,1
313,John Cornyn,David Vitter,1
317,John Cornyn,Tom Coburn,1
319,John Cornyn,Rob Portman,1
320,John Cornyn,John Barrasso,1
325,John Cornyn,Mike Johanns,1
326,John Cornyn,Roy Blunt,1
332,John Cornyn,John Hoeven,1
335,John Cornyn,Bob Corker,1
340,John Cornyn,Orrin Grant Hatch,1
346,John Cornyn,Charles Ernest Grassley,1
347,John Cornyn,Johnny Isakson,1
348,John Cornyn,Dean Heller,1
359,John Cornyn,Marco Rubio,1
360,John Cornyn,Thad Cochran,1
362,John Cornyn,Lamar Alexander,1
363,John Cornyn,Mike Lee,1
367,John Cornyn,Ron Johnson,1
374,John Cornyn,Pat Toomey,1
375,John Cornyn,Richard Burr,1
378,John Cornyn,Jerry Moran,1
380,John Cornyn,Pat Roberts,1
382,John Cornyn,John R. Thune,1
384,John Cornyn,Michael B. Enzi,1
385,John Cornyn,Daniel Ray Coats,1
389,John Cornyn,Saxby Chambliss,1
391,John Cornyn,Jim Inhofe,1
394,John Cornyn,Ted Cruz,1
395,John Cornyn,Lindsey O. Graham,1
396,John Cornyn,Jeff Flake,1
398,John Cornyn,John Boozman,1
400,John Cornyn,Kelly Ayotte,1
401,John Cornyn,Deb Fischer,1
402,John Cornyn,James E. Risch,1
403,John Cornyn,Mitch Mcconnell,1
404,John Cornyn,Roger F. Wicker,1
407,John Cornyn,Michael D. Crapo,1
408,John Cornyn,Richard Craig Shelby,1
409,John Cornyn,John Sidney Mccain,1
410,John Cornyn,Tim Scott,1
415,John Cornyn,Jeff Sessions,1
426,Robert Menendez,Charles E. Schumer,1
427,Robert Menendez,Frank R. Lautenberg,1
435,Robert Menendez,Richard Blumenthal,1
437,Robert Menendez,Jeanne Shaheen,1
438,Robert Menendez,Sherrod Brown,1
440,Robert Menendez,Christopher Murphy,1
442,Robert Menendez,Benjamin L. Cardin,1
447,Robert Menendez,Carl Milton Levin,1
448,Robert Menendez,Jeff Merkley,1
455,Robert Menendez,John F. Reed,1
457,Robert Menendez,Kirsten E. Gillibrand,1
461,Robert Menendez,Richard J. Durbin,1
462,Robert Menendez,Barbara Ann Mikulski,1
468,Robert Menendez,Clarence William Nelson,1
469,Robert Menendez,Mazie K. Hirono,1
473,Robert Menendez,Deborah Ann Stabenow,1
477,Robert Menendez,Dianne Feinstein,1
481,Robert Menendez,Barbara Boxer,1
487,Robert Menendez,Elizabeth A. Warren,1
490,Robert Menendez,Sheldon Whitehouse,1
491,Robert Menendez,Christopher A. Coons,1
509,Robert Menendez,Edward J. Markey,1
516,Robert Menendez,Cory A. Booker,1
521,Tom Coburn,David Vitter,1
523,Tom Coburn,John Cornyn,1
526,Tom Coburn,Rand Paul,1
527,Tom Coburn,Rob Portman,1
528,Tom Coburn,John Barrasso,1
533,Tom Coburn,Mike Johanns,1
534,Tom Coburn,Roy Blunt,1
540,Tom Coburn,John Hoeven,1
543,Tom Coburn,Bob Corker,1
548,Tom Coburn,Orrin Grant Hatch,1
554,Tom Coburn,Charles Ernest Grassley,1
555,Tom Coburn,Johnny Isakson,1
567,Tom Coburn,Marco Rubio,1
568,Tom Coburn,Thad Cochran,1
570,Tom Coburn,Lamar Alexander,1
571,Tom Coburn,Mike Lee,1
575,Tom Coburn,Ron Johnson,1
582,Tom Coburn,Pat Toomey,1
583,Tom Coburn,Richard Burr,1
586,Tom Coburn,Jerry Moran,1
588,Tom Coburn,Pat Roberts,1
590,Tom Coburn,John R. Thune,1
592,Tom Coburn,Michael B. Enzi,1
593,Tom Coburn,Daniel Ray Coats,1
597,Tom Coburn,Saxby Chambliss,1
599,Tom Coburn,Jim Inhofe,1
602,Tom Coburn,Ted Cruz,1
603,Tom Coburn,Lindsey O. Graham,1
604,Tom Coburn,Jeff Flake,1
606,Tom Coburn,John Boozman,1
608,Tom Coburn,Kelly Ayotte,1
609,Tom Coburn,Deb Fischer,1
610,Tom Coburn,James E. Risch,1
611,Tom Coburn,Mitch Mcconnell,1
612,Tom Coburn,Roger F. Wicker,1
615,Tom Coburn,Michael D. Crapo,1
616,Tom Coburn,Richard Craig Shelby,1
617,Tom Coburn,John Sidney Mccain,1
618,Tom Coburn,Tim Scott,1
623,Tom Coburn,Jeff Sessions,1
629,Rand Paul,Tom Coburn,1
632,Rand Paul,John Barrasso,1
675,Rand Paul,Mike Lee,1
679,Rand Paul,Ron Johnson,1
686,Rand Paul,Pat Toomey,1
696,Rand Paul,Michael B. Enzi,1
697,Rand Paul,Daniel Ray Coats,1
706,Rand Paul,Ted Cruz,1
713,Rand Paul,Deb Fischer,1
714,Rand Paul,James E. Risch,1
715,Rand Paul,Mitch Mcconnell,1
720,Rand Paul,Richard Craig Shelby,1
722,Rand Paul,Tim Scott,1
