,From,To,edge
2,James P. Mcgovern,Barbara Lee,1
4,James P. Mcgovern,Eddie Bernice Johnson,1
5,James P. Mcgovern,Donald M. Payne,1
7,James P. Mcgovern,Marcia L. Fudge,1
8,James P. Mcgovern,G. K. Butterfield,1
11,James P. Mcgovern,Marcy Kaptur,1
13,James P. Mcgovern,John B. Larson,1
14,James P. Mcgovern,Bobby L. Rush,1
15,James P. Mcgovern,Filemon Vela,1
16,James P. Mcgovern,Alma S. Adams,1
17,James P. Mcgovern,Doris O. Matsui,1
20,James P. Mcgovern,Ted Lieu,1
21,James P. Mcgovern,Janice D. Schakowsky,1
22,James P. Mcgovern,Joyce Beatty,1
25,James P. Mcgovern,Debbie Mucarsel-Powell,1
26,James P. Mcgovern,Peter A. Defazio,1
28,James P. Mcgovern,Wm. Lacy Clay,1
30,James P. Mcgovern,Nita M. Lowey,1
32,James P. Mcgovern,Jared Huffman,1
33,James P. Mcgovern,Dina Titus,1
38,James P. Mcgovern,Kathy Castor,1
39,James P. Mcgovern,Raul M. Grijalva,1
41,James P. Mcgovern,Andy Levin,1
42,James P. Mcgovern,Jerrold Nadler,1
43,James P. Mcgovern,Harley Rouda,1
44,James P. Mcgovern,Carolyn B. Maloney,1
45,James P. Mcgovern,Tim Ryan,1
46,James P. Mcgovern,Lois Frankel,1
47,James P. Mcgovern,Bradley Scott Schneider,1
49,James P. Mcgovern,Norma J. Torres,1
50,James P. Mcgovern,Eliot L. Engel,1
51,James P. Mcgovern,Jamie Raskin,1
53,James P. Mcgovern,Brad Sherman,1
54,James P. Mcgovern,Karen Bass,1
55,James P. Mcgovern,Ayanna Pressley,1
60,James P. Mcgovern,David N. Cicilline,1
62,James P. Mcgovern,Mark Desaulnier,1
63,James P. Mcgovern,Alcee L. Hastings,1
64,James P. Mcgovern,Zoe Lofgren,1
65,James P. Mcgovern,Earl Blumenauer,1
66,James P. Mcgovern,Bonnie Watson Coleman,1
69,James P. Mcgovern,Joseph D. Morelle,1
73,James P. Mcgovern,John Lewis,1
74,James P. Mcgovern,Kathleen M. Rice,1
76,James P. Mcgovern,Tulsi Gabbard,1
77,James P. Mcgovern,Sylvia R. Garcia,1
78,James P. Mcgovern,Joe Neguse,1
79,James P. Mcgovern,J. Luis Correa,1
81,James P. Mcgovern,Jahana Hayes,1
82,James P. Mcgovern,Elissa Slotkin,1
84,James P. Mcgovern,Debra A. Haaland,1
85,James P. Mcgovern,Debbie Dingell,1
86,James P. Mcgovern,Lisa Blunt Rochester,1
88,James P. Mcgovern,Ann M. Kuster,1
90,James P. Mcgovern,Rosa Delauro,1
92,James P. Mcgovern,Ilhan Omar,1
93,James P. Mcgovern,Donald S. Beyer,1
96,James P. Mcgovern,Al Green,1
99,James P. Mcgovern,Betty Mccollum,1
101,James P. Mcgovern,Theodore E. Deutch,1
105,James P. Mcgovern,Grace Meng,1
109,James P. Mcgovern,Sheila Jackson Lee,1
110,James P. Mcgovern,Lucille Roybal-Allard,1
112,James P. Mcgovern,John A. Yarmuth,1
115,James P. Mcgovern,Ro Khanna,1
116,James P. Mcgovern,Jackie Speier,1
119,James P. Mcgovern,Ruben Gallego,1
120,James P. Mcgovern,Linda T. Sanchez,1
121,James P. Mcgovern,Joaquin Castro,1
123,James P. Mcgovern,Pramila Jayapal,1
130,James P. Mcgovern,Adam B. Schiff,1
131,James P. Mcgovern,Seth Moulton,1
133,James P. Mcgovern,Tom Malinowski,1
136,James P. Mcgovern,Steve Cohen,1
138,James P. Mcgovern,Jerry Mcnerney,1
139,James P. Mcgovern,Susie Lee,1
141,James P. Mcgovern,Anthony G. Brown,1
143,James P. Mcgovern,Cedric L. Richmond,1
144,James P. Mcgovern,Mark Pocan,1
148,James P. Mcgovern,John P. Sarbanes,1
149,James P. Mcgovern,Frederica S. Wilson,1
150,James P. Mcgovern,Brenda L. Lawrence,1
152,James P. Mcgovern,Tony Cardenas,1
153,James P. Mcgovern,Adriano Espaillat,1
155,James P. Mcgovern,Katie Hill,1
156,James P. Mcgovern,Steven Horsford,1
158,James P. Mcgovern,Gregory W. Meeks,1
159,James P. Mcgovern,Jimmy Panetta,1
161,James P. Mcgovern,Mike Quigley,1
166,James P. Mcgovern,Juan Vargas,1
169,James P. Mcgovern,Scott H. Peters,1
170,James P. Mcgovern,Bill Foster,1
171,James P. Mcgovern,Lloyd Doggett,1
173,James P. Mcgovern,Paul Tonko,1
175,James P. Mcgovern,Salud O. Carbajal,1
176,James P. Mcgovern,"Henry C. ""Hank"" Johnson",1
178,James P. Mcgovern,Elijah E. Cummings,1
179,James P. Mcgovern,Stephen F. Lynch,1
180,James P. Mcgovern,John Garamendi,1
181,James P. Mcgovern,Pete Aguilar,1
183,James P. Mcgovern,Judy Chu,1
185,James P. Mcgovern,Gerald E. Connolly,1
186,James P. Mcgovern,Joe Courtney,1
189,James P. Mcgovern,Denny Heck,1
196,James P. Mcgovern,Eleanor Holmes Norton,1
198,James P. Mcgovern,Chellie Pingree,1
199,James P. Mcgovern,David E. Price,1
202,James P. Mcgovern,"Robert C. ""Bobby"" Scott",1
204,James P. Mcgovern,Jose E. Serrano,1
207,James P. Mcgovern,Debbie Wasserman Schultz,1
209,James P. Mcgovern,Grace F. Napolitano,1
211,James P. Mcgovern,Robin L. Kelly,1
213,James P. Mcgovern,Emanuel Cleaver,1
216,James P. Mcgovern,Derek Kilmer,1
218,James P. Mcgovern,Cheri Bustos,1
219,James P. Mcgovern,Albio Sires,1
220,James P. Mcgovern,Mark Takano,1
225,James P. Mcgovern,William J. Pascrell,1
226,James P. Mcgovern,Anna G. Eshoo,1
229,James P. Mcgovern,James R. Langevin,1
230,James P. Mcgovern,Daniel T. Kildee,1
235,James P. Mcgovern,Diana Degette,1
