,From,To,edge
550,Jerry Moran,Steve Daines,1
551,Jerry Moran,Pat Roberts,1
555,Jerry Moran,Joni Ernst,1
565,Jerry Moran,Roger F. Wicker,1
568,Jerry Moran,John Neely Kennedy,1
575,Jerry Moran,Pat Toomey,1
585,Jerry Moran,James Lankford,1
588,Jerry Moran,John R. Thune,1
590,Jerry Moran,Roy Blunt,1
595,Jerry Moran,Joe Donnelly,1
597,Jerry Moran,Mike Rounds,1
598,Jerry Moran,Tom Cotton,1
599,Jerry Moran,Lindsey O. Graham,1
601,Jerry Moran,John Barrasso,1
603,Jerry Moran,Thad Cochran,1
604,Jerry Moran,Jim Inhofe,1
605,Jerry Moran,John Boozman,1
606,Jerry Moran,Tim Scott,1
610,Jerry Moran,Thomas Roland Tillis,1
611,Jerry Moran,James E. Risch,1
614,Jerry Moran,Bob Corker,1
615,Jerry Moran,Richard Craig Shelby,1
616,Jerry Moran,Ben Sasse,1
619,Jerry Moran,David Alfred Perdue,1
622,Jerry Moran,Cindy Hyde-Smith,1
640,Charles Ernest Grassley,Deb Fischer,1
655,Charles Ernest Grassley,Pat Roberts,1
659,Charles Ernest Grassley,Joni Ernst,1
672,Charles Ernest Grassley,John Neely Kennedy,1
694,Charles Ernest Grassley,Roy Blunt,1
710,Charles Ernest Grassley,Tim Scott,1
714,Charles Ernest Grassley,Thomas Roland Tillis,1
719,Charles Ernest Grassley,Richard Craig Shelby,1
726,Charles Ernest Grassley,Cindy Hyde-Smith,1
729,Timothy Kaine,Benjamin L. Cardin,1
736,Timothy Kaine,Ron Wyden,1
737,Timothy Kaine,Jeff Merkley,1
739,Timothy Kaine,Angus King,1
746,Timothy Kaine,Brian Schatz,1
748,Timothy Kaine,Richard Blumenthal,1
749,Timothy Kaine,Maria Cantwell,1
750,Timothy Kaine,Tammy Baldwin,1
751,Timothy Kaine,Christopher Murphy,1
755,Timothy Kaine,Bob Casey,1
760,Timothy Kaine,Dianne Feinstein,1
761,Timothy Kaine,Martin Heinrich,1
762,Timothy Kaine,Edward J. Markey,1
764,Timothy Kaine,Kirsten E. Gillibrand,1
