,From,To,edge
1,John Hoeven,Tim Scott,1
3,John Hoeven,James E. Risch,1
9,John Hoeven,Rob Portman,1
11,John Hoeven,Joe Manchin,1
14,John Hoeven,Thad Cochran,1
15,John Hoeven,Ron Johnson,1
20,John Hoeven,Jerry Moran,1
22,John Hoeven,John Barrasso,1
25,John Hoeven,Charles Ernest Grassley,1
27,John Hoeven,Roger F. Wicker,1
29,John Hoeven,Cory Gardner,1
35,John Hoeven,Heidi Heitkamp,1
41,John Hoeven,Johnny Isakson,1
42,John Hoeven,Roy Blunt,1
44,John Hoeven,Pat Toomey,1
49,John Hoeven,Richard Burr,1
56,John Hoeven,John R. Thune,1
58,John Hoeven,Steve Daines,1
61,John Hoeven,Michael B. Enzi,1
62,John Hoeven,Joe Donnelly,1
63,John Hoeven,Deb Fischer,1
64,John Hoeven,John Sidney Mccain,1
72,John Hoeven,Lindsey O. Graham,1
73,John Hoeven,John Cornyn,1
74,John Hoeven,Lisa Murkowski,1
77,John Hoeven,Michael D. Crapo,1
79,John Hoeven,Bill Cassidy,1
80,John Hoeven,Joni Ernst,1
81,John Hoeven,Shelley Moore Capito,1
83,John Hoeven,Mike Rounds,1
86,John Hoeven,Dan Sullivan,1
87,John Hoeven,Thomas Roland Tillis,1
88,John Hoeven,Pat Roberts,1
89,John Hoeven,Jim Inhofe,1
91,John Hoeven,Daniel Ray Coats,1
92,John Hoeven,Richard Craig Shelby,1
94,John Hoeven,James Lankford,1
95,John Hoeven,Bob Corker,1
96,John Hoeven,Jeff Sessions,1
97,John Hoeven,John Boozman,1
98,John Hoeven,Ben Sasse,1
99,John Hoeven,Tom Cotton,1
100,Tim Scott,John Hoeven,1
102,Tim Scott,David Vitter,1
103,Tim Scott,James E. Risch,1
109,Tim Scott,Rob Portman,1
110,Tim Scott,Orrin Grant Hatch,1
114,Tim Scott,Thad Cochran,1
115,Tim Scott,Ron Johnson,1
118,Tim Scott,Rand Paul,1
120,Tim Scott,Jerry Moran,1
122,Tim Scott,John Barrasso,1
125,Tim Scott,Charles Ernest Grassley,1
127,Tim Scott,Roger F. Wicker,1
128,Tim Scott,Mitch Mcconnell,1
129,Tim Scott,Cory Gardner,1
134,Tim Scott,Lamar Alexander,1
141,Tim Scott,Johnny Isakson,1
142,Tim Scott,Roy Blunt,1
144,Tim Scott,Pat Toomey,1
149,Tim Scott,Richard Burr,1
150,Tim Scott,Ted Cruz,1
152,Tim Scott,Marco Rubio,1
156,Tim Scott,John R. Thune,1
158,Tim Scott,Steve Daines,1
161,Tim Scott,Michael B. Enzi,1
163,Tim Scott,Deb Fischer,1
164,Tim Scott,John Sidney Mccain,1
166,Tim Scott,Kelly Ayotte,1
167,Tim Scott,Mike Lee,1
172,Tim Scott,Lindsey O. Graham,1
173,Tim Scott,John Cornyn,1
177,Tim Scott,Michael D. Crapo,1
178,Tim Scott,Jeff Flake,1
179,Tim Scott,Bill Cassidy,1
180,Tim Scott,Joni Ernst,1
181,Tim Scott,Shelley Moore Capito,1
183,Tim Scott,Mike Rounds,1
187,Tim Scott,Thomas Roland Tillis,1
188,Tim Scott,Pat Roberts,1
189,Tim Scott,Jim Inhofe,1
190,Tim Scott,David Alfred Perdue,1
191,Tim Scott,Daniel Ray Coats,1
192,Tim Scott,Richard Craig Shelby,1
194,Tim Scott,James Lankford,1
195,Tim Scott,Bob Corker,1
196,Tim Scott,Jeff Sessions,1
197,Tim Scott,John Boozman,1
198,Tim Scott,Ben Sasse,1
199,Tim Scott,Tom Cotton,1
201,David Vitter,Tim Scott,1
203,David Vitter,James E. Risch,1
214,David Vitter,Thad Cochran,1
222,David Vitter,John Barrasso,1
227,David Vitter,Roger F. Wicker,1
228,David Vitter,Mitch Mcconnell,1
244,David Vitter,Pat Toomey,1
250,David Vitter,Ted Cruz,1
258,David Vitter,Steve Daines,1
261,David Vitter,Michael B. Enzi,1
263,David Vitter,Deb Fischer,1
267,David Vitter,Mike Lee,1
272,David Vitter,Lindsey O. Graham,1
273,David Vitter,John Cornyn,1
277,David Vitter,Michael D. Crapo,1
279,David Vitter,Bill Cassidy,1
280,David Vitter,Joni Ernst,1
281,David Vitter,Shelley Moore Capito,1
287,David Vitter,Thomas Roland Tillis,1
288,David Vitter,Pat Roberts,1
289,David Vitter,Jim Inhofe,1
290,David Vitter,David Alfred Perdue,1
291,David Vitter,Daniel Ray Coats,1
292,David Vitter,Richard Craig Shelby,1
296,David Vitter,Jeff Sessions,1
297,David Vitter,John Boozman,1
298,David Vitter,Ben Sasse,1
299,David Vitter,Tom Cotton,1
300,James E. Risch,John Hoeven,1
301,James E. Risch,Tim Scott,1
302,James E. Risch,David Vitter,1
310,James E. Risch,Orrin Grant Hatch,1
314,James E. Risch,Thad Cochran,1
315,James E. Risch,Ron Johnson,1
318,James E. Risch,Rand Paul,1
320,James E. Risch,Jerry Moran,1
322,James E. Risch,John Barrasso,1
327,James E. Risch,Roger F. Wicker,1
328,James E. Risch,Mitch Mcconnell,1
329,James E. Risch,Cory Gardner,1
334,James E. Risch,Lamar Alexander,1
341,James E. Risch,Johnny Isakson,1
342,James E. Risch,Roy Blunt,1
349,James E. Risch,Richard Burr,1
350,James E. Risch,Ted Cruz,1
352,James E. Risch,Marco Rubio,1
356,James E. Risch,John R. Thune,1
358,James E. Risch,Steve Daines,1
361,James E. Risch,Michael B. Enzi,1
363,James E. Risch,Deb Fischer,1
364,James E. Risch,John Sidney Mccain,1
367,James E. Risch,Mike Lee,1
372,James E. Risch,Lindsey O. Graham,1
373,James E. Risch,John Cornyn,1
377,James E. Risch,Michael D. Crapo,1
378,James E. Risch,Jeff Flake,1
380,James E. Risch,Joni Ernst,1
381,James E. Risch,Shelley Moore Capito,1
383,James E. Risch,Mike Rounds,1
386,James E. Risch,Dan Sullivan,1
387,James E. Risch,Thomas Roland Tillis,1
388,James E. Risch,Pat Roberts,1
389,James E. Risch,Jim Inhofe,1
390,James E. Risch,David Alfred Perdue,1
391,James E. Risch,Daniel Ray Coats,1
392,James E. Risch,Richard Craig Shelby,1
394,James E. Risch,James Lankford,1
395,James E. Risch,Bob Corker,1
396,James E. Risch,Jeff Sessions,1
397,James E. Risch,John Boozman,1
398,James E. Risch,Ben Sasse,1
399,James E. Risch,Tom Cotton,1
407,Benjamin L. Cardin,Ron Wyden,1
408,Benjamin L. Cardin,Dianne Feinstein,1
412,Benjamin L. Cardin,Maria Cantwell,1
413,Benjamin L. Cardin,Sherrod Brown,1
416,Benjamin L. Cardin,Martin Heinrich,1
417,Benjamin L. Cardin,Charles E. Schumer,1
419,Benjamin L. Cardin,Richard J. Durbin,1
424,Benjamin L. Cardin,Patty Murray,1
426,Benjamin L. Cardin,Christopher A. Coons,1
430,Benjamin L. Cardin,Bernard Sanders,1
431,Benjamin L. Cardin,Robert Menendez,1
432,Benjamin L. Cardin,Jeff Merkley,1
433,Benjamin L. Cardin,Edward J. Markey,1
436,Benjamin L. Cardin,Brian Schatz,1
437,Benjamin L. Cardin,Al Franken,1
438,Benjamin L. Cardin,Jeanne Shaheen,1
439,Benjamin L. Cardin,Mazie K. Hirono,1
440,Benjamin L. Cardin,Kirsten E. Gillibrand,1
443,Benjamin L. Cardin,Richard Blumenthal,1
445,Benjamin L. Cardin,Christopher Murphy,1
446,Benjamin L. Cardin,Thomas R. Carper,1
447,Benjamin L. Cardin,Tammy Baldwin,1
448,Benjamin L. Cardin,Amy Klobuchar,1
451,Benjamin L. Cardin,Cory A. Booker,1
454,Benjamin L. Cardin,John F. Reed,1
455,Benjamin L. Cardin,Sheldon Whitehouse,1
459,Benjamin L. Cardin,Harry M. Reid,1
460,Benjamin L. Cardin,Elizabeth A. Warren,1
465,Benjamin L. Cardin,Gary C. Peters,1
468,Benjamin L. Cardin,Deborah Ann Stabenow,1
469,Benjamin L. Cardin,Barbara Boxer,1
471,Benjamin L. Cardin,Bob Casey,1
475,Benjamin L. Cardin,Patrick Joseph Leahy,1
485,Benjamin L. Cardin,Timothy Kaine,1
493,Benjamin L. Cardin,Barbara Ann Mikulski,1
506,Susan Margaret Collins,Mark Steven Kirk,1
514,Susan Margaret Collins,Thad Cochran,1
526,Susan Margaret Collins,Christopher A. Coons,1
538,Susan Margaret Collins,Jeanne Shaheen,1
548,Susan Margaret Collins,Amy Klobuchar,1
562,Susan Margaret Collins,Joe Donnelly,1
566,Susan Margaret Collins,Kelly Ayotte,1
581,Susan Margaret Collins,Shelley Moore Capito,1
582,Susan Margaret Collins,Angus King,1
605,Mark Steven Kirk,Susan Margaret Collins,1
620,Mark Steven Kirk,Jerry Moran,1
627,Mark Steven Kirk,Roger F. Wicker,1
642,Mark Steven Kirk,Roy Blunt,1
649,Mark Steven Kirk,Richard Burr,1
662,Mark Steven Kirk,Joe Donnelly,1
666,Mark Steven Kirk,Kelly Ayotte,1
672,Mark Steven Kirk,Lindsey O. Graham,1
680,Mark Steven Kirk,Joni Ernst,1
681,Mark Steven Kirk,Shelley Moore Capito,1
697,Mark Steven Kirk,John Boozman,1
704,Ron Wyden,Benjamin L. Cardin,1
712,Ron Wyden,Maria Cantwell,1
713,Ron Wyden,Sherrod Brown,1
716,Ron Wyden,Martin Heinrich,1
717,Ron Wyden,Charles E. Schumer,1
719,Ron Wyden,Richard J. Durbin,1
724,Ron Wyden,Patty Murray,1
726,Ron Wyden,Christopher A. Coons,1
730,Ron Wyden,Bernard Sanders,1
731,Ron Wyden,Robert Menendez,1
732,Ron Wyden,Jeff Merkley,1
733,Ron Wyden,Edward J. Markey,1
736,Ron Wyden,Brian Schatz,1
737,Ron Wyden,Al Franken,1
738,Ron Wyden,Jeanne Shaheen,1
739,Ron Wyden,Mazie K. Hirono,1
740,Ron Wyden,Kirsten E. Gillibrand,1
743,Ron Wyden,Richard Blumenthal,1
745,Ron Wyden,Christopher Murphy,1
747,Ron Wyden,Tammy Baldwin,1
748,Ron Wyden,Amy Klobuchar,1
751,Ron Wyden,Cory A. Booker,1
755,Ron Wyden,Sheldon Whitehouse,1
757,Ron Wyden,Michael F. Bennet,1
759,Ron Wyden,Harry M. Reid,1
760,Ron Wyden,Elizabeth A. Warren,1
765,Ron Wyden,Gary C. Peters,1
768,Ron Wyden,Deborah Ann Stabenow,1
769,Ron Wyden,Barbara Boxer,1
771,Ron Wyden,Bob Casey,1
775,Ron Wyden,Patrick Joseph Leahy,1
776,Ron Wyden,Tom Udall,1
785,Ron Wyden,Timothy Kaine,1
793,Ron Wyden,Barbara Ann Mikulski,1
804,Dianne Feinstein,Benjamin L. Cardin,1
812,Dianne Feinstein,Maria Cantwell,1
813,Dianne Feinstein,Sherrod Brown,1
816,Dianne Feinstein,Martin Heinrich,1
817,Dianne Feinstein,Charles E. Schumer,1
819,Dianne Feinstein,Richard J. Durbin,1
824,Dianne Feinstein,Patty Murray,1
826,Dianne Feinstein,Christopher A. Coons,1
830,Dianne Feinstein,Bernard Sanders,1
831,Dianne Feinstein,Robert Menendez,1
832,Dianne Feinstein,Jeff Merkley,1
833,Dianne Feinstein,Edward J. Markey,1
837,Dianne Feinstein,Al Franken,1
838,Dianne Feinstein,Jeanne Shaheen,1
839,Dianne Feinstein,Mazie K. Hirono,1
840,Dianne Feinstein,Kirsten E. Gillibrand,1
843,Dianne Feinstein,Richard Blumenthal,1
845,Dianne Feinstein,Christopher Murphy,1
846,Dianne Feinstein,Thomas R. Carper,1
847,Dianne Feinstein,Tammy Baldwin,1
848,Dianne Feinstein,Amy Klobuchar,1
851,Dianne Feinstein,Cory A. Booker,1
853,Dianne Feinstein,Clarence William Nelson,1
