,From,To,edge
2,Jeff Merkley,Timothy Kaine,1
4,Jeff Merkley,Bob Casey,1
5,Jeff Merkley,Christopher Murphy,1
6,Jeff Merkley,Catherine Cortez Masto,1
10,Jeff Merkley,Jeanne Shaheen,1
11,Jeff Merkley,Edward J. Markey,1
13,Jeff Merkley,Richard J. Durbin,1
14,Jeff Merkley,Martin Heinrich,1
15,Jeff Merkley,Amy Klobuchar,1
16,Jeff Merkley,Dianne Feinstein,1
17,Jeff Merkley,Tammy Duckworth,1
18,Jeff Merkley,Patty Murray,1
19,Jeff Merkley,Richard Blumenthal,1
25,Jeff Merkley,Robert Menendez,1
26,Jeff Merkley,Tina Smith,1
38,Jeff Merkley,Sherrod Brown,1
40,Jeff Merkley,Cory A. Booker,1
41,Jeff Merkley,Elizabeth A. Warren,1
45,Jeff Merkley,Kirsten E. Gillibrand,1
48,Jeff Merkley,Tammy Baldwin,1
50,Jeff Merkley,Mark R. Warner,1
52,Jeff Merkley,Benjamin L. Cardin,1
54,Jeff Merkley,Deborah Ann Stabenow,1
55,Jeff Merkley,Jacklyn Rosen,1
57,Jeff Merkley,Thomas R. Carper,1
60,Jeff Merkley,John F. Reed,1
62,Jeff Merkley,Maria Cantwell,1
63,Jeff Merkley,Ron Wyden,1
67,Jeff Merkley,Brian Schatz,1
70,Jeff Merkley,Bernard Sanders,1
74,Jeff Merkley,Sheldon Whitehouse,1
75,Jeff Merkley,Chris Van Hollen,1
79,Jeff Merkley,Michael F. Bennet,1
83,Jeff Merkley,Alex Padilla,1
88,Jeff Merkley,Patrick Joseph Leahy,1
90,Jeff Merkley,Mazie K. Hirono,1
95,Jeff Merkley,Jon Ossoff,1
107,Rand Paul,Ron Johnson,1
109,Rand Paul,Mike Lee,1
112,Rand Paul,Ted Cruz,1
144,Rand Paul,Mike Braun,1
166,Rand Paul,Jim Inhofe,1
176,Rand Paul,Ben Sasse,1
192,Rand Paul,Bill Hagerty,1
200,Timothy Kaine,Jeff Merkley,1
