,From,To,edge
84,Harry M. Reid,Mitch Mcconnell,1
121,David Vitter,Richard Burr,1
122,David Vitter,Mary Landrieu,1
129,David Vitter,John Cornyn,1
134,David Vitter,Kay Bailey Hutchison,1
138,David Vitter,John R. Thune,1
146,David Vitter,Michael D. Crapo,1
149,David Vitter,Sam Brownback,1
153,David Vitter,Saxby Chambliss,1
158,David Vitter,Michael B. Enzi,1
161,David Vitter,Tom Coburn,1
166,David Vitter,John Barrasso,1
169,David Vitter,Pat Roberts,1
174,David Vitter,John Ensign,1
177,David Vitter,Johnny Isakson,1
179,David Vitter,Jim Inhofe,1
182,David Vitter,Mike Johanns,1
184,David Vitter,James W. Demint,1
189,David Vitter,Jon Llewellyn Kyl,1
192,David Vitter,Jim Bunning,1
193,David Vitter,Roger F. Wicker,1
201,David Vitter,Robert F. Bennett,1
206,David Vitter,Thad Cochran,1
209,David Vitter,Jeff Sessions,1
210,David Vitter,Richard Craig Shelby,1
211,David Vitter,James E. Risch,1
218,Bob Casey,John F. Reed,1
221,Bob Casey,Richard J. Durbin,1
230,Bob Casey,Thomas Richard Harkin,1
232,Bob Casey,Evan Bayh,1
234,Bob Casey,Carl Milton Levin,1
237,Bob Casey,Deborah Ann Stabenow,1
246,Bob Casey,Robert Menendez,1
247,Bob Casey,Christopher John Dodd,1
254,Bob Casey,Sherrod Brown,1
270,Bob Casey,Frank R. Lautenberg,1
274,Bob Casey,Patty Murray,1
282,Bob Casey,Arlen Specter,1
288,Bob Casey,Edward E. Kaufman,1
290,Bob Casey,Bernard Sanders,1
293,Bob Casey,Jeff Merkley,1
303,Bob Casey,Roland Burris,1
305,Bob Casey,Barbara Ann Mikulski,1
306,Bob Casey,Al Franken,1
312,Bob Casey,Arlen Specter.1,1
339,Richard Green Lugar,Evan Bayh,1
347,Richard Green Lugar,John Forbes Kerry,1
430,John F. Reed,Bob Casey,1
434,John F. Reed,Benjamin L. Cardin,1
435,John F. Reed,Richard J. Durbin,1
436,John F. Reed,Jeanne Shaheen,1
438,John F. Reed,Daniel Kohikina Akaka,1
444,John F. Reed,Thomas Richard Harkin,1
445,John F. Reed,Sheldon Whitehouse,1
448,John F. Reed,Carl Milton Levin,1
451,John F. Reed,Deborah Ann Stabenow,1
452,John F. Reed,Barbara Boxer,1
454,John F. Reed,John Forbes Kerry,1
460,John F. Reed,Robert Menendez,1
461,John F. Reed,Christopher John Dodd,1
468,John F. Reed,Sherrod Brown,1
471,John F. Reed,Charles E. Schumer,1
478,John F. Reed,Kirsten E. Gillibrand,1
484,John F. Reed,Frank R. Lautenberg,1
486,John F. Reed,Patrick Joseph Leahy,1
488,John F. Reed,Patty Murray,1
493,John F. Reed,Maria Cantwell,1
502,John F. Reed,Edward E. Kaufman,1
504,John F. Reed,Bernard Sanders,1
507,John F. Reed,Jeff Merkley,1
517,John F. Reed,Roland Burris,1
519,John F. Reed,Barbara Ann Mikulski,1
520,John F. Reed,Al Franken,1
543,Blanche Lambert Lincoln,Jeanne Shaheen,1
548,Blanche Lambert Lincoln,Susan Margaret Collins,1
550,Blanche Lambert Lincoln,Mary Landrieu,1
551,Blanche Lambert Lincoln,Thomas Richard Harkin,1
553,Blanche Lambert Lincoln,Evan Bayh,1
554,Blanche Lambert Lincoln,Byron Leslie Dorgan,1
558,Blanche Lambert Lincoln,Deborah Ann Stabenow,1
569,Blanche Lambert Lincoln,Kent Conrad,1
572,Blanche Lambert Lincoln,Jon Tester,1
580,Blanche Lambert Lincoln,Olympia J. Snowe,1
581,Blanche Lambert Lincoln,Saxby Chambliss,1
582,Blanche Lambert Lincoln,Tim Johnson,1
583,Blanche Lambert Lincoln,Amy Klobuchar,1
587,Blanche Lambert Lincoln,Max Sieben Baucus,1
592,Blanche Lambert Lincoln,Mark Lunsford Pryor,1
595,Blanche Lambert Lincoln,Patty Murray,1
