,From,To,edge
8,Pete Sessions,Bill Shuster,1
9,Pete Sessions,Jason Chaffetz,1
10,Pete Sessions,Trent Franks,1
11,Pete Sessions,John Abney Culberson,1
12,Pete Sessions,Jeff Fortenberry,1
13,Pete Sessions,Jeff Miller,1
15,Pete Sessions,Bill Cassidy,1
19,Pete Sessions,Leonard Lance,1
21,Pete Sessions,Michael T. Mccaul,1
23,Pete Sessions,Harold Rogers,1
25,Pete Sessions,Bill Flores,1
28,Pete Sessions,K. Michael Conaway,1
29,Pete Sessions,Lou Barletta,1
34,Pete Sessions,Mike Kelly,1
35,Pete Sessions,Steve Scalise,1
41,Pete Sessions,Trey Radel,1
44,Pete Sessions,Ander Crenshaw,1
52,Pete Sessions,Scott Garrett,1
55,Pete Sessions,Joe Wilson,1
59,Pete Sessions,Reid J. Ribble,1
60,Pete Sessions,Tom Graves,1
61,Pete Sessions,Robert B. Aderholt,1
63,Pete Sessions,Doug Collins,1
64,Pete Sessions,Shelley Moore Capito,1
67,Pete Sessions,Rob Woodall,1
70,Pete Sessions,Ken Calvert,1
71,Pete Sessions,David G. Reichert,1
73,Pete Sessions,Jim Gerlach,1
78,Pete Sessions,Sean P. Duffy,1
79,Pete Sessions,Lynn Jenkins,1
80,Pete Sessions,David B. Mckinley,1
82,Pete Sessions,Gregg Harper,1
84,Pete Sessions,Austin Scott,1
85,Pete Sessions,Dan Benishek,1
86,Pete Sessions,Mark Meadows,1
89,Pete Sessions,Mike Rogers,1
90,Pete Sessions,Richard Hudson,1
91,Pete Sessions,Lee Terry,1
92,Pete Sessions,Blake Farenthold,1
94,Pete Sessions,Robert W. Goodlatte,1
95,Pete Sessions,David Schweikert,1
97,Pete Sessions,Steven M. Palazzo,1
98,Pete Sessions,Sam Johnson,1
99,Pete Sessions,Jim Bridenstine,1
101,Pete Sessions,Mick Mulvaney,1
103,Pete Sessions,James Lankford,1
105,Pete Sessions,Rob Bishop,1
106,Pete Sessions,Adam Kinzinger,1
110,Pete Sessions,Tom Marino,1
113,Pete Sessions,"Eric A. ""Rick"" Crawford",1
114,Pete Sessions,Louie Gohmert,1
117,Pete Sessions,Steve King,1
118,Pete Sessions,Martha Roby,1
120,Pete Sessions,Andy Harris,1
123,Pete Sessions,Andy Barr,1
125,Pete Sessions,Tom Price,1
128,Pete Sessions,Paul C. Broun,1
129,Pete Sessions,Scott Perry,1
130,Pete Sessions,Jackie Walorski,1
131,Pete Sessions,Randy Neugebauer,1
132,Pete Sessions,Matt Salmon,1
135,Pete Sessions,Spencer Bachus,1
137,Pete Sessions,Vern Buchanan,1
138,Pete Sessions,Tim Huelskamp,1
139,Pete Sessions,Ron Desantis,1
141,Pete Sessions,Ted Poe,1
145,Pete Sessions,Michael K. Simpson,1
146,Pete Sessions,Jack Kingston,1
147,Pete Sessions,Tom Cotton,1
148,Pete Sessions,Rodney Frelinghuysen,1
150,Pete Sessions,John R. Carter,1
153,Pete Sessions,Mo Brooks,1
154,Pete Sessions,Jeff Duncan,1
155,Pete Sessions,Todd C. Young,1
156,Pete Sessions,John Kline,1
157,Pete Sessions,Jo Bonner,1
160,Pete Sessions,H. Morgan Griffith,1
163,Pete Sessions,Luke Messer,1
167,Pete Sessions,Aaron Schock,1
168,Pete Sessions,Steve Stivers,1
171,Pete Sessions,Cathy Mcmorris Rodgers,1
176,Pete Sessions,Cory Gardner,1
179,Pete Sessions,Doug Lamalfa,1
180,Pete Sessions,Michael C. Burgess,1
183,Pete Sessions,Phil Gingrey,1
184,Pete Sessions,Doug Lamborn,1
185,Pete Sessions,Charles W. Boustany,1
186,Pete Sessions,Charles W. Dent,1
188,Pete Sessions,John J. Duncan,1
189,Pete Sessions,F. James Sensenbrenner,1
190,Pete Sessions,Pete Olson,1
191,Pete Sessions,Ralph M. Hall,1
192,Pete Sessions,Bill Huizenga,1
194,Pete Sessions,Larry Bucshon,1
197,Pete Sessions,Jaime Herrera Beutler,1
199,Pete Sessions,Jim Jordan,1
201,Pete Sessions,Markwayne Mullin,1
202,Pete Sessions,Joseph R. Pitts,1
208,Pete Sessions,Robert Hurt,1
209,Pete Sessions,Steve Chabot,1
214,Pete Sessions,David P. Roe,1
216,Pete Sessions,Howard Coble,1
224,Pete Sessions,Steve Stockman,1
225,Pete Sessions,Edward Whitfield,1
230,Pete Sessions,Doc Hastings,1
231,Pete Sessions,Cynthia M. Lummis,1
233,Pete Sessions,Stevan Pearce,1
234,Pete Sessions,Mark E. Amodei,1
235,Pete Sessions,Gus M. Bilirakis,1
237,Pete Sessions,Kevin Brady,1
242,Pete Sessions,Scott Desjarlais,1
243,Pete Sessions,Randy Hultgren,1
244,Pete Sessions,Candice S. Miller,1
245,Pete Sessions,Dennis A. Ross,1
250,Pete Sessions,Greg Walden,1
251,Pete Sessions,Robert J. Wittman,1
253,Pete Sessions,John M. Shimkus,1
254,Pete Sessions,Paul A. Gosar,1
256,Pete Sessions,Stephen Lee Fincher,1
257,Pete Sessions,Kristi L. Noem,1
258,Pete Sessions,Erik Paulsen,1
261,Pete Sessions,Vicky Hartzler,1
266,Pete Sessions,Sam Graves,1
277,Pete Sessions,Raul R. Labrador,1
280,Pete Sessions,Tim Walberg,1
281,Pete Sessions,Brad R. Wenstrup,1
282,Pete Sessions,Robert Pittenger,1
284,Pete Sessions,Tom Latham,1
292,Pete Sessions,Diane Black,1
293,Pete Sessions,Rodney Davis,1
296,Pete Sessions,John Fleming,1
297,Pete Sessions,Joseph J. Heck,1
298,Pete Sessions,Bill Johnson,1
303,Pete Sessions,Todd Rokita,1
306,Pete Sessions,Scott R. Tipton,1
310,Pete Sessions,Mike Coffman,1
316,Pete Sessions,Renee L. Ellmers,1
319,Pete Sessions,Chris Stewart,1
323,Pete Sessions,Steve Daines,1
325,Pete Sessions,Billy Long,1
326,Pete Sessions,Blaine Luetkemeyer,1
328,Pete Sessions,Bill Posey,1
331,Pete Sessions,Tom Cole,1
334,Pete Sessions,Marsha Blackburn,1
335,Pete Sessions,William M. Thornberry,1
337,Pete Sessions,Steve Womack,1
338,Pete Sessions,Glenn Thompson,1
339,Pete Sessions,Daniel Webster,1
342,Pete Sessions,Kevin Yoder,1
348,Pete Sessions,Patrick J. Tiberi,1
352,Pete Sessions,Chris Collins,1
353,Pete Sessions,Brett Guthrie,1
354,Pete Sessions,Mike Pompeo,1
355,Pete Sessions,Michael R. Turner,1
357,Pete Sessions,John L. Mica,1
358,Pete Sessions,Tim Griffin,1
359,Pete Sessions,Michele Bachmann,1
361,Pete Sessions,Ann Wagner,1
362,Pete Sessions,Devin Nunes,1
363,Pete Sessions,Steve Southerland,1
364,Pete Sessions,James B. Renacci,1
365,Pete Sessions,Marlin A. Stutzman,1
370,Pete Sessions,Tim Murphy,1
371,Pete Sessions,J. Randy Forbes,1
373,Pete Sessions,Frank D. Lucas,1
374,Pete Sessions,Lamar Smith,1
376,Pete Sessions,Peter J. Roskam,1
383,Pete Sessions,Mario Diaz-Balart,1
386,Pete Sessions,Robert E. Latta,1
387,Pete Sessions,"Charles J. ""Chuck"" Fleischmann",1
390,Pete Sessions,Rodney Alexander,1
391,Pete Sessions,Bob Gibbs,1
394,Pete Sessions,Susan W. Brooks,1
400,Pete Sessions,Trey Gowdy,1
401,Pete Sessions,Mike Rogers.1,1
402,Pete Sessions,Adrian Smith,1
403,Pete Sessions,Thomas J. Rooney,1
405,Pete Sessions,Roger Williams,1
406,Pete Sessions,Keith J. Rothfus,1
410,Pete Sessions,Alan Nunnelee,1
411,Pete Sessions,Joe L. Barton,1
415,Pete Sessions,Richard B. Nugent,1
416,Pete Sessions,David P. Joyce,1
418,Pete Sessions,George Holding,1
419,Pete Sessions,Kenny Marchant,1
420,Pete Sessions,Kay Granger,1
424,Pete Sessions,Lynn A. Westmoreland,1
425,Pete Sessions,Fred Upton,1
427,Pete Sessions,Tom Rice,1
433,Pete Sessions,Randy K. Weber,1
434,Pete Sessions,Kevin Cramer,1
437,Pete Sessions,Vance M. Mcallister,1
440,Pete Sessions,Bradley Byrne,1
441,Pete Sessions,Patrick Mchenry,1
458,Ileana Ros-Lehtinen,Jeff Miller,1
464,Ileana Ros-Lehtinen,Leonard Lance,1
472,Ileana Ros-Lehtinen,Michael G. Grimm,1
478,Ileana Ros-Lehtinen,Peter T. King,1
484,Ileana Ros-Lehtinen,Lois Frankel,1
486,Ileana Ros-Lehtinen,Trey Radel,1
487,Ileana Ros-Lehtinen,Jon Runyan,1
488,Ileana Ros-Lehtinen,Eliot L. Engel,1
489,Ileana Ros-Lehtinen,Ander Crenshaw,1
492,Ileana Ros-Lehtinen,Ted S. Yoho,1
503,Ileana Ros-Lehtinen,Christopher H. Smith,1
528,Ileana Ros-Lehtinen,Tulsi Gabbard,1
533,Ileana Ros-Lehtinen,Patrick Meehan,1
547,Ileana Ros-Lehtinen,Ed Royce,1
551,Ileana Ros-Lehtinen,Adam Kinzinger,1
552,Ileana Ros-Lehtinen,Theodore E. Deutch,1
555,Ileana Ros-Lehtinen,Tom Marino,1
575,Ileana Ros-Lehtinen,Jackie Walorski,1
582,Ileana Ros-Lehtinen,Vern Buchanan,1
584,Ileana Ros-Lehtinen,Ron Desantis,1
593,Ileana Ros-Lehtinen,Rodney Frelinghuysen,1
594,Ileana Ros-Lehtinen,C. W. Bill Young,1
606,Ileana Ros-Lehtinen,Frank A. Lobiondo,1
608,Ileana Ros-Lehtinen,Luke Messer,1
612,Ileana Ros-Lehtinen,Aaron Schock,1
631,Ileana Ros-Lehtinen,Charles W. Dent,1
649,Ileana Ros-Lehtinen,Albio Sires,1
654,Ileana Ros-Lehtinen,Steve Chabot,1
662,Ileana Ros-Lehtinen,Jeff Denham,1
680,Ileana Ros-Lehtinen,Gus M. Bilirakis,1
685,Ileana Ros-Lehtinen,Kathy Castor,1
690,Ileana Ros-Lehtinen,Dennis A. Ross,1
753,Ileana Ros-Lehtinen,David G. Valadao,1
762,Ileana Ros-Lehtinen,Patrick Murphy,1
769,Ileana Ros-Lehtinen,Alcee L. Hastings,1
774,Ileana Ros-Lehtinen,Brad Sherman,1
784,Ileana Ros-Lehtinen,Daniel Webster,1
786,Ileana Ros-Lehtinen,Joe Garcia,1
787,Ileana Ros-Lehtinen,Kevin Yoder,1
802,Ileana Ros-Lehtinen,John L. Mica,1
808,Ileana Ros-Lehtinen,Steve Southerland,1
815,Ileana Ros-Lehtinen,Tim Murphy,1
821,Ileana Ros-Lehtinen,Peter J. Roskam,1
828,Ileana Ros-Lehtinen,Mario Diaz-Balart,1
838,Ileana Ros-Lehtinen,Debbie Wasserman Schultz,1
840,Ileana Ros-Lehtinen,Frederica S. Wilson,1
848,Ileana Ros-Lehtinen,Thomas J. Rooney,1
852,Ileana Ros-Lehtinen,Ami Bera,1
862,Ileana Ros-Lehtinen,Frank R. Wolf,1
863,Ileana Ros-Lehtinen,George Holding,1
865,Ileana Ros-Lehtinen,Kay Granger,1
875,Ileana Ros-Lehtinen,Bradley Scott Schneider,1
883,Ileana Ros-Lehtinen,David Jolly,1
885,Ileana Ros-Lehtinen,Bradley Byrne,1
893,Marcia L. Fudge,John K. Delaney,1
894,Marcia L. Fudge,David N. Cicilline,1
895,Marcia L. Fudge,Eleanor Holmes Norton,1
897,Marcia L. Fudge,James P. Mcgovern,1
906,Marcia L. Fudge,Raul M. Grijalva,1
907,Marcia L. Fudge,David Scott,1
