From,To,edge
Robert Menendez,Christopher Murphy,1
Robert Menendez,Mark R. Warner,1
Robert Menendez,Benjamin L. Cardin,1
Robert Menendez,Timothy Kaine,1
Robert Menendez,Brian Schatz,1
Robert Menendez,Patty Murray,1
Robert Menendez,Ron Wyden,1
Robert Menendez,Tina Smith,1
Robert Menendez,Mazie K. Hirono,1
Robert Menendez,Martin Heinrich,1
Robert Menendez,Michael F. Bennet,1
Robert Menendez,Kirsten E. Gillibrand,1
Robert Menendez,Amy Klobuchar,1
Robert Menendez,Patrick Joseph Leahy,1
Robert Menendez,Dianne Feinstein,1
Robert Menendez,John F. Reed,1
Robert Menendez,Maria Cantwell,1
Robert Menendez,Thomas R. Carper,1
Robert Menendez,Jacklyn Rosen,1
Bob Casey,Jeff Merkley,1
Bob Casey,Gary C. Peters,1
Bob Casey,Elizabeth A. Warren,1
Bob Casey,Sheldon Whitehouse,1
Bob Casey,Tammy Baldwin,1
Bob Casey,Angus King,1
Bob Casey,Deborah Ann Stabenow,1
Bob Casey,Tammy Duckworth,1
Bob Casey,Richard J. Durbin,1
Bob Casey,Cory A. Booker,1
Bob Casey,Doug Jones,1
Bob Casey,Bernard Sanders,1
Bob Casey,Edward J. Markey,1
Bob Casey,Robert Menendez,1
Bob Casey,Sherrod Brown,1
Bob Casey,Tom Udall,1
Bob Casey,Charles E. Schumer,1
Bob Casey,Catherine Cortez Masto,1
Bob Casey,Richard Blumenthal,1
Bob Casey,Jeanne Shaheen,1
Bob Casey,Christopher A. Coons,1
Bob Casey,Kamala D. Harris,1
Bob Casey,Chris Van Hollen,1
Bob Casey,Christopher Murphy,1
Bob Casey,Mark R. Warner,1
Bob Casey,Benjamin L. Cardin,1
Bob Casey,Timothy Kaine,1
Bob Casey,Patty Murray,1
Bob Casey,Ron Wyden,1
Bob Casey,Margaret Wood Hassan,1
Bob Casey,Tina Smith,1
Bob Casey,Mazie K. Hirono,1
Bob Casey,Michael F. Bennet,1
Bob Casey,Kirsten E. Gillibrand,1
Bob Casey,Amy Klobuchar,1
Bob Casey,Patrick Joseph Leahy,1
Bob Casey,Dianne Feinstein,1
Bob Casey,John F. Reed,1
Bob Casey,Maria Cantwell,1
Bob Casey,Thomas R. Carper,1
Bob Casey,Jacklyn Rosen,1
John Cornyn,Marco Rubio,1
John Cornyn,John R. Thune,1
John Cornyn,Michael D. Crapo,1
John Cornyn,Tom Cotton,1
John Cornyn,Ted Cruz,1
John Cornyn,Mike Rounds,1
John Cornyn,John Barrasso,1
John Cornyn,Deb Fischer,1
John Cornyn,Marsha Blackburn,1
John Cornyn,Cindy Hyde-Smith,1
John Cornyn,Roy Blunt,1
John Cornyn,Roger F. Wicker,1
John Cornyn,David Alfred Perdue,1
John Cornyn,Pat Roberts,1
John Cornyn,Michael B. Enzi,1
John Cornyn,Charles Ernest Grassley,1
John Cornyn,Tim Scott,1
John Cornyn,John Neely Kennedy,1
John Cornyn,James Lankford,1
John Cornyn,Joni Ernst,1
John Cornyn,Thomas Roland Tillis,1
John Cornyn,Kevin Cramer,1
John Cornyn,John Hoeven,1
John Cornyn,Richard Craig Shelby,1
John Cornyn,Rick Scott,1
John Cornyn,John Boozman,1
John Cornyn,Bill Cassidy,1
John Cornyn,Mitt Romney,1
John Cornyn,Jim Inhofe,1
John Cornyn,Ben Sasse,1
John Cornyn,Pat Toomey,1
John Cornyn,James E. Risch,1
Ted Cruz,Marco Rubio,1
Ted Cruz,Tom Cotton,1
Ted Cruz,John Cornyn,1
Ted Cruz,Josh Hawley,1
Ted Cruz,Mike Rounds,1
Ted Cruz,John Barrasso,1
Ted Cruz,Mike Lee,1
Ted Cruz,Marsha Blackburn,1
Ted Cruz,Cindy Hyde-Smith,1
Ted Cruz,Mike Braun,1
Ted Cruz,David Alfred Perdue,1
Ted Cruz,Pat Roberts,1
Ted Cruz,John Neely Kennedy,1
Ted Cruz,James Lankford,1
Ted Cruz,Thomas Roland Tillis,1
Ted Cruz,Ron Johnson,1
Ted Cruz,Kevin Cramer,1
Ted Cruz,Richard Craig Shelby,1
Ted Cruz,Rick Scott,1
Ted Cruz,John Boozman,1
Ted Cruz,Mitt Romney,1
Ted Cruz,Jim Inhofe,1
Ted Cruz,Ben Sasse,1
Ted Cruz,Pat Toomey,1
Ted Cruz,James E. Risch,1
Ted Cruz,Kelly Loeffler,1
Josh Hawley,Marco Rubio,1
Josh Hawley,John R. Thune,1
Josh Hawley,Michael D. Crapo,1
Josh Hawley,Tom Cotton,1
Josh Hawley,Ted Cruz,1
Josh Hawley,Mike Rounds,1
Josh Hawley,Deb Fischer,1
Josh Hawley,Marsha Blackburn,1
Josh Hawley,Cindy Hyde-Smith,1
Josh Hawley,Roy Blunt,1
Josh Hawley,Mike Braun,1
Josh Hawley,David Alfred Perdue,1
Josh Hawley,Pat Roberts,1
Josh Hawley,Charles Ernest Grassley,1
Josh Hawley,Tim Scott,1
Josh Hawley,John Neely Kennedy,1
Josh Hawley,Steve Daines,1
Josh Hawley,James Lankford,1
Josh Hawley,Joni Ernst,1
Josh Hawley,Thomas Roland Tillis,1
Josh Hawley,Kevin Cramer,1
Josh Hawley,John Hoeven,1
Josh Hawley,Richard Craig Shelby,1
Josh Hawley,Rick Scott,1
Josh Hawley,John Boozman,1
Josh Hawley,Mitt Romney,1
Josh Hawley,Jim Inhofe,1
Josh Hawley,Ben Sasse,1
Josh Hawley,Jerry Moran,1
Josh Hawley,Pat Toomey,1
Josh Hawley,James E. Risch,1
Rob Portman,Richard Craig Shelby,1
Rob Portman,John Boozman,1
Sherrod Brown,Jeff Merkley,1
Sherrod Brown,Gary C. Peters,1
Sherrod Brown,Elizabeth A. Warren,1
Sherrod Brown,Sheldon Whitehouse,1
Sherrod Brown,Tammy Baldwin,1
Sherrod Brown,Angus King,1
Sherrod Brown,Deborah Ann Stabenow,1
Sherrod Brown,Tammy Duckworth,1
Sherrod Brown,Richard J. Durbin,1
Sherrod Brown,Cory A. Booker,1
Sherrod Brown,Doug Jones,1
Sherrod Brown,Bernard Sanders,1
Sherrod Brown,Edward J. Markey,1
Sherrod Brown,Robert Menendez,1
Sherrod Brown,Bob Casey,1
Sherrod Brown,Tom Udall,1
Sherrod Brown,Charles E. Schumer,1
Sherrod Brown,Catherine Cortez Masto,1
Sherrod Brown,Richard Blumenthal,1
Sherrod Brown,Jeanne Shaheen,1
Sherrod Brown,Christopher A. Coons,1
Sherrod Brown,Kamala D. Harris,1
Sherrod Brown,Chris Van Hollen,1
Sherrod Brown,Christopher Murphy,1
Sherrod Brown,Mark R. Warner,1
Sherrod Brown,Benjamin L. Cardin,1
Sherrod Brown,Timothy Kaine,1
Sherrod Brown,Brian Schatz,1
Sherrod Brown,Patty Murray,1
Sherrod Brown,Ron Wyden,1
Sherrod Brown,Margaret Wood Hassan,1
Sherrod Brown,Tina Smith,1
Sherrod Brown,Mazie K. Hirono,1
Sherrod Brown,Martin Heinrich,1
Sherrod Brown,Michael F. Bennet,1
Sherrod Brown,Kirsten E. Gillibrand,1
Sherrod Brown,Amy Klobuchar,1
Sherrod Brown,Patrick Joseph Leahy,1
Sherrod Brown,Dianne Feinstein,1
Sherrod Brown,John F. Reed,1
Sherrod Brown,Maria Cantwell,1
Sherrod Brown,Thomas R. Carper,1
Sherrod Brown,Jacklyn Rosen,1
Mike Rounds,John R. Thune,1
Mike Rounds,Michael D. Crapo,1
Mike Rounds,Tom Cotton,1
Mike Rounds,John Cornyn,1
Mike Rounds,Ted Cruz,1
Mike Rounds,Josh Hawley,1
Mike Rounds,John Barrasso,1
Mike Rounds,Deb Fischer,1
Mike Rounds,Marsha Blackburn,1
Mike Rounds,Cindy Hyde-Smith,1
Mike Rounds,Roy Blunt,1
Mike Rounds,Mike Braun,1
Mike Rounds,Roger F. Wicker,1
Mike Rounds,Dan Sullivan,1
Mike Rounds,David Alfred Perdue,1
Mike Rounds,Pat Roberts,1
Mike Rounds,Michael B. Enzi,1
Mike Rounds,Tim Scott,1
Mike Rounds,John Neely Kennedy,1
Mike Rounds,Steve Daines,1
Mike Rounds,James Lankford,1
Mike Rounds,Joni Ernst,1
Mike Rounds,Thomas Roland Tillis,1
Mike Rounds,Shelley Moore Capito,1
Mike Rounds,Kevin Cramer,1
Mike Rounds,John Hoeven,1
Mike Rounds,Richard Craig Shelby,1
Mike Rounds,Rick Scott,1
Mike Rounds,John Boozman,1
Mike Rounds,Jim Inhofe,1
Mike Rounds,Ben Sasse,1
Mike Rounds,Jerry Moran,1
Mike Rounds,Pat Toomey,1
Mike Rounds,James E. Risch,1
Mike Rounds,Kelly Loeffler,1
John Barrasso,John R. Thune,1
John Barrasso,Michael D. Crapo,1
John Barrasso,Tom Cotton,1
John Barrasso,John Cornyn,1
John Barrasso,Ted Cruz,1
John Barrasso,Mike Rounds,1
John Barrasso,Deb Fischer,1
John Barrasso,Marsha Blackburn,1
John Barrasso,Cindy Hyde-Smith,1
John Barrasso,Roy Blunt,1
John Barrasso,Mike Braun,1
John Barrasso,Roger F. Wicker,1
John Barrasso,Dan Sullivan,1
John Barrasso,David Alfred Perdue,1
John Barrasso,Pat Roberts,1
John Barrasso,Michael B. Enzi,1
John Barrasso,Tim Scott,1
John Barrasso,John Neely Kennedy,1
John Barrasso,Steve Daines,1
John Barrasso,James Lankford,1
John Barrasso,Joni Ernst,1
John Barrasso,Thomas Roland Tillis,1
John Barrasso,Shelley Moore Capito,1
John Barrasso,Ron Johnson,1
John Barrasso,Kevin Cramer,1
John Barrasso,John Hoeven,1
John Barrasso,Richard Craig Shelby,1
John Barrasso,John Boozman,1
John Barrasso,Jim Inhofe,1
John Barrasso,Ben Sasse,1
John Barrasso,Jerry Moran,1
John Barrasso,Pat Toomey,1
John Barrasso,Lamar Alexander,1
John Barrasso,James E. Risch,1
John Barrasso,Johnny Isakson,1
Deb Fischer,John R. Thune,1
Deb Fischer,Michael D. Crapo,1
Deb Fischer,Tom Cotton,1
Deb Fischer,Richard Burr,1
Deb Fischer,John Cornyn,1
Deb Fischer,Josh Hawley,1
Deb Fischer,Mike Rounds,1
Deb Fischer,John Barrasso,1
Deb Fischer,Marsha Blackburn,1
Deb Fischer,Cindy Hyde-Smith,1
Deb Fischer,Martha Mcsally,1
Deb Fischer,Roy Blunt,1
Deb Fischer,Mike Braun,1
Deb Fischer,Roger F. Wicker,1
Deb Fischer,Dan Sullivan,1
Deb Fischer,David Alfred Perdue,1
Deb Fischer,Pat Roberts,1
Deb Fischer,Michael B. Enzi,1
Deb Fischer,Charles Ernest Grassley,1
Deb Fischer,Tim Scott,1
Deb Fischer,John Neely Kennedy,1
Deb Fischer,Steve Daines,1
Deb Fischer,James Lankford,1
Deb Fischer,Joni Ernst,1
Deb Fischer,Thomas Roland Tillis,1
Deb Fischer,Shelley Moore Capito,1
Deb Fischer,Ron Johnson,1
Deb Fischer,Kevin Cramer,1
Deb Fischer,John Hoeven,1
Deb Fischer,Richard Craig Shelby,1
Deb Fischer,Rick Scott,1
Deb Fischer,John Boozman,1
Deb Fischer,Bill Cassidy,1
Deb Fischer,Mitt Romney,1
Deb Fischer,Jim Inhofe,1
Deb Fischer,Ben Sasse,1
Deb Fischer,Jerry Moran,1
Deb Fischer,Pat Toomey,1
Deb Fischer,Lamar Alexander,1
Deb Fischer,James E. Risch,1
Deb Fischer,Johnny Isakson,1
Tom Udall,Jeff Merkley,1
Tom Udall,Elizabeth A. Warren,1
Tom Udall,Sheldon Whitehouse,1
Tom Udall,Tammy Baldwin,1
Tom Udall,Angus King,1
Tom Udall,Deborah Ann Stabenow,1
Tom Udall,Tammy Duckworth,1
Tom Udall,Richard J. Durbin,1
Tom Udall,Cory A. Booker,1
Tom Udall,Bernard Sanders,1
Tom Udall,Edward J. Markey,1
Tom Udall,Robert Menendez,1
Tom Udall,Bob Casey,1
Tom Udall,Sherrod Brown,1
Tom Udall,Charles E. Schumer,1
Tom Udall,Catherine Cortez Masto,1
Tom Udall,Jon Tester,1
Tom Udall,Richard Blumenthal,1
Tom Udall,Jeanne Shaheen,1
Tom Udall,Christopher A. Coons,1
Tom Udall,Kamala D. Harris,1
Tom Udall,Chris Van Hollen,1
Tom Udall,Christopher Murphy,1
Tom Udall,Mark R. Warner,1
Tom Udall,Benjamin L. Cardin,1
Tom Udall,Timothy Kaine,1
Tom Udall,Brian Schatz,1
Tom Udall,Patty Murray,1
Tom Udall,Ron Wyden,1
Tom Udall,Tina Smith,1
Tom Udall,Mazie K. Hirono,1
Tom Udall,Martin Heinrich,1
Tom Udall,Michael F. Bennet,1
Tom Udall,Kirsten E. Gillibrand,1
Tom Udall,Amy Klobuchar,1
Tom Udall,Patrick Joseph Leahy,1
Tom Udall,Dianne Feinstein,1
Tom Udall,John F. Reed,1
Tom Udall,Maria Cantwell,1
Tom Udall,Thomas R. Carper,1
Tom Udall,Jacklyn Rosen,1
Mike Lee,Ted Cruz,1
Mike Lee,Ben Sasse,1
Mike Lee,Rand Paul,1
Charles E. Schumer,Jeff Merkley,1
Charles E. Schumer,Gary C. Peters,1
Charles E. Schumer,Elizabeth A. Warren,1
Charles E. Schumer,Sheldon Whitehouse,1
Charles E. Schumer,Tammy Baldwin,1
Charles E. Schumer,Angus King,1
Charles E. Schumer,Deborah Ann Stabenow,1
Charles E. Schumer,Tammy Duckworth,1
Charles E. Schumer,Richard J. Durbin,1
Charles E. Schumer,Cory A. Booker,1
Charles E. Schumer,Bernard Sanders,1
Charles E. Schumer,Edward J. Markey,1
Charles E. Schumer,Robert Menendez,1
Charles E. Schumer,Bob Casey,1
Charles E. Schumer,Sherrod Brown,1
Charles E. Schumer,Tom Udall,1
Charles E. Schumer,Catherine Cortez Masto,1
Charles E. Schumer,Richard Blumenthal,1
Charles E. Schumer,Jeanne Shaheen,1
Charles E. Schumer,Christopher A. Coons,1
Charles E. Schumer,Kamala D. Harris,1
Charles E. Schumer,Chris Van Hollen,1
Charles E. Schumer,Christopher Murphy,1
Charles E. Schumer,Mark R. Warner,1
Charles E. Schumer,Benjamin L. Cardin,1
Charles E. Schumer,Timothy Kaine,1
Charles E. Schumer,Brian Schatz,1
Charles E. Schumer,Patty Murray,1
Charles E. Schumer,Ron Wyden,1
Charles E. Schumer,Margaret Wood Hassan,1
Charles E. Schumer,Tina Smith,1
Charles E. Schumer,Mazie K. Hirono,1
Charles E. Schumer,Martin Heinrich,1
Charles E. Schumer,Michael F. Bennet,1
Charles E. Schumer,Kirsten E. Gillibrand,1
Charles E. Schumer,Amy Klobuchar,1
Charles E. Schumer,Patrick Joseph Leahy,1
Charles E. Schumer,Dianne Feinstein,1
Charles E. Schumer,John F. Reed,1
Charles E. Schumer,Maria Cantwell,1
Charles E. Schumer,Thomas R. Carper,1
Charles E. Schumer,Jacklyn Rosen,1
Catherine Cortez Masto,Jeff Merkley,1
Catherine Cortez Masto,Gary C. Peters,1
Catherine Cortez Masto,Elizabeth A. Warren,1
Catherine Cortez Masto,Sheldon Whitehouse,1
Catherine Cortez Masto,Tammy Baldwin,1
Catherine Cortez Masto,Angus King,1
Catherine Cortez Masto,Deborah Ann Stabenow,1
Catherine Cortez Masto,Tammy Duckworth,1
Catherine Cortez Masto,Richard J. Durbin,1
Catherine Cortez Masto,Cory A. Booker,1
Catherine Cortez Masto,Bernard Sanders,1
Catherine Cortez Masto,Edward J. Markey,1
Catherine Cortez Masto,Robert Menendez,1
Catherine Cortez Masto,Bob Casey,1
Catherine Cortez Masto,Sherrod Brown,1
Catherine Cortez Masto,Tom Udall,1
Catherine Cortez Masto,Charles E. Schumer,1
Catherine Cortez Masto,Jon Tester,1
Catherine Cortez Masto,Richard Blumenthal,1
Catherine Cortez Masto,Jeanne Shaheen,1
Catherine Cortez Masto,Christopher A. Coons,1
Catherine Cortez Masto,Kamala D. Harris,1
Catherine Cortez Masto,Chris Van Hollen,1
Catherine Cortez Masto,Christopher Murphy,1
Catherine Cortez Masto,Mark R. Warner,1
Catherine Cortez Masto,Benjamin L. Cardin,1
Catherine Cortez Masto,Timothy Kaine,1
Catherine Cortez Masto,Brian Schatz,1
Catherine Cortez Masto,Patty Murray,1
Catherine Cortez Masto,Ron Wyden,1
Catherine Cortez Masto,Margaret Wood Hassan,1
Catherine Cortez Masto,Tina Smith,1
Catherine Cortez Masto,Mazie K. Hirono,1
Catherine Cortez Masto,Martin Heinrich,1
Catherine Cortez Masto,Michael F. Bennet,1
Catherine Cortez Masto,Kirsten E. Gillibrand,1
Catherine Cortez Masto,Amy Klobuchar,1
Catherine Cortez Masto,Patrick Joseph Leahy,1
Catherine Cortez Masto,Dianne Feinstein,1
Catherine Cortez Masto,John F. Reed,1
Catherine Cortez Masto,Maria Cantwell,1
Catherine Cortez Masto,Thomas R. Carper,1
Catherine Cortez Masto,Jacklyn Rosen,1
Jon Tester,Gary C. Peters,1
Jon Tester,Tammy Baldwin,1
Jon Tester,Angus King,1
Jon Tester,Joe Manchin,1
Jon Tester,Deborah Ann Stabenow,1
Jon Tester,Doug Jones,1
Jon Tester,Tom Udall,1
Jon Tester,Catherine Cortez Masto,1
Jon Tester,Jeanne Shaheen,1
Jon Tester,Patty Murray,1
Jon Tester,Steve Daines,1
Jon Tester,Margaret Wood Hassan,1
Jon Tester,Tina Smith,1
Jon Tester,John Hoeven,1
Jon Tester,Martin Heinrich,1
Jon Tester,John Boozman,1
Jon Tester,Michael F. Bennet,1
Jon Tester,Jerry Moran,1
Jon Tester,Kyrsten Sinema,1
Jon Tester,Jacklyn Rosen,1
Richard Blumenthal,Jeff Merkley,1
Richard Blumenthal,Gary C. Peters,1
Richard Blumenthal,Elizabeth A. Warren,1
Richard Blumenthal,Sheldon Whitehouse,1
Richard Blumenthal,Tammy Baldwin,1
Richard Blumenthal,Angus King,1
Richard Blumenthal,Deborah Ann Stabenow,1
Richard Blumenthal,Tammy Duckworth,1
Richard Blumenthal,Richard J. Durbin,1
Richard Blumenthal,Cory A. Booker,1
Richard Blumenthal,Bernard Sanders,1
Richard Blumenthal,Edward J. Markey,1
Richard Blumenthal,Robert Menendez,1
Richard Blumenthal,Bob Casey,1
Richard Blumenthal,Sherrod Brown,1
Richard Blumenthal,Tom Udall,1
Richard Blumenthal,Charles E. Schumer,1
Richard Blumenthal,Catherine Cortez Masto,1
Richard Blumenthal,Jeanne Shaheen,1
Richard Blumenthal,Christopher A. Coons,1
Richard Blumenthal,Kamala D. Harris,1
Richard Blumenthal,Chris Van Hollen,1
Richard Blumenthal,Christopher Murphy,1
Richard Blumenthal,Mark R. Warner,1
Richard Blumenthal,Benjamin L. Cardin,1
Richard Blumenthal,Timothy Kaine,1
Richard Blumenthal,Brian Schatz,1
Richard Blumenthal,Patty Murray,1
Richard Blumenthal,Ron Wyden,1
Richard Blumenthal,Margaret Wood Hassan,1
Richard Blumenthal,Tina Smith,1
Richard Blumenthal,Mazie K. Hirono,1
Richard Blumenthal,Martin Heinrich,1
Richard Blumenthal,Michael F. Bennet,1
Richard Blumenthal,Kirsten E. Gillibrand,1
Richard Blumenthal,Amy Klobuchar,1
Richard Blumenthal,Patrick Joseph Leahy,1
Richard Blumenthal,Dianne Feinstein,1
Richard Blumenthal,John F. Reed,1
Richard Blumenthal,Maria Cantwell,1
Richard Blumenthal,Thomas R. Carper,1
Richard Blumenthal,Jacklyn Rosen,1
Jeanne Shaheen,Jeff Merkley,1
Jeanne Shaheen,Gary C. Peters,1
Jeanne Shaheen,Elizabeth A. Warren,1
Jeanne Shaheen,Sheldon Whitehouse,1
Jeanne Shaheen,Tammy Baldwin,1
Jeanne Shaheen,Angus King,1
Jeanne Shaheen,Deborah Ann Stabenow,1
Jeanne Shaheen,Tammy Duckworth,1
Jeanne Shaheen,Richard J. Durbin,1
Jeanne Shaheen,Cory A. Booker,1
Jeanne Shaheen,Bernard Sanders,1
Jeanne Shaheen,Edward J. Markey,1
Jeanne Shaheen,Robert Menendez,1
Jeanne Shaheen,Bob Casey,1
Jeanne Shaheen,Sherrod Brown,1
Jeanne Shaheen,Tom Udall,1
Jeanne Shaheen,Charles E. Schumer,1
Jeanne Shaheen,Catherine Cortez Masto,1
Jeanne Shaheen,Jon Tester,1
Jeanne Shaheen,Richard Blumenthal,1
Jeanne Shaheen,Christopher A. Coons,1
Jeanne Shaheen,Kamala D. Harris,1
Jeanne Shaheen,Chris Van Hollen,1
Jeanne Shaheen,Christopher Murphy,1
Jeanne Shaheen,Mark R. Warner,1
Jeanne Shaheen,Benjamin L. Cardin,1
Jeanne Shaheen,Timothy Kaine,1
Jeanne Shaheen,Patty Murray,1
Jeanne Shaheen,Susan Margaret Collins,1
Jeanne Shaheen,Margaret Wood Hassan,1
Jeanne Shaheen,Tina Smith,1
Jeanne Shaheen,Mazie K. Hirono,1
Jeanne Shaheen,Michael F. Bennet,1
Jeanne Shaheen,Kirsten E. Gillibrand,1
Jeanne Shaheen,Amy Klobuchar,1
Jeanne Shaheen,Patrick Joseph Leahy,1
Jeanne Shaheen,Dianne Feinstein,1
Jeanne Shaheen,John F. Reed,1
Jeanne Shaheen,Maria Cantwell,1
Jeanne Shaheen,Thomas R. Carper,1
Jeanne Shaheen,Jacklyn Rosen,1
Marsha Blackburn,Marco Rubio,1
Marsha Blackburn,John R. Thune,1
Marsha Blackburn,Michael D. Crapo,1
Marsha Blackburn,Tom Cotton,1
Marsha Blackburn,John Cornyn,1
Marsha Blackburn,Ted Cruz,1
Marsha Blackburn,Josh Hawley,1
Marsha Blackburn,Mike Rounds,1
Marsha Blackburn,John Barrasso,1
Marsha Blackburn,Deb Fischer,1
Marsha Blackburn,Cindy Hyde-Smith,1
Marsha Blackburn,Roy Blunt,1
Marsha Blackburn,Mike Braun,1
Marsha Blackburn,Roger F. Wicker,1
Marsha Blackburn,David Alfred Perdue,1
Marsha Blackburn,Pat Roberts,1
Marsha Blackburn,Michael B. Enzi,1
Marsha Blackburn,Tim Scott,1
Marsha Blackburn,John Neely Kennedy,1
Marsha Blackburn,Steve Daines,1
Marsha Blackburn,James Lankford,1
Marsha Blackburn,Joni Ernst,1
Marsha Blackburn,Thomas Roland Tillis,1
Marsha Blackburn,Shelley Moore Capito,1
Marsha Blackburn,Kevin Cramer,1
Marsha Blackburn,John Hoeven,1
Marsha Blackburn,Richard Craig Shelby,1
Marsha Blackburn,Rick Scott,1
Marsha Blackburn,John Boozman,1
Marsha Blackburn,Mitt Romney,1
Marsha Blackburn,Jim Inhofe,1
Marsha Blackburn,Ben Sasse,1
Marsha Blackburn,Jerry Moran,1
Marsha Blackburn,Pat Toomey,1
Marsha Blackburn,Lamar Alexander,1
Marsha Blackburn,James E. Risch,1
Marsha Blackburn,Kelly Loeffler,1
Christopher A. Coons,Jeff Merkley,1
Christopher A. Coons,Gary C. Peters,1
Christopher A. Coons,Elizabeth A. Warren,1
Christopher A. Coons,Sheldon Whitehouse,1
Christopher A. Coons,Tammy Baldwin,1
Christopher A. Coons,Angus King,1
Christopher A. Coons,Deborah Ann Stabenow,1
Christopher A. Coons,Tammy Duckworth,1
Christopher A. Coons,Richard J. Durbin,1
Christopher A. Coons,Cory A. Booker,1
Christopher A. Coons,Doug Jones,1
Christopher A. Coons,Bernard Sanders,1
Christopher A. Coons,Edward J. Markey,1
Christopher A. Coons,Robert Menendez,1
Christopher A. Coons,Bob Casey,1
Christopher A. Coons,Sherrod Brown,1
Christopher A. Coons,Tom Udall,1
Christopher A. Coons,Charles E. Schumer,1
Christopher A. Coons,Catherine Cortez Masto,1
Christopher A. Coons,Richard Blumenthal,1
Christopher A. Coons,Jeanne Shaheen,1
Christopher A. Coons,Kamala D. Harris,1
Christopher A. Coons,Chris Van Hollen,1
Christopher A. Coons,Christopher Murphy,1
Christopher A. Coons,Mark R. Warner,1
Christopher A. Coons,Benjamin L. Cardin,1
Christopher A. Coons,Timothy Kaine,1
Christopher A. Coons,Brian Schatz,1
Christopher A. Coons,Patty Murray,1
Christopher A. Coons,Susan Margaret Collins,1
Christopher A. Coons,Ron Wyden,1
Christopher A. Coons,Margaret Wood Hassan,1
Christopher A. Coons,Tina Smith,1
Christopher A. Coons,Mazie K. Hirono,1
Christopher A. Coons,Michael F. Bennet,1
Christopher A. Coons,Kirsten E. Gillibrand,1
Christopher A. Coons,Amy Klobuchar,1
Christopher A. Coons,Patrick Joseph Leahy,1
Christopher A. Coons,Dianne Feinstein,1
Christopher A. Coons,John F. Reed,1
Christopher A. Coons,Maria Cantwell,1
Christopher A. Coons,Thomas R. Carper,1
Christopher A. Coons,Jacklyn Rosen,1
Cindy Hyde-Smith,Marco Rubio,1
Cindy Hyde-Smith,John R. Thune,1
Cindy Hyde-Smith,Michael D. Crapo,1
Cindy Hyde-Smith,Tom Cotton,1
Cindy Hyde-Smith,Richard Burr,1
Cindy Hyde-Smith,Doug Jones,1
Cindy Hyde-Smith,John Cornyn,1
Cindy Hyde-Smith,Ted Cruz,1
Cindy Hyde-Smith,Josh Hawley,1
Cindy Hyde-Smith,Mike Rounds,1
Cindy Hyde-Smith,John Barrasso,1
Cindy Hyde-Smith,Deb Fischer,1
Cindy Hyde-Smith,Marsha Blackburn,1
Cindy Hyde-Smith,Martha Mcsally,1
Cindy Hyde-Smith,Roy Blunt,1
Cindy Hyde-Smith,Mike Braun,1
Cindy Hyde-Smith,Roger F. Wicker,1
Cindy Hyde-Smith,David Alfred Perdue,1
Cindy Hyde-Smith,Pat Roberts,1
Cindy Hyde-Smith,Michael B. Enzi,1
Cindy Hyde-Smith,Charles Ernest Grassley,1
Cindy Hyde-Smith,Tim Scott,1
Cindy Hyde-Smith,Susan Margaret Collins,1
Cindy Hyde-Smith,John Neely Kennedy,1
Cindy Hyde-Smith,Steve Daines,1
Cindy Hyde-Smith,James Lankford,1
Cindy Hyde-Smith,Joni Ernst,1
Cindy Hyde-Smith,Thomas Roland Tillis,1
Cindy Hyde-Smith,Shelley Moore Capito,1
Cindy Hyde-Smith,Kevin Cramer,1
Cindy Hyde-Smith,John Hoeven,1
Cindy Hyde-Smith,Richard Craig Shelby,1
Cindy Hyde-Smith,Rick Scott,1
Cindy Hyde-Smith,John Boozman,1
Cindy Hyde-Smith,Bill Cassidy,1
Cindy Hyde-Smith,Mitt Romney,1
Cindy Hyde-Smith,Jim Inhofe,1
Cindy Hyde-Smith,Ben Sasse,1
Cindy Hyde-Smith,Jerry Moran,1
Cindy Hyde-Smith,Pat Toomey,1
Cindy Hyde-Smith,Lamar Alexander,1
Cindy Hyde-Smith,Lindsey O. Graham,1
Cindy Hyde-Smith,James E. Risch,1
Cindy Hyde-Smith,Johnny Isakson,1
Cindy Hyde-Smith,Kelly Loeffler,1
Martha Mcsally,Michael D. Crapo,1
Martha Mcsally,Deb Fischer,1
Martha Mcsally,Cindy Hyde-Smith,1
Martha Mcsally,Susan Margaret Collins,1
Martha Mcsally,Steve Daines,1
Martha Mcsally,Thomas Roland Tillis,1
Martha Mcsally,Shelley Moore Capito,1
Martha Mcsally,Kevin Cramer,1
Martha Mcsally,John Hoeven,1
Martha Mcsally,John Boozman,1
Martha Mcsally,Kyrsten Sinema,1
Kamala D. Harris,Jeff Merkley,1
Kamala D. Harris,Elizabeth A. Warren,1
Kamala D. Harris,Sheldon Whitehouse,1
Kamala D. Harris,Tammy Baldwin,1
Kamala D. Harris,Deborah Ann Stabenow,1
Kamala D. Harris,Tammy Duckworth,1
Kamala D. Harris,Richard J. Durbin,1
Kamala D. Harris,Cory A. Booker,1
Kamala D. Harris,Bernard Sanders,1
Kamala D. Harris,Edward J. Markey,1
Kamala D. Harris,Robert Menendez,1
Kamala D. Harris,Bob Casey,1
Kamala D. Harris,Sherrod Brown,1
Kamala D. Harris,Tom Udall,1
Kamala D. Harris,Charles E. Schumer,1
Kamala D. Harris,Catherine Cortez Masto,1
Kamala D. Harris,Richard Blumenthal,1
