From,To,edge
Elizabeth A. Warren,Martin Heinrich,1
Elizabeth A. Warren,Michael F. Bennet,1
Elizabeth A. Warren,Kirsten E. Gillibrand,1
Elizabeth A. Warren,Amy Klobuchar,1
Elizabeth A. Warren,Patrick Joseph Leahy,1
Elizabeth A. Warren,Dianne Feinstein,1
Elizabeth A. Warren,John F. Reed,1
Elizabeth A. Warren,Maria Cantwell,1
Elizabeth A. Warren,Thomas R. Carper,1
Elizabeth A. Warren,Jacklyn Rosen,1
Sheldon Whitehouse,Jeff Merkley,1
Sheldon Whitehouse,Gary C. Peters,1
Sheldon Whitehouse,Elizabeth A. Warren,1
Sheldon Whitehouse,Tammy Baldwin,1
Sheldon Whitehouse,Angus King,1
Sheldon Whitehouse,Deborah Ann Stabenow,1
Sheldon Whitehouse,Tammy Duckworth,1
Sheldon Whitehouse,Richard J. Durbin,1
Sheldon Whitehouse,Cory A. Booker,1
Sheldon Whitehouse,Bernard Sanders,1
Sheldon Whitehouse,Edward J. Markey,1
Sheldon Whitehouse,Robert Menendez,1
Sheldon Whitehouse,Bob Casey,1
Sheldon Whitehouse,Sherrod Brown,1
Sheldon Whitehouse,Tom Udall,1
Sheldon Whitehouse,Charles E. Schumer,1
Sheldon Whitehouse,Catherine Cortez Masto,1
Sheldon Whitehouse,Richard Blumenthal,1
Sheldon Whitehouse,Jeanne Shaheen,1
Sheldon Whitehouse,Christopher A. Coons,1
Sheldon Whitehouse,Kamala D. Harris,1
Sheldon Whitehouse,Chris Van Hollen,1
Sheldon Whitehouse,Christopher Murphy,1
Sheldon Whitehouse,Mark R. Warner,1
Sheldon Whitehouse,Benjamin L. Cardin,1
Sheldon Whitehouse,Timothy Kaine,1
Sheldon Whitehouse,Brian Schatz,1
Sheldon Whitehouse,Patty Murray,1
Sheldon Whitehouse,Ron Wyden,1
Sheldon Whitehouse,Margaret Wood Hassan,1
Sheldon Whitehouse,Tina Smith,1
Sheldon Whitehouse,Mazie K. Hirono,1
Sheldon Whitehouse,Martin Heinrich,1
Sheldon Whitehouse,Michael F. Bennet,1
Sheldon Whitehouse,Kirsten E. Gillibrand,1
Sheldon Whitehouse,Amy Klobuchar,1
Sheldon Whitehouse,Patrick Joseph Leahy,1
Sheldon Whitehouse,Dianne Feinstein,1
Sheldon Whitehouse,John F. Reed,1
Sheldon Whitehouse,Maria Cantwell,1
Sheldon Whitehouse,Thomas R. Carper,1
Sheldon Whitehouse,Jacklyn Rosen,1
Michael D. Crapo,John R. Thune,1
Michael D. Crapo,John Cornyn,1
Michael D. Crapo,Josh Hawley,1
Michael D. Crapo,Mike Rounds,1
Michael D. Crapo,John Barrasso,1
Michael D. Crapo,Deb Fischer,1
Michael D. Crapo,Marsha Blackburn,1
Michael D. Crapo,Cindy Hyde-Smith,1
Michael D. Crapo,Martha Mcsally,1
Michael D. Crapo,Roy Blunt,1
Michael D. Crapo,Mike Braun,1
Michael D. Crapo,Roger F. Wicker,1
Michael D. Crapo,Dan Sullivan,1
Michael D. Crapo,David Alfred Perdue,1
Michael D. Crapo,Pat Roberts,1
Michael D. Crapo,Michael B. Enzi,1
Michael D. Crapo,Charles Ernest Grassley,1
Michael D. Crapo,Tim Scott,1
Michael D. Crapo,John Neely Kennedy,1
Michael D. Crapo,Steve Daines,1
Michael D. Crapo,James Lankford,1
Michael D. Crapo,Joni Ernst,1
Michael D. Crapo,Thomas Roland Tillis,1
Michael D. Crapo,Shelley Moore Capito,1
Michael D. Crapo,Kevin Cramer,1
Michael D. Crapo,John Hoeven,1
Michael D. Crapo,Richard Craig Shelby,1
Michael D. Crapo,John Boozman,1
Michael D. Crapo,Cory Gardner,1
Michael D. Crapo,Mitt Romney,1
Michael D. Crapo,Jim Inhofe,1
Michael D. Crapo,Ben Sasse,1
Michael D. Crapo,Jerry Moran,1
Michael D. Crapo,Pat Toomey,1
Michael D. Crapo,James E. Risch,1
Tammy Baldwin,Jeff Merkley,1
Tammy Baldwin,Gary C. Peters,1
Tammy Baldwin,Elizabeth A. Warren,1
Tammy Baldwin,Sheldon Whitehouse,1
Tammy Baldwin,Angus King,1
Tammy Baldwin,Deborah Ann Stabenow,1
Tammy Baldwin,Tammy Duckworth,1
Tammy Baldwin,Richard J. Durbin,1
Tammy Baldwin,Cory A. Booker,1
Tammy Baldwin,Bernard Sanders,1
Tammy Baldwin,Edward J. Markey,1
Tammy Baldwin,Robert Menendez,1
Tammy Baldwin,Bob Casey,1
Tammy Baldwin,Sherrod Brown,1
Tammy Baldwin,Tom Udall,1
Tammy Baldwin,Charles E. Schumer,1
Tammy Baldwin,Catherine Cortez Masto,1
Tammy Baldwin,Jon Tester,1
Tammy Baldwin,Richard Blumenthal,1
Tammy Baldwin,Jeanne Shaheen,1
Tammy Baldwin,Christopher A. Coons,1
Tammy Baldwin,Kamala D. Harris,1
Tammy Baldwin,Chris Van Hollen,1
Tammy Baldwin,Christopher Murphy,1
Tammy Baldwin,Mark R. Warner,1
