,From,To,edge
2,Mel Martinez,A. Wayne Allard,1
6,Mel Martinez,George F. Allen,1
8,Mel Martinez,Jon Llewellyn Kyl,1
10,Mel Martinez,Rick Santorum,1
17,Mel Martinez,James W. Demint,1
22,Mel Martinez,Norm Coleman,1
28,Mel Martinez,Jim Bunning,1
32,Mel Martinez,Lamar Alexander,1
43,Mel Martinez,Chester Trent Lott,1
45,Mel Martinez,Clarence William Nelson,1
48,Mel Martinez,Thad Cochran,1
49,Mel Martinez,John R. Thune,1
51,Mel Martinez,Elizabeth H. Dole,1
54,Mel Martinez,Kay Bailey Hutchison,1
55,Mel Martinez,David Vitter,1
56,Mel Martinez,John Cornyn,1
58,Mel Martinez,Richard Craig Shelby,1
65,Mel Martinez,Saxby Chambliss,1
74,Mel Martinez,Johnny Isakson,1
76,Mel Martinez,Sam Brownback,1
81,Mel Martinez,Conrad R. Burns,1
82,Mel Martinez,Chuck Hagel,1
89,Mel Martinez,E. Benjamin Nelson,1
91,Mel Martinez,Tom Coburn,1
92,Mel Martinez,John Ensign,1
93,Mel Martinez,Jeff Sessions,1
98,Mel Martinez,Mitch Mcconnell,1
99,Mel Martinez,Richard Burr,1
110,Pete Vichi Domenici,Jesse Francis Bingaman,1
127,Pete Vichi Domenici,Pat Roberts,1
133,Pete Vichi Domenici,Lamar Alexander,1
143,Pete Vichi Domenici,Theodore F. Stevens,1
149,Pete Vichi Domenici,Thad Cochran,1
155,Pete Vichi Domenici,Kay Bailey Hutchison,1
163,Pete Vichi Domenici,Lisa Murkowski,1
169,Pete Vichi Domenici,Larry Edwin Craig,1
171,Pete Vichi Domenici,Robert F. Bennett,1
182,Pete Vichi Domenici,Conrad R. Burns,1
183,Pete Vichi Domenici,Chuck Hagel,1
190,Pete Vichi Domenici,E. Benjamin Nelson,1
202,A. Wayne Allard,Mel Martinez,1
210,A. Wayne Allard,Jon Llewellyn Kyl,1
213,A. Wayne Allard,Michael D. Crapo,1
228,A. Wayne Allard,Pat Roberts,1
230,A. Wayne Allard,Jim Bunning,1
236,A. Wayne Allard,Ken Salazar,1
251,A. Wayne Allard,John R. Thune,1
253,A. Wayne Allard,Elizabeth H. Dole,1
257,A. Wayne Allard,David Vitter,1
260,A. Wayne Allard,Richard Craig Shelby,1
267,A. Wayne Allard,Saxby Chambliss,1
270,A. Wayne Allard,Larry Edwin Craig,1
283,A. Wayne Allard,Conrad R. Burns,1
293,A. Wayne Allard,Tom Coburn,1
294,A. Wayne Allard,John Ensign,1
295,A. Wayne Allard,Jeff Sessions,1
299,A. Wayne Allard,Craig Thomas,1
300,A. Wayne Allard,Mitch Mcconnell,1
317,Ron Wyden,Edward Moore Kennedy,1
318,Ron Wyden,Dianne Feinstein,1
