,From,To,edge
322,Ron Wyden,Paul Spyros Sarbanes,1
326,Ron Wyden,Gordon H. Smith,1
327,Ron Wyden,Christopher John Dodd,1
332,Ron Wyden,John F. Reed,1
333,Ron Wyden,Maria Cantwell,1
334,Ron Wyden,Barbara Boxer,1
349,Ron Wyden,Carl Milton Levin,1
350,Ron Wyden,Patty Murray,1
356,Ron Wyden,Tim Johnson,1
366,Ron Wyden,Joseph I. Lieberman,1
367,Ron Wyden,Russell D. Feingold,1
370,Ron Wyden,Deborah Ann Stabenow,1
374,Ron Wyden,John Forbes Kerry,1
376,Ron Wyden,Barbara Ann Mikulski,1
383,Ron Wyden,Joseph Robinette Biden,1
388,Ron Wyden,Mark Dayton,1
393,Ron Wyden,Patrick Joseph Leahy,1
397,Ron Wyden,Evan Bayh,1
412,Charles Ernest Grassley,Jon Llewellyn Kyl,1
425,Charles Ernest Grassley,Jim Talent,1
430,Charles Ernest Grassley,Pat Roberts,1
440,Charles Ernest Grassley,Orrin Grant Hatch,1
452,Charles Ernest Grassley,Thad Cochran,1
453,Charles Ernest Grassley,John R. Thune,1
460,Charles Ernest Grassley,John Cornyn,1
464,Charles Ernest Grassley,Max Sieben Baucus,1
470,Charles Ernest Grassley,Lindsey O. Graham,1
486,Charles Ernest Grassley,Chuck Hagel,1
493,Charles Ernest Grassley,E. Benjamin Nelson,1
501,Charles Ernest Grassley,Craig Thomas,1
513,John Sidney Mccain,Jon Llewellyn Kyl,1
543,John Sidney Mccain,John E. Sununu,1
606,George F. Allen,Mel Martinez,1
614,George F. Allen,Jon Llewellyn Kyl,1
616,George F. Allen,Rick Santorum,1
623,George F. Allen,James W. Demint,1
627,George F. Allen,Jim Talent,1
634,George F. Allen,Jim Bunning,1
638,George F. Allen,Lamar Alexander,1
639,George F. Allen,Jim Inhofe,1
643,George F. Allen,John William Warner,1
644,George F. Allen,John E. Sununu,1
649,George F. Allen,Chester Trent Lott,1
654,George F. Allen,Thad Cochran,1
655,George F. Allen,John R. Thune,1
657,George F. Allen,Elizabeth H. Dole,1
661,George F. Allen,David Vitter,1
662,George F. Allen,John Cornyn,1
671,George F. Allen,Saxby Chambliss,1
672,George F. Allen,Lindsey O. Graham,1
674,George F. Allen,Larry Edwin Craig,1
680,George F. Allen,Johnny Isakson,1
687,George F. Allen,Conrad R. Burns,1
697,George F. Allen,Tom Coburn,1
698,George F. Allen,John Ensign,1
703,George F. Allen,Craig Thomas,1
704,George F. Allen,Mitch Mcconnell,1
705,George F. Allen,Richard Burr,1
787,Richard Green Lugar,Joseph Robinette Biden,1
789,Richard Green Lugar,Chuck Hagel,1
801,Richard Green Lugar,Evan Bayh,1
808,Jon Llewellyn Kyl,Mel Martinez,1
810,Jon Llewellyn Kyl,A. Wayne Allard,1
812,Jon Llewellyn Kyl,Charles Ernest Grassley,1
813,Jon Llewellyn Kyl,John Sidney Mccain,1
814,Jon Llewellyn Kyl,George F. Allen,1
819,Jon Llewellyn Kyl,Michael D. Crapo,1
825,Jon Llewellyn Kyl,James W. Demint,1
836,Jon Llewellyn Kyl,Jim Bunning,1
844,Jon Llewellyn Kyl,Orrin Grant Hatch,1
851,Jon Llewellyn Kyl,Chester Trent Lott,1
859,Jon Llewellyn Kyl,Elizabeth H. Dole,1
864,Jon Llewellyn Kyl,John Cornyn,1
866,Jon Llewellyn Kyl,Richard Craig Shelby,1
873,Jon Llewellyn Kyl,Saxby Chambliss,1
874,Jon Llewellyn Kyl,Lindsey O. Graham,1
884,Jon Llewellyn Kyl,Sam Brownback,1
899,Jon Llewellyn Kyl,Tom Coburn,1
900,Jon Llewellyn Kyl,John Ensign,1
901,Jon Llewellyn Kyl,Jeff Sessions,1
905,Jon Llewellyn Kyl,Craig Thomas,1
906,Jon Llewellyn Kyl,Mitch Mcconnell,1
910,Jesse Francis Bingaman,Pete Vichi Domenici,1
923,Jesse Francis Bingaman,Edward Moore Kennedy,1
929,Jesse Francis Bingaman,Richard J. Durbin,1
933,Jesse Francis Bingaman,Christopher John Dodd,1
934,Jesse Francis Bingaman,Hillary R Clinton,1
938,Jesse Francis Bingaman,John F. Reed,1
939,Jesse Francis Bingaman,Maria Cantwell,1
940,Jesse Francis Bingaman,Barbara Boxer,1
943,Jesse Francis Bingaman,Ken Salazar,1
950,Jesse Francis Bingaman,Blanche Lambert Lincoln,1
954,Jesse Francis Bingaman,Clarence William Nelson,1
956,Jesse Francis Bingaman,Patty Murray,1
961,Jesse Francis Bingaman,Thomas Richard Harkin,1
962,Jesse Francis Bingaman,Tim Johnson,1
970,Jesse Francis Bingaman,Kent Conrad,1
972,Jesse Francis Bingaman,Joseph I. Lieberman,1
976,Jesse Francis Bingaman,Deborah Ann Stabenow,1
980,Jesse Francis Bingaman,John Forbes Kerry,1
982,Jesse Francis Bingaman,Barbara Ann Mikulski,1
994,Jesse Francis Bingaman,Mark Dayton,1
996,Jesse Francis Bingaman,Herbert H. Kohl,1
1003,Jesse Francis Bingaman,Evan Bayh,1
1004,Jesse Francis Bingaman,Mark Lunsford Pryor,1
1005,Jesse Francis Bingaman,Byron Leslie Dorgan,1
1010,Rick Santorum,Mel Martinez,1
1016,Rick Santorum,George F. Allen,1
1031,Rick Santorum,Jim Talent,1
1038,Rick Santorum,Jim Bunning,1
1058,Rick Santorum,Thad Cochran,1
1061,Rick Santorum,Elizabeth H. Dole,1
1086,Rick Santorum,Sam Brownback,1
1101,Rick Santorum,Tom Coburn,1
1108,Rick Santorum,Mitch Mcconnell,1
1113,Michael D. Crapo,A. Wayne Allard,1
1119,Michael D. Crapo,Jon Llewellyn Kyl,1
1123,Michael D. Crapo,Michael B. Enzi,1
1128,Michael D. Crapo,James W. Demint,1
1139,Michael D. Crapo,Jim Bunning,1
1144,Michael D. Crapo,Jim Inhofe,1
1160,Michael D. Crapo,John R. Thune,1
1179,Michael D. Crapo,Larry Edwin Craig,1
1192,Michael D. Crapo,Conrad R. Burns,1
1208,Michael D. Crapo,Craig Thomas,1
1223,Michael B. Enzi,Michael D. Crapo,1
1238,Michael B. Enzi,Pat Roberts,1
1240,Michael B. Enzi,Jim Bunning,1
1261,Michael B. Enzi,John R. Thune,1
1280,Michael B. Enzi,Larry Edwin Craig,1
1286,Michael B. Enzi,Johnny Isakson,1
1293,Michael B. Enzi,Conrad R. Burns,1
1305,Michael B. Enzi,Jeff Sessions,1
1309,Michael B. Enzi,Craig Thomas,1
1311,Michael B. Enzi,Richard Burr,1
1327,James Merrill Jeffords,Edward Moore Kennedy,1
1329,James Merrill Jeffords,Olympia J. Snowe,1
1331,James Merrill Jeffords,Lincoln D. Chafee,1
1332,James Merrill Jeffords,Paul Spyros Sarbanes,1
1333,James Merrill Jeffords,Richard J. Durbin,1
1337,James Merrill Jeffords,Christopher John Dodd,1
1338,James Merrill Jeffords,Hillary R Clinton,1
1342,James Merrill Jeffords,John F. Reed,1
1343,James Merrill Jeffords,Maria Cantwell,1
1344,James Merrill Jeffords,Barbara Boxer,1
1352,James Merrill Jeffords,Charles E. Schumer,1
1354,James Merrill Jeffords,Blanche Lambert Lincoln,1
1360,James Merrill Jeffords,Patty Murray,1
1365,James Merrill Jeffords,Thomas Richard Harkin,1
1366,James Merrill Jeffords,Tim Johnson,1
1370,James Merrill Jeffords,Jon S. Corzine,1
1376,James Merrill Jeffords,Joseph I. Lieberman,1
1380,James Merrill Jeffords,Deborah Ann Stabenow,1
1384,James Merrill Jeffords,John Forbes Kerry,1
1386,James Merrill Jeffords,Barbara Ann Mikulski,1
1388,James Merrill Jeffords,Susan Margaret Collins,1
1398,James Merrill Jeffords,Mark Dayton,1
1399,James Merrill Jeffords,Frank R. Lautenberg,1
1403,James Merrill Jeffords,Patrick Joseph Leahy,1
1408,James Merrill Jeffords,Mark Lunsford Pryor,1
1417,Edward Moore Kennedy,Ron Wyden,1
1423,Edward Moore Kennedy,Jesse Francis Bingaman,1
1427,Edward Moore Kennedy,James Merrill Jeffords,1
1433,Edward Moore Kennedy,Paul Spyros Sarbanes,1
1434,Edward Moore Kennedy,Richard J. Durbin,1
1438,Edward Moore Kennedy,Christopher John Dodd,1
1439,Edward Moore Kennedy,Hillary R Clinton,1
1443,Edward Moore Kennedy,John F. Reed,1
1444,Edward Moore Kennedy,Maria Cantwell,1
1445,Edward Moore Kennedy,Barbara Boxer,1
1449,Edward Moore Kennedy,Daniel Kohikina Akaka,1
1453,Edward Moore Kennedy,Charles E. Schumer,1
1460,Edward Moore Kennedy,Carl Milton Levin,1
1461,Edward Moore Kennedy,Patty Murray,1
1466,Edward Moore Kennedy,Thomas Richard Harkin,1
1467,Edward Moore Kennedy,Tim Johnson,1
1471,Edward Moore Kennedy,Jon S. Corzine,1
1477,Edward Moore Kennedy,Joseph I. Lieberman,1
1478,Edward Moore Kennedy,Russell D. Feingold,1
1481,Edward Moore Kennedy,Deborah Ann Stabenow,1
1485,Edward Moore Kennedy,John Forbes Kerry,1
1487,Edward Moore Kennedy,Barbara Ann Mikulski,1
1493,Edward Moore Kennedy,Barack Obama,1
1499,Edward Moore Kennedy,Mark Dayton,1
1500,Edward Moore Kennedy,Frank R. Lautenberg,1
1501,Edward Moore Kennedy,Herbert H. Kohl,1
1504,Edward Moore Kennedy,Patrick Joseph Leahy,1
1518,Dianne Feinstein,Ron Wyden,1
1535,Dianne Feinstein,Richard J. Durbin,1
1539,Dianne Feinstein,Christopher John Dodd,1
1540,Dianne Feinstein,Hillary R Clinton,1
1544,Dianne Feinstein,John F. Reed,1
1545,Dianne Feinstein,Maria Cantwell,1
1546,Dianne Feinstein,Barbara Boxer,1
1549,Dianne Feinstein,Ken Salazar,1
1554,Dianne Feinstein,Charles E. Schumer,1
1561,Dianne Feinstein,Carl Milton Levin,1
1562,Dianne Feinstein,Patty Murray,1
1578,Dianne Feinstein,Joseph I. Lieberman,1
1579,Dianne Feinstein,Russell D. Feingold,1
1582,Dianne Feinstein,Deborah Ann Stabenow,1
1586,Dianne Feinstein,John Forbes Kerry,1
1588,Dianne Feinstein,Barbara Ann Mikulski,1
1601,Dianne Feinstein,Frank R. Lautenberg,1
1602,Dianne Feinstein,Herbert H. Kohl,1
1605,Dianne Feinstein,Patrick Joseph Leahy,1
1609,Dianne Feinstein,Evan Bayh,1
1629,Olympia J. Snowe,James Merrill Jeffords,1
1634,Olympia J. Snowe,Lincoln D. Chafee,1
1645,Olympia J. Snowe,John F. Reed,1
1646,Olympia J. Snowe,Maria Cantwell,1
1657,Olympia J. Snowe,Blanche Lambert Lincoln,1
1679,Olympia J. Snowe,Joseph I. Lieberman,1
1687,Olympia J. Snowe,John Forbes Kerry,1
1691,Olympia J. Snowe,Susan Margaret Collins,1
1711,Olympia J. Snowe,Mark Lunsford Pryor,1
1717,James W. Demint,Mel Martinez,1
1723,James W. Demint,George F. Allen,1
1725,James W. Demint,Jon Llewellyn Kyl,1
1728,James W. Demint,Michael D. Crapo,1
1745,James W. Demint,Jim Bunning,1
1750,James W. Demint,Jim Inhofe,1
1766,James W. Demint,John R. Thune,1
1772,James W. Demint,David Vitter,1
1783,James W. Demint,Lindsey O. Graham,1
1791,James W. Demint,Johnny Isakson,1
1808,James W. Demint,Tom Coburn,1
1809,James W. Demint,John Ensign,1
1810,James W. Demint,Jeff Sessions,1
1815,James W. Demint,Mitch Mcconnell,1
1816,James W. Demint,Richard Burr,1
1831,Lincoln D. Chafee,James Merrill Jeffords,1
1834,Lincoln D. Chafee,Olympia J. Snowe,1
1842,Lincoln D. Chafee,Christopher John Dodd,1
1847,Lincoln D. Chafee,John F. Reed,1
1848,Lincoln D. Chafee,Maria Cantwell,1
1856,Lincoln D. Chafee,John E. Sununu,1
1865,Lincoln D. Chafee,Patty Murray,1
1881,Lincoln D. Chafee,Joseph I. Lieberman,1
1889,Lincoln D. Chafee,John Forbes Kerry,1
1893,Lincoln D. Chafee,Susan Margaret Collins,1
1922,Paul Spyros Sarbanes,Ron Wyden,1
1932,Paul Spyros Sarbanes,James Merrill Jeffords,1
1933,Paul Spyros Sarbanes,Edward Moore Kennedy,1
1939,Paul Spyros Sarbanes,Richard J. Durbin,1
1943,Paul Spyros Sarbanes,Christopher John Dodd,1
1944,Paul Spyros Sarbanes,Hillary R Clinton,1
1946,Paul Spyros Sarbanes,Mary Landrieu,1
1948,Paul Spyros Sarbanes,John F. Reed,1
1949,Paul Spyros Sarbanes,Maria Cantwell,1
1950,Paul Spyros Sarbanes,Barbara Boxer,1
1954,Paul Spyros Sarbanes,Daniel Kohikina Akaka,1
1958,Paul Spyros Sarbanes,Charles E. Schumer,1
1965,Paul Spyros Sarbanes,Carl Milton Levin,1
1966,Paul Spyros Sarbanes,Patty Murray,1
1971,Paul Spyros Sarbanes,Thomas Richard Harkin,1
1972,Paul Spyros Sarbanes,Tim Johnson,1
1976,Paul Spyros Sarbanes,Jon S. Corzine,1
1982,Paul Spyros Sarbanes,Joseph I. Lieberman,1
1986,Paul Spyros Sarbanes,Deborah Ann Stabenow,1
1990,Paul Spyros Sarbanes,John Forbes Kerry,1
1992,Paul Spyros Sarbanes,Barbara Ann Mikulski,1
1996,Paul Spyros Sarbanes,Daniel Ken Inouye,1
1999,Paul Spyros Sarbanes,Joseph Robinette Biden,1
2004,Paul Spyros Sarbanes,Mark Dayton,1
2005,Paul Spyros Sarbanes,Frank R. Lautenberg,1
2006,Paul Spyros Sarbanes,Herbert H. Kohl,1
2009,Paul Spyros Sarbanes,Patrick Joseph Leahy,1
2013,Paul Spyros Sarbanes,Evan Bayh,1
2029,Richard J. Durbin,Jesse Francis Bingaman,1
2033,Richard J. Durbin,James Merrill Jeffords,1
2034,Richard J. Durbin,Edward Moore Kennedy,1
2035,Richard J. Durbin,Dianne Feinstein,1
2039,Richard J. Durbin,Paul Spyros Sarbanes,1
2044,Richard J. Durbin,Christopher John Dodd,1
2045,Richard J. Durbin,Hillary R Clinton,1
2047,Richard J. Durbin,Mary Landrieu,1
2049,Richard J. Durbin,John F. Reed,1
2050,Richard J. Durbin,Maria Cantwell,1
2051,Richard J. Durbin,Barbara Boxer,1
2054,Richard J. Durbin,Ken Salazar,1
2055,Richard J. Durbin,Daniel Kohikina Akaka,1
2059,Richard J. Durbin,Charles E. Schumer,1
2066,Richard J. Durbin,Carl Milton Levin,1
2067,Richard J. Durbin,Patty Murray,1
2072,Richard J. Durbin,Thomas Richard Harkin,1
2073,Richard J. Durbin,Tim Johnson,1
2077,Richard J. Durbin,Jon S. Corzine,1
2083,Richard J. Durbin,Joseph I. Lieberman,1
2084,Richard J. Durbin,Russell D. Feingold,1
2087,Richard J. Durbin,Deborah Ann Stabenow,1
2091,Richard J. Durbin,John Forbes Kerry,1
2093,Richard J. Durbin,Barbara Ann Mikulski,1
2099,Richard J. Durbin,Barack Obama,1
2100,Richard J. Durbin,Joseph Robinette Biden,1
2105,Richard J. Durbin,Mark Dayton,1
2106,Richard J. Durbin,Frank R. Lautenberg,1
2107,Richard J. Durbin,Herbert H. Kohl,1
2110,Richard J. Durbin,Patrick Joseph Leahy,1
2114,Richard J. Durbin,Evan Bayh,1
2115,Richard J. Durbin,Mark Lunsford Pryor,1
2125,Jim Talent,Charles Ernest Grassley,1
2127,Jim Talent,George F. Allen,1
2131,Jim Talent,Rick Santorum,1
2143,Jim Talent,Norm Coleman,1
2147,Jim Talent,Pat Roberts,1
2149,Jim Talent,Jim Bunning,1
2153,Jim Talent,Lamar Alexander,1
2169,Jim Talent,Thad Cochran,1
2170,Jim Talent,John R. Thune,1
2172,Jim Talent,Elizabeth H. Dole,1
2175,Jim Talent,Kay Bailey Hutchison,1
2176,Jim Talent,David Vitter,1
2195,Jim Talent,Johnny Isakson,1
2202,Jim Talent,Conrad R. Burns,1
2203,Jim Talent,Chuck Hagel,1
2209,Jim Talent,Christopher S. Bond,1
2210,Jim Talent,E. Benjamin Nelson,1
2216,Jim Talent,Mark Lunsford Pryor,1
2219,Jim Talent,Mitch Mcconnell,1
2222,Norm Coleman,Mel Martinez,1
2243,Norm Coleman,Jim Talent,1
2263,Norm Coleman,Blanche Lambert Lincoln,1
2267,Norm Coleman,Clarence William Nelson,1
2270,Norm Coleman,Thad Cochran,1
2272,Norm Coleman,George V. Voinovich,1
2275,Norm Coleman,Tim Johnson,1
2297,Norm Coleman,Susan Margaret Collins,1
2304,Norm Coleman,Chuck Hagel,1
2306,Norm Coleman,Michael Dewine,1
2307,Norm Coleman,Mark Dayton,1
2311,Norm Coleman,E. Benjamin Nelson,1
2316,Norm Coleman,Evan Bayh,1
2317,Norm Coleman,Mark Lunsford Pryor,1
2326,Gordon H. Smith,Ron Wyden,1
2368,Gordon H. Smith,Clarence William Nelson,1
2427,Christopher John Dodd,Ron Wyden,1
2433,Christopher John Dodd,Jesse Francis Bingaman,1
2437,Christopher John Dodd,James Merrill Jeffords,1
2438,Christopher John Dodd,Edward Moore Kennedy,1
2439,Christopher John Dodd,Dianne Feinstein,1
2442,Christopher John Dodd,Lincoln D. Chafee,1
2443,Christopher John Dodd,Paul Spyros Sarbanes,1
2444,Christopher John Dodd,Richard J. Durbin,1
2449,Christopher John Dodd,Hillary R Clinton,1
2451,Christopher John Dodd,Mary Landrieu,1
2453,Christopher John Dodd,John F. Reed,1
2454,Christopher John Dodd,Maria Cantwell,1
2455,Christopher John Dodd,Barbara Boxer,1
2459,Christopher John Dodd,Daniel Kohikina Akaka,1
2463,Christopher John Dodd,Charles E. Schumer,1
2470,Christopher John Dodd,Carl Milton Levin,1
2471,Christopher John Dodd,Patty Murray,1
2476,Christopher John Dodd,Thomas Richard Harkin,1
2477,Christopher John Dodd,Tim Johnson,1
2481,Christopher John Dodd,Jon S. Corzine,1
2487,Christopher John Dodd,Joseph I. Lieberman,1
2488,Christopher John Dodd,Russell D. Feingold,1
2491,Christopher John Dodd,Deborah Ann Stabenow,1
2495,Christopher John Dodd,John Forbes Kerry,1
2497,Christopher John Dodd,Barbara Ann Mikulski,1
2499,Christopher John Dodd,Susan Margaret Collins,1
2503,Christopher John Dodd,Barack Obama,1
2504,Christopher John Dodd,Joseph Robinette Biden,1
2509,Christopher John Dodd,Mark Dayton,1
2510,Christopher John Dodd,Frank R. Lautenberg,1
2511,Christopher John Dodd,Herbert H. Kohl,1
2514,Christopher John Dodd,Patrick Joseph Leahy,1
2518,Christopher John Dodd,Evan Bayh,1
2534,Hillary R Clinton,Jesse Francis Bingaman,1
2538,Hillary R Clinton,James Merrill Jeffords,1
2539,Hillary R Clinton,Edward Moore Kennedy,1
2540,Hillary R Clinton,Dianne Feinstein,1
2544,Hillary R Clinton,Paul Spyros Sarbanes,1
2545,Hillary R Clinton,Richard J. Durbin,1
2549,Hillary R Clinton,Christopher John Dodd,1
2552,Hillary R Clinton,Mary Landrieu,1
2554,Hillary R Clinton,John F. Reed,1
2555,Hillary R Clinton,Maria Cantwell,1
2556,Hillary R Clinton,Barbara Boxer,1
2559,Hillary R Clinton,Ken Salazar,1
2564,Hillary R Clinton,Charles E. Schumer,1
2570,Hillary R Clinton,Clarence William Nelson,1
2571,Hillary R Clinton,Carl Milton Levin,1
2572,Hillary R Clinton,Patty Murray,1
2577,Hillary R Clinton,Thomas Richard Harkin,1
2578,Hillary R Clinton,Tim Johnson,1
2582,Hillary R Clinton,Jon S. Corzine,1
2588,Hillary R Clinton,Joseph I. Lieberman,1
2592,Hillary R Clinton,Deborah Ann Stabenow,1
2596,Hillary R Clinton,John Forbes Kerry,1
2598,Hillary R Clinton,Barbara Ann Mikulski,1
2600,Hillary R Clinton,Susan Margaret Collins,1
2604,Hillary R Clinton,Barack Obama,1
2610,Hillary R Clinton,Mark Dayton,1
2611,Hillary R Clinton,Frank R. Lautenberg,1
2612,Hillary R Clinton,Herbert H. Kohl,1
2615,Hillary R Clinton,Patrick Joseph Leahy,1
2619,Hillary R Clinton,Evan Bayh,1
2620,Hillary R Clinton,Mark Lunsford Pryor,1
2625,Hillary R Clinton,Robert Menendez,1
2627,Pat Roberts,Pete Vichi Domenici,1
2628,Pat Roberts,A. Wayne Allard,1
2630,Pat Roberts,Charles Ernest Grassley,1
2638,Pat Roberts,Michael B. Enzi,1
2647,Pat Roberts,Jim Talent,1
2654,Pat Roberts,Jim Bunning,1
2658,Pat Roberts,Lamar Alexander,1
2662,Pat Roberts,Orrin Grant Hatch,1
2663,Pat Roberts,John William Warner,1
2669,Pat Roberts,Chester Trent Lott,1
2675,Pat Roberts,John R. Thune,1
2677,Pat Roberts,Elizabeth H. Dole,1
2680,Pat Roberts,Kay Bailey Hutchison,1
2684,Pat Roberts,Richard Craig Shelby,1
2691,Pat Roberts,Saxby Chambliss,1
2694,Pat Roberts,Larry Edwin Craig,1
2696,Pat Roberts,Robert F. Bennett,1
2700,Pat Roberts,Johnny Isakson,1
2702,Pat Roberts,Sam Brownback,1
2707,Pat Roberts,Conrad R. Burns,1
2708,Pat Roberts,Chuck Hagel,1
2714,Pat Roberts,Christopher S. Bond,1
2715,Pat Roberts,E. Benjamin Nelson,1
2719,Pat Roberts,Jeff Sessions,1
2721,Pat Roberts,Mark Lunsford Pryor,1
2723,Pat Roberts,Craig Thomas,1
2724,Pat Roberts,Mitch Mcconnell,1
2725,Pat Roberts,Richard Burr,1
2746,Mary Landrieu,Paul Spyros Sarbanes,1
2747,Mary Landrieu,Richard J. Durbin,1
2751,Mary Landrieu,Christopher John Dodd,1
2752,Mary Landrieu,Hillary R Clinton,1
2757,Mary Landrieu,Maria Cantwell,1
2758,Mary Landrieu,Barbara Boxer,1
2761,Mary Landrieu,Ken Salazar,1
2768,Mary Landrieu,Blanche Lambert Lincoln,1
2774,Mary Landrieu,Patty Murray,1
2775,Mary Landrieu,Thad Cochran,1
2780,Mary Landrieu,Tim Johnson,1
2782,Mary Landrieu,David Vitter,1
2790,Mary Landrieu,Joseph I. Lieberman,1
2794,Mary Landrieu,Deborah Ann Stabenow,1
2798,Mary Landrieu,John Forbes Kerry,1
2800,Mary Landrieu,Barbara Ann Mikulski,1
2802,Mary Landrieu,Susan Margaret Collins,1
2812,Mary Landrieu,Mark Dayton,1
2813,Mary Landrieu,Frank R. Lautenberg,1
2814,Mary Landrieu,Herbert H. Kohl,1
2816,Mary Landrieu,E. Benjamin Nelson,1
2821,Mary Landrieu,Evan Bayh,1
2822,Mary Landrieu,Mark Lunsford Pryor,1
2828,Jim Bunning,Mel Martinez,1
2830,Jim Bunning,A. Wayne Allard,1
2834,Jim Bunning,George F. Allen,1
2836,Jim Bunning,Jon Llewellyn Kyl,1
2838,Jim Bunning,Rick Santorum,1
2839,Jim Bunning,Michael D. Crapo,1
2840,Jim Bunning,Michael B. Enzi,1
2845,Jim Bunning,James W. Demint,1
2849,Jim Bunning,Jim Talent,1
2854,Jim Bunning,Pat Roberts,1
2861,Jim Bunning,Jim Inhofe,1
2864,Jim Bunning,Orrin Grant Hatch,1
2871,Jim Bunning,Chester Trent Lott,1
2876,Jim Bunning,Thad Cochran,1
2877,Jim Bunning,John R. Thune,1
2879,Jim Bunning,Elizabeth H. Dole,1
2883,Jim Bunning,David Vitter,1
2886,Jim Bunning,Richard Craig Shelby,1
2893,Jim Bunning,Saxby Chambliss,1
2894,Jim Bunning,Lindsey O. Graham,1
2896,Jim Bunning,Larry Edwin Craig,1
2902,Jim Bunning,Johnny Isakson,1
2904,Jim Bunning,Sam Brownback,1
2909,Jim Bunning,Conrad R. Burns,1
2917,Jim Bunning,E. Benjamin Nelson,1
2919,Jim Bunning,Tom Coburn,1
2920,Jim Bunning,John Ensign,1
2921,Jim Bunning,Jeff Sessions,1
2925,Jim Bunning,Craig Thomas,1
2926,Jim Bunning,Mitch Mcconnell,1
2927,Jim Bunning,Richard Burr,1
2932,John F. Reed,Ron Wyden,1
2938,John F. Reed,Jesse Francis Bingaman,1
2942,John F. Reed,James Merrill Jeffords,1
2943,John F. Reed,Edward Moore Kennedy,1
2944,John F. Reed,Dianne Feinstein,1
2945,John F. Reed,Olympia J. Snowe,1
2947,John F. Reed,Lincoln D. Chafee,1
2948,John F. Reed,Paul Spyros Sarbanes,1
2949,John F. Reed,Richard J. Durbin,1
2953,John F. Reed,Christopher John Dodd,1
2954,John F. Reed,Hillary R Clinton,1
2959,John F. Reed,Maria Cantwell,1
2960,John F. Reed,Barbara Boxer,1
2964,John F. Reed,Daniel Kohikina Akaka,1
2968,John F. Reed,Charles E. Schumer,1
2975,John F. Reed,Carl Milton Levin,1
2976,John F. Reed,Patty Murray,1
2981,John F. Reed,Thomas Richard Harkin,1
2982,John F. Reed,Tim Johnson,1
2986,John F. Reed,Jon S. Corzine,1
2992,John F. Reed,Joseph I. Lieberman,1
2996,John F. Reed,Deborah Ann Stabenow,1
3000,John F. Reed,John Forbes Kerry,1
3001,John F. Reed,Thomas R. Carper,1
3002,John F. Reed,Barbara Ann Mikulski,1
3004,John F. Reed,Susan Margaret Collins,1
3006,John F. Reed,Daniel Ken Inouye,1
3009,John F. Reed,Joseph Robinette Biden,1
3014,John F. Reed,Mark Dayton,1
3015,John F. Reed,Frank R. Lautenberg,1
