,From,To,edge
1,Louise M. Slaughter,Barbara Lee,1
3,Louise M. Slaughter,Charles B. Rangel,1
4,Louise M. Slaughter,Adam B. Schiff,1
5,Louise M. Slaughter,Janice D. Schakowsky,1
6,Louise M. Slaughter,Russ Carnahan,1
7,Louise M. Slaughter,Shelley Berkley,1
9,Louise M. Slaughter,Carolyn B. Maloney,1
10,Louise M. Slaughter,Bobby L. Rush,1
12,Louise M. Slaughter,Jose E. Serrano,1
14,Louise M. Slaughter,Carolyn Mccarthy,1
16,Louise M. Slaughter,Emanuel Cleaver,1
17,Louise M. Slaughter,Alcee L. Hastings,1
20,Louise M. Slaughter,Rahm Emanuel,1
25,Louise M. Slaughter,Jay Inslee,1
26,Louise M. Slaughter,Eleanor Holmes Norton,1
28,Louise M. Slaughter,Eliot L. Engel,1
29,Louise M. Slaughter,Elijah E. Cummings,1
31,Louise M. Slaughter,Eddie Bernice Johnson,1
33,Louise M. Slaughter,Grace F. Napolitano,1
37,Louise M. Slaughter,Albert R. Wynn,1
41,Louise M. Slaughter,Gregory W. Meeks,1
42,Louise M. Slaughter,Betty Sutton,1
43,Louise M. Slaughter,Maurice D. Hinchey,1
45,Louise M. Slaughter,Patrick J. Kennedy,1
50,Louise M. Slaughter,Danny K. Davis,1
54,Louise M. Slaughter,Timothy H. Bishop,1
56,Louise M. Slaughter,Patrick J. Murphy,1
60,Louise M. Slaughter,Bob Filner,1
62,Louise M. Slaughter,Stephanie Tubbs Jones,1
65,Louise M. Slaughter,Nita M. Lowey,1
67,Louise M. Slaughter,Carolyn Cheeks Kilpatrick,1
73,Louise M. Slaughter,John J. Hall,1
76,Louise M. Slaughter,Raul M. Grijalva,1
77,Louise M. Slaughter,Robert E. Andrews,1
79,Louise M. Slaughter,William D. Delahunt,1
82,Louise M. Slaughter,Steve Cohen,1
87,Louise M. Slaughter,Steven R. Rothman,1
88,Louise M. Slaughter,Donald M. Payne,1
89,Louise M. Slaughter,Mike Thompson,1
92,Louise M. Slaughter,John D. Dingell,1
94,Louise M. Slaughter,Mark Udall,1
95,Louise M. Slaughter,Chris Van Hollen,1
98,Louise M. Slaughter,Zoe Lofgren,1
99,Louise M. Slaughter,Frank Pallone,1
100,Louise M. Slaughter,Dennis J. Kucinich,1
102,Louise M. Slaughter,Steve Israel,1
107,Louise M. Slaughter,Al Green,1
109,Louise M. Slaughter,Gene Green,1
110,Louise M. Slaughter,Ed Perlmutter,1
111,Louise M. Slaughter,Carol Shea-Porter,1
117,Louise M. Slaughter,Dale E. Kildee,1
118,Louise M. Slaughter,Barney Frank,1
122,Louise M. Slaughter,Mazie K. Hirono,1
123,Louise M. Slaughter,Stephen F. Lynch,1
125,Louise M. Slaughter,John Conyers,1
131,Louise M. Slaughter,Paul E. Kanjorski,1
132,Louise M. Slaughter,James P. Moran,1
133,Louise M. Slaughter,Neil Abercrombie,1
137,Louise M. Slaughter,Edward J. Markey,1
141,Louise M. Slaughter,Mike Doyle,1
143,Louise M. Slaughter,Earl Blumenauer,1
144,Louise M. Slaughter,Henry A. Waxman,1
145,Louise M. Slaughter,George Miller,1
147,Louise M. Slaughter,Rush D. Holt,1
148,Louise M. Slaughter,Robert Wexler,1
152,Louise M. Slaughter,Marcy Kaptur,1
153,Louise M. Slaughter,Bart Stupak,1
155,Louise M. Slaughter,Peter A. Defazio,1
156,Louise M. Slaughter,Tammy Baldwin,1
157,Louise M. Slaughter,Diane E. Watson,1
158,Louise M. Slaughter,Jason Altmire,1
159,Louise M. Slaughter,Thomas H. Allen,1
160,Louise M. Slaughter,Maxine Waters,1
162,Louise M. Slaughter,Mike Ross,1
168,Louise M. Slaughter,Nick J. Rahall,1
171,Louise M. Slaughter,Gary L. Ackerman,1
174,Louise M. Slaughter,Gabrielle Giffords,1
175,Louise M. Slaughter,Rosa Delauro,1
178,Louise M. Slaughter,Yvette D. Clarke,1
180,Louise M. Slaughter,Jane Harman,1
184,Louise M. Slaughter,James R. Langevin,1
185,Louise M. Slaughter,William J. Pascrell,1
191,Louise M. Slaughter,Rick Boucher,1
193,Louise M. Slaughter,Jim Mcdermott,1
194,Louise M. Slaughter,Allyson Y. Schwartz,1
196,Louise M. Slaughter,Jerrold Nadler,1
199,Louise M. Slaughter,James P. Mcgovern,1
202,Louise M. Slaughter,Juanita M. Millender-Mcdonald,1
208,Louise M. Slaughter,Linda T. Sanchez,1
210,Louise M. Slaughter,"Henry C. ""Hank"" Johnson",1
212,Louise M. Slaughter,Darlene Hooley,1
213,Louise M. Slaughter,Lynn Woolsey,1
214,Louise M. Slaughter,Norman Dicks,1
217,Louise M. Slaughter,Michael A. Arcuri,1
219,Louise M. Slaughter,John P. Murtha,1
222,Louise M. Slaughter,David R. Obey,1
224,Louise M. Slaughter,Xavier Becerra,1
225,Louise M. Slaughter,Jesse L. Jackson,1
226,Louise M. Slaughter,Betty Mccollum,1
227,Louise M. Slaughter,Kirsten E. Gillibrand,1
228,Louise M. Slaughter,Anna G. Eshoo,1
229,Louise M. Slaughter,Brian Baird,1
230,Louise M. Slaughter,Peter Welch,1
232,Louise M. Slaughter,Brian Higgins,1
234,Louise M. Slaughter,Doris O. Matsui,1
239,Louise M. Slaughter,Brad Sherman,1
240,Louise M. Slaughter,Anthony D. Weiner,1
241,Louise M. Slaughter,Keith Ellison,1
