,From,To,edge
1,William H. Frist,Thomas Andrew Daschle,1
100,Thomas Andrew Daschle,William H. Frist,1
110,Thomas Andrew Daschle,Patrick Joseph Leahy,1
114,Thomas Andrew Daschle,Thomas Richard Harkin,1
115,Thomas Andrew Daschle,John Forbes Kerry,1
116,Thomas Andrew Daschle,Jesse Francis Bingaman,1
119,Thomas Andrew Daschle,Kent Conrad,1
124,Thomas Andrew Daschle,Maria Cantwell,1
127,Thomas Andrew Daschle,E. Benjamin Nelson,1
131,Thomas Andrew Daschle,Paul Spyros Sarbanes,1
144,Thomas Andrew Daschle,Deborah Ann Stabenow,1
152,Thomas Andrew Daschle,Edward Moore Kennedy,1
159,Thomas Andrew Daschle,Barbara Ann Mikulski,1
163,Thomas Andrew Daschle,Harry M. Reid,1
168,Thomas Andrew Daschle,Patty Murray,1
172,Thomas Andrew Daschle,Max Sieben Baucus,1
173,Thomas Andrew Daschle,Tim Johnson,1
188,Thomas Andrew Daschle,Mark Dayton,1
191,Thomas Andrew Daschle,Byron Leslie Dorgan,1
199,Thomas Andrew Daschle,Mark Lunsford Pryor,1
207,Susan Margaret Collins,Richard J. Durbin,1
215,Susan Margaret Collins,John Forbes Kerry,1
222,Susan Margaret Collins,Blanche Lambert Lincoln,1
224,Susan Margaret Collins,Maria Cantwell,1
227,Susan Margaret Collins,E. Benjamin Nelson,1
234,Susan Margaret Collins,Olympia J. Snowe,1
239,Susan Margaret Collins,Norm Coleman,1
243,Susan Margaret Collins,John William Warner,1
247,Susan Margaret Collins,Joseph I. Lieberman,1
253,Susan Margaret Collins,Arlen Specter,1
254,Susan Margaret Collins,Lisa Murkowski,1
256,Susan Margaret Collins,Mary Landrieu,1
259,Susan Margaret Collins,Barbara Ann Mikulski,1
261,Susan Margaret Collins,George V. Voinovich,1
265,Susan Margaret Collins,Hillary R Clinton,1
268,Susan Margaret Collins,Patty Murray,1
271,Susan Margaret Collins,James Merrill Jeffords,1
287,Susan Margaret Collins,Lincoln D. Chafee,1
296,Susan Margaret Collins,John F. Reed,1
299,Susan Margaret Collins,Mark Lunsford Pryor,1
337,Lindsey O. Graham,Ernest Frederick Hollings,1
354,Lindsey O. Graham,Lisa Murkowski,1
366,Lindsey O. Graham,Jim Talent,1
375,Lindsey O. Graham,Chester Trent Lott,1
385,Lindsey O. Graham,Saxby Chambliss,1
390,Lindsey O. Graham,Jim Bunning,1
392,Lindsey O. Graham,John Cornyn,1
393,Lindsey O. Graham,George F. Allen,1
394,Lindsey O. Graham,Jeff Sessions,1
395,Lindsey O. Graham,Zell Miller,1
397,Lindsey O. Graham,Elizabeth H. Dole,1
412,Joseph Robinette Biden,Richard Green Lugar,1
415,Joseph Robinette Biden,John Forbes Kerry,1
417,Joseph Robinette Biden,Jon S. Corzine,1
423,Joseph Robinette Biden,Herbert H. Kohl,1
431,Joseph Robinette Biden,Paul Spyros Sarbanes,1
432,Joseph Robinette Biden,Dianne Feinstein,1
438,Joseph Robinette Biden,Charles E. Schumer,1
447,Joseph Robinette Biden,Joseph I. Lieberman,1
451,Joseph Robinette Biden,Christopher John Dodd,1
452,Joseph Robinette Biden,Edward Moore Kennedy,1
459,Joseph Robinette Biden,Barbara Ann Mikulski,1
460,Joseph Robinette Biden,Barbara Boxer,1
