,From,To,edge
1,James P. Mcgovern,Zoe Lofgren,1
2,James P. Mcgovern,John A. Yarmuth,1
3,James P. Mcgovern,Joyce Beatty,1
4,James P. Mcgovern,Bobby L. Rush,1
8,James P. Mcgovern,Nydia M. Velazquez,1
9,James P. Mcgovern,Barbara Lee,1
10,James P. Mcgovern,Sheila Jackson Lee,1
14,James P. Mcgovern,Sean Patrick Maloney,1
15,James P. Mcgovern,Lois Frankel,1
16,James P. Mcgovern,Joe Neguse,1
17,James P. Mcgovern,Jennifer Wexton,1
18,James P. Mcgovern,Dwight Evans,1
19,James P. Mcgovern,Mark Takano,1
20,James P. Mcgovern,Eleanor Holmes Norton,1
21,James P. Mcgovern,Janice D. Schakowsky,1
23,James P. Mcgovern,Kathy Castor,1
28,James P. Mcgovern,Jimmy Panetta,1
30,James P. Mcgovern,Nikema Williams,1
33,James P. Mcgovern,Donald S. Beyer,1
34,James P. Mcgovern,Theodore E. Deutch,1
38,James P. Mcgovern,Steve Cohen,1
39,James P. Mcgovern,Gregory W. Meeks,1
40,James P. Mcgovern,Jackie Speier,1
43,James P. Mcgovern,Alma S. Adams,1
45,James P. Mcgovern,Linda T. Sanchez,1
46,James P. Mcgovern,Grace Meng,1
50,James P. Mcgovern,Doris O. Matsui,1
51,James P. Mcgovern,Carolyn B. Maloney,1
52,James P. Mcgovern,Peter A. Defazio,1
56,James P. Mcgovern,"Robert C. ""Bobby"" Scott",1
57,James P. Mcgovern,Diana Degette,1
58,James P. Mcgovern,Jesus G. Garcia,1
59,James P. Mcgovern,Michael F. Q. San Nicolas,1
60,James P. Mcgovern,Raja Krishnamoorthi,1
61,James P. Mcgovern,John B. Larson,1
66,James P. Mcgovern,Betty Mccollum,1
67,James P. Mcgovern,Al Green,1
69,James P. Mcgovern,Pramila Jayapal,1
70,James P. Mcgovern,Alexandria Ocasio-Cortez,1
71,James P. Mcgovern,James H. Cooper,1
75,James P. Mcgovern,John P. Sarbanes,1
78,James P. Mcgovern,Andy Levin,1
79,James P. Mcgovern,Kweisi Mfume,1
81,James P. Mcgovern,Gwen Moore,1
83,James P. Mcgovern,Grace F. Napolitano,1
86,James P. Mcgovern,Mary Gay Scanlon,1
87,James P. Mcgovern,Bradley Scott Schneider,1
88,James P. Mcgovern,Kim Schrier,1
89,James P. Mcgovern,Greg Stanton,1
92,James P. Mcgovern,Rashida Tlaib,1
93,James P. Mcgovern,Norma J. Torres,1
95,James P. Mcgovern,Peter Welch,1
100,James P. Mcgovern,John Garamendi,1
102,James P. Mcgovern,Brendan F. Boyle,1
112,James P. Mcgovern,Raul M. Grijalva,1
114,James P. Mcgovern,Alcee L. Hastings,1
117,James P. Mcgovern,Marcy Kaptur,1
118,James P. Mcgovern,Rick Larsen,1
122,James P. Mcgovern,Jerrold Nadler,1
124,James P. Mcgovern,William J. Pascrell,1
126,James P. Mcgovern,Brian Higgins,1
128,James P. Mcgovern,Ayanna Pressley,1
129,James P. Mcgovern,Adam B. Schiff,1
132,James P. Mcgovern,Bill Foster,1
133,James P. Mcgovern,Pete Aguilar,1
136,James P. Mcgovern,Nanette Diaz Barragan,1
137,James P. Mcgovern,Karen Bass,1
139,James P. Mcgovern,Anthony G. Brown,1
141,James P. Mcgovern,Matt Cartwright,1
143,James P. Mcgovern,Joaquin Castro,1
144,James P. Mcgovern,Gerald E. Connolly,1
145,James P. Mcgovern,Charlie Crist,1
146,James P. Mcgovern,Jason Crow,1
147,James P. Mcgovern,Mark Desaulnier,1
148,James P. Mcgovern,Debbie Dingell,1
154,James P. Mcgovern,Mondaire Jones,1
156,James P. Mcgovern,William R. Keating,1
157,James P. Mcgovern,Daniel T. Kildee,1
158,James P. Mcgovern,Derek Kilmer,1
163,James P. Mcgovern,Stephen F. Lynch,1
164,James P. Mcgovern,A. Donald Mceachin,1
165,James P. Mcgovern,Chris Pappas,1
166,James P. Mcgovern,Katie Porter,1
167,James P. Mcgovern,David E. Price,1
169,James P. Mcgovern,Lucille Roybal-Allard,1
170,James P. Mcgovern,Thomas R. Suozzi,1
171,James P. Mcgovern,Paul Tonko,1
172,James P. Mcgovern,David J. Trone,1
174,James P. Mcgovern,Juan Vargas,1
176,James P. Mcgovern,Salud O. Carbajal,1
177,James P. Mcgovern,Tony Cardenas,1
178,James P. Mcgovern,Joe Courtney,1
179,James P. Mcgovern,Ruben Gallego,1
181,James P. Mcgovern,Chrissy Houlahan,1
182,James P. Mcgovern,Ro Khanna,1
183,James P. Mcgovern,Alan S. Lowenthal,1
185,James P. Mcgovern,Raul Ruiz,1
186,James P. Mcgovern,Bonnie Watson Coleman,1
187,James P. Mcgovern,Cori Bush,1
190,James P. Mcgovern,Lisa Blunt Rochester,1
192,James P. Mcgovern,G. K. Butterfield,1
193,James P. Mcgovern,Yvette D. Clarke,1
199,James P. Mcgovern,"Henry C. ""Hank"" Johnson",1
200,James P. Mcgovern,Andy Kim,1
201,James P. Mcgovern,James R. Langevin,1
202,James P. Mcgovern,Ted Lieu,1
204,James P. Mcgovern,Frank Pallone,1
205,James P. Mcgovern,Chellie Pingree,1
206,James P. Mcgovern,C. A. Dutch Ruppersberger,1
207,James P. Mcgovern,Tim Ryan,1
210,James P. Mcgovern,Eric Swalwell,1
213,James P. Mcgovern,Colin Z. Allred,1
215,James P. Mcgovern,Julia Brownley,1
216,James P. Mcgovern,James E. Clyburn,1
222,James P. Mcgovern,Tom Malinowski,1
223,James P. Mcgovern,Seth Moulton,1
225,James P. Mcgovern,Terri A. Sewell,1
227,James P. Mcgovern,Judy Chu,1
228,James P. Mcgovern,David N. Cicilline,1
229,James P. Mcgovern,Sharice Davids,1
230,James P. Mcgovern,Jahana Hayes,1
232,James P. Mcgovern,Steven Horsford,1
233,James P. Mcgovern,Hakeem S. Jeffries,1
234,James P. Mcgovern,Robin L. Kelly,1
235,James P. Mcgovern,Brenda L. Lawrence,1
240,James P. Mcgovern,Donald Norcross,1
241,James P. Mcgovern,Scott H. Peters,1
243,James P. Mcgovern,Deborah K. Ross,1
244,James P. Mcgovern,David Scott,1
247,James P. Mcgovern,Susan Wild,1
248,James P. Mcgovern,Lloyd Doggett,1
249,James P. Mcgovern,Earl Blumenauer,1
250,James P. Mcgovern,Carolyn Bourdeaux,1
252,James P. Mcgovern,Andre Carson,1
258,James P. Mcgovern,Joseph D. Morelle,1
259,James P. Mcgovern,Ilhan Omar,1
261,James P. Mcgovern,Mark Pocan,1
262,James P. Mcgovern,Mikie Sherrill,1
263,James P. Mcgovern,Eddie Bernice Johnson,1
264,James P. Mcgovern,Dina Titus,1
265,James P. Mcgovern,Ritchie Torres,1
267,James P. Mcgovern,Suzanne Bonamici,1
270,James P. Mcgovern,Adriano Espaillat,1
271,James P. Mcgovern,James A. Himes,1
272,James P. Mcgovern,Ann M. Kuster,1
274,James P. Mcgovern,Brad Sherman,1
276,James P. Mcgovern,Maxine Waters,1
277,James P. Mcgovern,Madeleine Dean,1
279,James P. Mcgovern,Ami Bera,1
283,James P. Mcgovern,Jared Huffman,1
284,James P. Mcgovern,Mike Levin,1
286,James P. Mcgovern,Mike Quigley,1
288,James P. Mcgovern,Darren Soto,1
293,James P. Mcgovern,Veronica Escobar,1
295,James P. Mcgovern,Sean Casten,1
296,James P. Mcgovern,Danny K. Davis,1
298,James P. Mcgovern,Jimmy Gomez,1
301,James P. Mcgovern,Albio Sires,1
302,James P. Mcgovern,Adam Smith,1
305,James P. Mcgovern,Emanuel Cleaver,1
306,James P. Mcgovern,Anna G. Eshoo,1
309,James P. Mcgovern,Donald M. Payne,1
310,James P. Mcgovern,Lori Trahan,1
311,James P. Mcgovern,Marc A. Veasey,1
313,James P. Mcgovern,Mike Doyle,1
316,James P. Mcgovern,Jerry Mcnerney,1
318,James P. Mcgovern,Haley M. Stevens,1
321,James P. Mcgovern,Mike Thompson,1
322,James P. Mcgovern,Cheri Bustos,1
329,James P. Mcgovern,Gregorio Kilili Camacho Sablan,1
334,James P. Mcgovern,Rosa Delauro,1
335,James P. Mcgovern,Suzan K. Delbene,1
336,James P. Mcgovern,Lizzie Fletcher,1
342,James P. Mcgovern,Kathleen M. Rice,1
343,James P. Mcgovern,Vicente Gonzalez,1
346,James P. Mcgovern,Jamaal Bowman,1
347,James P. Mcgovern,Katherine M. Clark,1
350,James P. Mcgovern,Kaiali'I Kahele,1
358,James P. Mcgovern,Ed Perlmutter,1
360,James P. Mcgovern,Ann Kirkpatrick,1
361,James P. Mcgovern,Sylvia R. Garcia,1
362,James P. Mcgovern,Al Lawson,1
370,James P. Mcgovern,Jamie Raskin,1
378,James P. Mcgovern,Teresa Leger Fernandez,1
379,James P. Mcgovern,Marilyn Strickland,1
380,James P. Mcgovern,Richard E. Neal,1
381,James P. Mcgovern,Elaine G. Luria,1
386,James P. Mcgovern,Marie Newman,1
387,James P. Mcgovern,Jake Auchincloss,1
388,James P. Mcgovern,Val Butler Demings,1
390,James P. Mcgovern,Debbie Wasserman Schultz,1
395,James P. Mcgovern,Jim Costa,1
401,James P. Mcgovern,Filemon Vela,1
406,James P. Mcgovern,J. Luis Correa,1
408,James P. Mcgovern,Frederica S. Wilson,1
417,James P. Mcgovern,Bennie Thompson,1
429,Zoe Lofgren,James P. Mcgovern,1
431,Zoe Lofgren,John A. Yarmuth,1
432,Zoe Lofgren,Joyce Beatty,1
433,Zoe Lofgren,Bobby L. Rush,1
437,Zoe Lofgren,Nydia M. Velazquez,1
438,Zoe Lofgren,Barbara Lee,1
439,Zoe Lofgren,Sheila Jackson Lee,1
443,Zoe Lofgren,Sean Patrick Maloney,1
444,Zoe Lofgren,Lois Frankel,1
445,Zoe Lofgren,Joe Neguse,1
446,Zoe Lofgren,Jennifer Wexton,1
447,Zoe Lofgren,Dwight Evans,1
448,Zoe Lofgren,Mark Takano,1
449,Zoe Lofgren,Eleanor Holmes Norton,1
450,Zoe Lofgren,Janice D. Schakowsky,1
