,From,To,edge
351,Pete Sessions,Keith J. Rothfus,1
352,Pete Sessions,Jim Jordan,1
357,Pete Sessions,Frank C. Guinta,1
358,Pete Sessions,Rod Blum,1
359,Pete Sessions,Larry Bucshon,1
364,Pete Sessions,Markwayne Mullin,1
366,Pete Sessions,Kevin Yoder,1
372,Pete Sessions,Richard Hudson,1
374,Pete Sessions,John L. Mica,1
378,Pete Sessions,Robert B. Aderholt,1
390,Pete Sessions,Bruce Poliquin,1
392,Pete Sessions,John M. Shimkus,1
398,Pete Sessions,Andy Harris,1
400,Pete Sessions,David P. Joyce,1
402,Pete Sessions,Tom Graves,1
403,Pete Sessions,Ken Buck,1
408,Pete Sessions,Glenn Grothman,1
412,Pete Sessions,J. French Hill,1
413,Pete Sessions,David Young,1
415,Pete Sessions,Billy Long,1
416,Pete Sessions,"Charles J. ""Chuck"" Fleischmann",1
417,Pete Sessions,Rick W. Allen,1
418,Pete Sessions,Bill Johnson,1
419,Pete Sessions,Steve Russell,1
421,Pete Sessions,Gary J. Palmer,1
422,Pete Sessions,Ander Crenshaw,1
429,Pete Sessions,David A. Trott,1
431,Pete Sessions,Bob Gibbs,1
434,Pete Sessions,Mia B. Love,1
435,Pete Sessions,Jeff Duncan,1
437,Pete Sessions,Daniel Webster,1
438,Pete Sessions,Trent Kelly,1
440,Pete Sessions,Jeb Hensarling,1
454,Chaka Fattah,Terri A. Sewell,1
455,Chaka Fattah,Mike Quigley,1
456,Chaka Fattah,Al Green,1
461,Chaka Fattah,Mark Takai,1
465,Chaka Fattah,Steny H. Hoyer,1
472,Chaka Fattah,Joyce Beatty,1
475,Chaka Fattah,Eleanor Holmes Norton,1
476,Chaka Fattah,Elizabeth H. Esty,1
478,Chaka Fattah,Barbara Lee,1
481,Chaka Fattah,Donald M. Payne,1
484,Chaka Fattah,Xavier Becerra,1
485,Chaka Fattah,Ted Lieu,1
487,Chaka Fattah,Michael M. Honda,1
494,Chaka Fattah,Marcia L. Fudge,1
495,Chaka Fattah,Marcy Kaptur,1
498,Chaka Fattah,Alcee L. Hastings,1
499,Chaka Fattah,John Lewis,1
502,Chaka Fattah,Carolyn B. Maloney,1
504,Chaka Fattah,Marc A. Veasey,1
507,Chaka Fattah,Eddie Bernice Johnson,1
514,Chaka Fattah,Peter Welch,1
516,Chaka Fattah,David Scott,1
517,Chaka Fattah,Bobby L. Rush,1
524,Chaka Fattah,Sheila Jackson Lee,1
528,Chaka Fattah,Lois Frankel,1
529,Chaka Fattah,Jackie Speier,1
530,Chaka Fattah,Eliot L. Engel,1
531,Chaka Fattah,Norma J. Torres,1
532,Chaka Fattah,Charles B. Rangel,1
533,Chaka Fattah,Janice Hahn,1
534,Chaka Fattah,Susan A. Davis,1
539,Chaka Fattah,William R. Keating,1
542,Chaka Fattah,James P. Mcgovern,1
544,Chaka Fattah,David N. Cicilline,1
545,Chaka Fattah,Kathy Castor,1
549,Chaka Fattah,Rosa Delauro,1
550,Chaka Fattah,James R. Langevin,1
556,Chaka Fattah,Danny K. Davis,1
560,Chaka Fattah,Alma S. Adams,1
562,Chaka Fattah,G. K. Butterfield,1
563,Chaka Fattah,Peter A. Defazio,1
571,Chaka Fattah,Gene Green,1
572,Chaka Fattah,Steve Cohen,1
573,Chaka Fattah,Alan Grayson,1
583,Chaka Fattah,Theodore E. Deutch,1
585,Chaka Fattah,Mark Pocan,1
586,Chaka Fattah,Adam B. Schiff,1
589,Chaka Fattah,Jerry Mcnerney,1
593,Chaka Fattah,Donna F. Edwards,1
599,Chaka Fattah,Kurt Schrader,1
600,Chaka Fattah,John B. Larson,1
601,Chaka Fattah,Richard Nolan,1
603,Chaka Fattah,John A. Yarmuth,1
608,Chaka Fattah,Ed Perlmutter,1
618,Chaka Fattah,Sam Farr,1
621,Chaka Fattah,John Conyers,1
624,Chaka Fattah,Lucille Roybal-Allard,1
625,Chaka Fattah,Raul Ruiz,1
627,Chaka Fattah,Adam Smith,1
629,Chaka Fattah,Earl Blumenauer,1
631,Chaka Fattah,Donald S. Beyer,1
632,Chaka Fattah,Jim Mcdermott,1
633,Chaka Fattah,Chris Van Hollen,1
635,Chaka Fattah,Maxine Waters,1
637,Chaka Fattah,Lois Capps,1
638,Chaka Fattah,Michael E. Capuano,1
642,Chaka Fattah,Daniel T. Kildee,1
644,Chaka Fattah,Scott H. Peters,1
645,Chaka Fattah,Loretta Sanchez,1
646,Chaka Fattah,Albio Sires,1
647,Chaka Fattah,Elijah E. Cummings,1
652,Chaka Fattah,Cheri Bustos,1
653,Chaka Fattah,Wm. Lacy Clay,1
656,Chaka Fattah,Raul M. Grijalva,1
657,Chaka Fattah,Ann Kirkpatrick,1
658,Chaka Fattah,Ben Ray Lujan,1
659,Chaka Fattah,Beto O'Rourke,1
662,Chaka Fattah,Frederica S. Wilson,1
663,Chaka Fattah,"Henry C. ""Hank"" Johnson",1
664,Chaka Fattah,Stephen F. Lynch,1
665,Chaka Fattah,Keith Ellison,1
667,Chaka Fattah,Matt Cartwright,1
669,Chaka Fattah,Dina Titus,1
671,Chaka Fattah,Debbie Wasserman Schultz,1
674,Chaka Fattah,Bill Foster,1
678,Chaka Fattah,Mark Takano,1
680,Chaka Fattah,Luis V. Gutierrez,1
689,Chaka Fattah,Rick Larsen,1
690,Chaka Fattah,Doris O. Matsui,1
692,Chaka Fattah,Janice D. Schakowsky,1
694,Chaka Fattah,Derek Kilmer,1
696,Chaka Fattah,Gerald E. Connolly,1
700,Chaka Fattah,John Garamendi,1
701,Chaka Fattah,Grace F. Napolitano,1
710,Chaka Fattah,"Robert C. ""Bobby"" Scott",1
711,Chaka Fattah,Katherine M. Clark,1
712,Chaka Fattah,Lloyd Doggett,1
714,Chaka Fattah,Anna G. Eshoo,1
717,Chaka Fattah,Mark Desaulnier,1
718,Chaka Fattah,Ruben Hinojosa,1
720,Chaka Fattah,Hakeem S. Jeffries,1
722,Chaka Fattah,Zoe Lofgren,1
723,Chaka Fattah,Alan S. Lowenthal,1
725,Chaka Fattah,Gwen Moore,1
727,Chaka Fattah,Frank Pallone,1
728,Chaka Fattah,Timothy J. Walz,1
733,Chaka Fattah,Gwen Graham,1
734,Chaka Fattah,Mike Thompson,1
736,Chaka Fattah,Karen Bass,1
738,Chaka Fattah,Jose E. Serrano,1
742,Chaka Fattah,Kathleen M. Rice,1
743,Chaka Fattah,Linda T. Sanchez,1
747,Chaka Fattah,Robert A. Brady,1
748,Chaka Fattah,Suzan K. Delbene,1
750,Chaka Fattah,Jared Huffman,1
751,Chaka Fattah,Patrick Murphy,1
752,Chaka Fattah,Tim Ryan,1
753,Chaka Fattah,William J. Pascrell,1
756,Chaka Fattah,Joe Courtney,1
760,Chaka Fattah,Joseph P. Kennedy,1
762,Chaka Fattah,Joseph Crowley,1
765,Chaka Fattah,Mike Doyle,1
767,Chaka Fattah,Diana Degette,1
768,Chaka Fattah,John K. Delaney,1
769,Chaka Fattah,Brian Higgins,1
774,Chaka Fattah,Julia Brownley,1
776,Chaka Fattah,Louise M. Slaughter,1
777,Chaka Fattah,Juan Vargas,1
778,Chaka Fattah,Andre Carson,1
779,Chaka Fattah,Corrine Brown,1
780,Chaka Fattah,Ruben Gallego,1
783,Chaka Fattah,Chellie Pingree,1
786,Chaka Fattah,James A. Himes,1
789,Chaka Fattah,Bonnie Watson Coleman,1
791,Chaka Fattah,Debbie Dingell,1
796,Chaka Fattah,David Loebsack,1
797,Chaka Fattah,Bennie Thompson,1
799,Chaka Fattah,Jerrold Nadler,1
803,Chaka Fattah,Yvette D. Clarke,1
806,Chaka Fattah,Paul Tonko,1
808,Chaka Fattah,Suzanne Bonamici,1
810,Chaka Fattah,Betty Mccollum,1
811,Chaka Fattah,Robin L. Kelly,1
812,Chaka Fattah,Joaquin Castro,1
813,Chaka Fattah,Richard E. Neal,1
819,Chaka Fattah,Brenda L. Lawrence,1
820,Chaka Fattah,Michelle Lujan Grisham,1
822,Chaka Fattah,Sander M. Levin,1
823,Chaka Fattah,Grace Meng,1
824,Chaka Fattah,Nita M. Lowey,1
825,Chaka Fattah,Gregory W. Meeks,1
827,Chaka Fattah,John P. Sarbanes,1
828,Chaka Fattah,Tony Cardenas,1
829,Chaka Fattah,Steve Israel,1
830,Chaka Fattah,Nydia M. Velazquez,1
831,Chaka Fattah,Donald Norcross,1
832,Chaka Fattah,Eric Swalwell,1
834,Chaka Fattah,Stacey E. Plaskett,1
836,Chaka Fattah,David E. Price,1
837,Chaka Fattah,James E. Clyburn,1
838,Chaka Fattah,Judy Chu,1
840,Chaka Fattah,Ann M. Kuster,1
842,Chaka Fattah,Tammy Duckworth,1
844,Chaka Fattah,Cedric L. Richmond,1
847,Chaka Fattah,Denny Heck,1
849,Chaka Fattah,Sean Patrick Maloney,1
850,Chaka Fattah,Emanuel Cleaver,1
854,Chaka Fattah,C. A. Dutch Ruppersberger,1
857,Chaka Fattah,Pete Aguilar,1
863,Chaka Fattah,Brendan F. Boyle,1
866,Chaka Fattah,Seth Moulton,1
867,Chaka Fattah,Peter J. Visclosky,1
869,Chaka Fattah,Filemon Vela,1
870,Chaka Fattah,Niki Tsongas,1
876,Chaka Fattah,Sanford D. Bishop,1
879,Chaka Fattah,Nancy Pelosi,1
886,Peter J. Roskam,Pete Sessions,1
891,Peter J. Roskam,Renee L. Ellmers,1
892,Peter J. Roskam,Tom Price,1
896,Peter J. Roskam,J. Randy Forbes,1
900,Peter J. Roskam,Patrick Meehan,1
901,Peter J. Roskam,Charles W. Boustany,1
906,Peter J. Roskam,Lou Barletta,1
907,Peter J. Roskam,Tim Murphy,1
