,From,To,edge
6,David Dreier,Dana Rohrabacher,1
30,David Dreier,Mary Bono Mack,1
103,David Dreier,Howard P. Mckeon,1
181,David Dreier,Brian P. Bilbray,1
211,David Dreier,Duncan D. Hunter,1
240,David Dreier,John Campbell,1
246,David Dreier,Wally Herger,1
251,David Dreier,Gary Miller,1
257,David Dreier,Ed Royce,1
276,David Dreier,Elton Gallegly,1
328,David Dreier,Kevin Mccarthy,1
370,David Dreier,Ken Calvert,1
899,Benjamin Quayle,Walter B. Jones,1
903,Benjamin Quayle,Sandy Adams,1
905,Benjamin Quayle,Paul Ryan,1
906,Benjamin Quayle,Scott Garrett,1
907,Benjamin Quayle,Michael T. Mccaul,1
908,Benjamin Quayle,Ann Marie Buerkle,1
910,Benjamin Quayle,Jeff Denham,1
916,Benjamin Quayle,Trent Franks,1
917,Benjamin Quayle,Randy Hultgren,1
919,Benjamin Quayle,David Schweikert,1
920,Benjamin Quayle,Mary Bono Mack,1
922,Benjamin Quayle,Candice S. Miller,1
923,Benjamin Quayle,J. Randy Forbes,1
925,Benjamin Quayle,Daniel Edward Lungren,1
926,Benjamin Quayle,Tim Murphy,1
930,Benjamin Quayle,Spencer Bachus,1
931,Benjamin Quayle,Michael G. Fitzpatrick,1
933,Benjamin Quayle,David B. Mckinley,1
935,Benjamin Quayle,Mike Pompeo,1
939,Benjamin Quayle,Rob Woodall,1
941,Benjamin Quayle,Darrell E. Issa,1
942,Benjamin Quayle,Jeff Miller,1
943,Benjamin Quayle,K. Michael Conaway,1
944,Benjamin Quayle,Ted Poe,1
946,Benjamin Quayle,Cathy Mcmorris Rodgers,1
947,Benjamin Quayle,Vicky Hartzler,1
948,Benjamin Quayle,Fred Upton,1
950,Benjamin Quayle,Marsha Blackburn,1
952,Benjamin Quayle,Thomas J. Rooney,1
953,Benjamin Quayle,Rodney Alexander,1
954,Benjamin Quayle,Diane Black,1
955,Benjamin Quayle,Robert B. Aderholt,1
959,Benjamin Quayle,Billy Long,1
960,Benjamin Quayle,Tim Scott,1
964,Benjamin Quayle,Joe Wilson,1
965,Benjamin Quayle,Pete Sessions,1
966,Benjamin Quayle,Bill Flores,1
967,Benjamin Quayle,Michael R. Turner,1
968,Benjamin Quayle,Rob Bishop,1
970,Benjamin Quayle,Mike Rogers,1
971,Benjamin Quayle,Robert W. Goodlatte,1
980,Benjamin Quayle,Connie Mack,1
984,Benjamin Quayle,Harold Rogers,1
985,Benjamin Quayle,Robert T. Schilling,1
987,Benjamin Quayle,Gus M. Bilirakis,1
989,Benjamin Quayle,Ralph M. Hall,1
991,Benjamin Quayle,Gregg Harper,1
993,Benjamin Quayle,Howard P. Mckeon,1
994,Benjamin Quayle,Bill Shuster,1
996,Benjamin Quayle,Tom Reed,1
997,Benjamin Quayle,Lynn Jenkins,1
999,Benjamin Quayle,Reid J. Ribble,1
1000,Benjamin Quayle,Steve Chabot,1
1001,Benjamin Quayle,Phil Gingrey,1
1002,Benjamin Quayle,Francisco Quico Canseco,1
1003,Benjamin Quayle,Paul C. Broun,1
1005,Benjamin Quayle,Scott Desjarlais,1
1007,Benjamin Quayle,Martha Roby,1
1010,Benjamin Quayle,Sam Johnson,1
1013,Benjamin Quayle,Steve King,1
1014,Benjamin Quayle,Lee Terry,1
1015,Benjamin Quayle,John R. Carter,1
1016,Benjamin Quayle,Randy Neugebauer,1
1017,Benjamin Quayle,Cliff Stearns,1
1019,Benjamin Quayle,John Fleming,1
1020,Benjamin Quayle,Greg Walden,1
1021,Benjamin Quayle,Vern Buchanan,1
1024,Benjamin Quayle,H. Morgan Griffith,1
1025,Benjamin Quayle,Justin Amash,1
1026,Benjamin Quayle,Jeb Hensarling,1
1027,Benjamin Quayle,W. Todd Akin,1
1028,Benjamin Quayle,Tom Price,1
1029,Benjamin Quayle,Joe Walsh,1
1030,Benjamin Quayle,John Abney Culberson,1
1039,Benjamin Quayle,Tom Mcclintock,1
1040,Benjamin Quayle,Steve Scalise,1
1044,Benjamin Quayle,John L. Mica,1
1045,Benjamin Quayle,Mike Coffman,1
1047,Benjamin Quayle,Geoff Davis,1
1052,Benjamin Quayle,Charles W. Boustany,1
1053,Benjamin Quayle,Dan Burton,1
1055,Benjamin Quayle,John J. Duncan,1
1057,Benjamin Quayle,Doc Hastings,1
1058,Benjamin Quayle,Jaime Herrera Beutler,1
1060,Benjamin Quayle,Robert E. Latta,1
1063,Benjamin Quayle,Lamar Smith,1
1064,Benjamin Quayle,William M. Thornberry,1
1069,Benjamin Quayle,Patrick J. Tiberi,1
1072,Benjamin Quayle,Paul A. Gosar,1
1073,Benjamin Quayle,John Sullivan,1
1074,Benjamin Quayle,Michael C. Burgess,1
1075,Benjamin Quayle,Glenn Thompson,1
1079,Benjamin Quayle,Jeff Duncan,1
1081,Benjamin Quayle,Bill Johnson,1
1086,Benjamin Quayle,Blake Farenthold,1
1087,Benjamin Quayle,Nan A. S. Hayworth,1
1092,Benjamin Quayle,Scott R. Tipton,1
1093,Benjamin Quayle,Steve Womack,1
1094,Benjamin Quayle,Doug Lamborn,1
1097,Benjamin Quayle,Robert Hurt,1
1100,Benjamin Quayle,Dean Heller,1
1101,Benjamin Quayle,Duncan D. Hunter,1
1103,Benjamin Quayle,Marlin A. Stutzman,1
1110,Benjamin Quayle,Jason Chaffetz,1
1112,Benjamin Quayle,Jim Jordan,1
1116,Benjamin Quayle,Bill Posey,1
1117,Benjamin Quayle,Allen B. West,1
1124,Benjamin Quayle,Denny Rehberg,1
1125,Benjamin Quayle,Virginia Foxx,1
1128,Benjamin Quayle,E. Scott Rigell,1
1130,Benjamin Quayle,John Campbell,1
1134,Benjamin Quayle,Cory Gardner,1
1135,Benjamin Quayle,Tim Griffin,1
1136,Benjamin Quayle,Wally Herger,1
1137,Benjamin Quayle,Adam Kinzinger,1
1139,Benjamin Quayle,Cynthia M. Lummis,1
1141,Benjamin Quayle,Gary Miller,1
1142,Benjamin Quayle,Stevan Pearce,1
1145,Benjamin Quayle,Brett Guthrie,1
1146,Benjamin Quayle,Joseph R. Pitts,1
1147,Benjamin Quayle,Ed Royce,1
1148,Benjamin Quayle,Jeffrey M. Landry,1
1152,Benjamin Quayle,Roscoe G. Bartlett,1
1153,Benjamin Quayle,Kevin Brady,1
1155,Benjamin Quayle,Stephen Lee Fincher,1
