,From,To,edge
108,Louise M. Slaughter,Rick Larsen,1
109,Louise M. Slaughter,Susan A. Davis,1
113,Louise M. Slaughter,Mazie K. Hirono,1
115,Louise M. Slaughter,Dennis J. Kucinich,1
117,Louise M. Slaughter,Brian Baird,1
118,Louise M. Slaughter,Paul W. Hodes,1
120,Louise M. Slaughter,James A. Himes,1
122,Louise M. Slaughter,Joe Courtney,1
123,Louise M. Slaughter,William J. Pascrell,1
125,Louise M. Slaughter,Eleanor Holmes Norton,1
128,Louise M. Slaughter,Jesse L. Jackson,1
129,Louise M. Slaughter,Jackie Speier,1
130,Louise M. Slaughter,Charles B. Rangel,1
133,Louise M. Slaughter,Jane Harman,1
134,Louise M. Slaughter,Mary Jo Kilroy,1
139,Louise M. Slaughter,Steven R. Rothman,1
140,Louise M. Slaughter,Jim Mcdermott,1
144,Louise M. Slaughter,Jose E. Serrano,1
148,Louise M. Slaughter,Gene Green,1
149,Louise M. Slaughter,Anna G. Eshoo,1
151,Louise M. Slaughter,Lois Capps,1
153,Louise M. Slaughter,Debbie Wasserman Schultz,1
156,Louise M. Slaughter,Anthony D. Weiner,1
158,Louise M. Slaughter,Jared Polis,1
159,Louise M. Slaughter,Robert Wexler,1
162,Louise M. Slaughter,Janice D. Schakowsky,1
164,Louise M. Slaughter,Henry A. Waxman,1
165,Louise M. Slaughter,James R. Langevin,1
170,Louise M. Slaughter,Lynn Woolsey,1
171,Louise M. Slaughter,Neil Abercrombie,1
176,Louise M. Slaughter,Eliot L. Engel,1
178,Louise M. Slaughter,Mike Doyle,1
187,Louise M. Slaughter,Doris O. Matsui,1
191,Louise M. Slaughter,Betty Mccollum,1
195,Louise M. Slaughter,John B. Larson,1
198,Louise M. Slaughter,Edward J. Markey,1
199,Louise M. Slaughter,Joseph Crowley,1
205,Louise M. Slaughter,Donna F. Edwards,1
209,Louise M. Slaughter,Michael H. Michaud,1
216,Louise M. Slaughter,"Henry C. ""Hank"" Johnson",1
219,Louise M. Slaughter,Lucille Roybal-Allard,1
221,Louise M. Slaughter,Raul M. Grijalva,1
228,Louise M. Slaughter,Albio Sires,1
230,Louise M. Slaughter,Ellen O. Tauscher,1
232,Louise M. Slaughter,Diana Degette,1
234,Louise M. Slaughter,Chaka Fattah,1
235,Louise M. Slaughter,Charles A. Gonzalez,1
238,Louise M. Slaughter,Peter A. Defazio,1
252,Louise M. Slaughter,Maxine Waters,1
254,Louise M. Slaughter,Stephen F. Lynch,1
261,Louise M. Slaughter,Rosa Delauro,1
263,Louise M. Slaughter,Brian Higgins,1
265,Louise M. Slaughter,Russ Carnahan,1
268,Louise M. Slaughter,James L. Oberstar,1
271,Louise M. Slaughter,Dennis Moore,1
273,Louise M. Slaughter,Gary L. Ackerman,1
275,Louise M. Slaughter,Kathy Castor,1
276,Louise M. Slaughter,Jay Inslee,1
278,Louise M. Slaughter,James P. Moran,1
279,Louise M. Slaughter,Brad Sherman,1
281,Louise M. Slaughter,Luis V. Gutierrez,1
283,Louise M. Slaughter,Bruce L. Braley,1
286,Louise M. Slaughter,Keith Ellison,1
287,Louise M. Slaughter,Patrick J. Murphy,1
288,Louise M. Slaughter,Barney Frank,1
293,Louise M. Slaughter,Lloyd Doggett,1
296,Louise M. Slaughter,Yvette D. Clarke,1
298,Louise M. Slaughter,Peter J. Visclosky,1
304,Louise M. Slaughter,Robert A. Brady,1
305,Louise M. Slaughter,Phil Hare,1
306,Louise M. Slaughter,Grace F. Napolitano,1
307,Louise M. Slaughter,Frank Pallone,1
309,Louise M. Slaughter,John F. Tierney,1
311,Louise M. Slaughter,Timothy H. Bishop,1
312,Louise M. Slaughter,Earl Blumenauer,1
315,Louise M. Slaughter,Betty Sutton,1
319,Louise M. Slaughter,John P. Sarbanes,1
324,Louise M. Slaughter,Pete Stark,1
327,Louise M. Slaughter,Steve Israel,1
339,Louise M. Slaughter,Gary C. Peters,1
342,Louise M. Slaughter,Nydia M. Velazquez,1
343,Louise M. Slaughter,Jerry Mcnerney,1
350,Louise M. Slaughter,Dale E. Kildee,1
357,Louise M. Slaughter,Christopher Murphy,1
363,Louise M. Slaughter,Brad Miller,1
364,Louise M. Slaughter,Bill Delahunt,1
366,Louise M. Slaughter,Loretta Sanchez,1
369,Louise M. Slaughter,Peter Welch,1
375,Louise M. Slaughter,David Loebsack,1
381,Louise M. Slaughter,Carol Shea-Porter,1
385,Louise M. Slaughter,Sander M. Levin,1
386,Louise M. Slaughter,Richard E. Neal,1
389,Louise M. Slaughter,Eric J. J. Massa,1
391,Louise M. Slaughter,John P. Murtha,1
395,Louise M. Slaughter,Marcia L. Fudge,1
396,Louise M. Slaughter,John A. Yarmuth,1
398,Louise M. Slaughter,Paul Tonko,1
401,Louise M. Slaughter,Dina Titus,1
406,Louise M. Slaughter,Niki Tsongas,1
407,Louise M. Slaughter,Martin Heinrich,1
410,Louise M. Slaughter,David Wu,1
411,Louise M. Slaughter,Adam Smith,1
412,Louise M. Slaughter,Andre Carson,1
415,Louise M. Slaughter,Daniel B. Maffei,1
421,Louise M. Slaughter,Kathleen A. Dahlkemper,1
430,Louise M. Slaughter,Ed Pastor,1
434,Louise M. Slaughter,John W. Olver,1
439,Louise M. Slaughter,Judy Chu,1
443,Louise M. Slaughter,John Garamendi,1
450,Sheila Jackson-Lee,Tammy Baldwin,1
452,Sheila Jackson-Lee,Barbara Lee,1
453,Sheila Jackson-Lee,Donald M. Payne,1
460,Sheila Jackson-Lee,Gwen Moore,1
467,Sheila Jackson-Lee,Wm. Lacy Clay,1
468,Sheila Jackson-Lee,Steve Cohen,1
469,Sheila Jackson-Lee,Maurice D. Hinchey,1
474,Sheila Jackson-Lee,Diane E. Watson,1
475,Sheila Jackson-Lee,Bobby L. Rush,1
482,Sheila Jackson-Lee,Danny K. Davis,1
483,Sheila Jackson-Lee,John Lewis,1
484,Sheila Jackson-Lee,Jerrold Nadler,1
486,Sheila Jackson-Lee,Elijah E. Cummings,1
492,Sheila Jackson-Lee,Carolyn Cheeks Kilpatrick,1
495,Sheila Jackson-Lee,Alcee L. Hastings,1
496,Sheila Jackson-Lee,Emanuel Cleaver,1
503,Sheila Jackson-Lee,James P. Mcgovern,1
518,Sheila Jackson-Lee,Gregory W. Meeks,1
528,Sheila Jackson-Lee,G. K. Butterfield,1
530,Sheila Jackson-Lee,Donna M. Christensen,1
531,Sheila Jackson-Lee,Eddie Bernice Johnson,1
543,Sheila Jackson-Lee,Howard L. Berman,1
546,Sheila Jackson-Lee,John Conyers,1
551,Sheila Jackson-Lee,Edolphus Towns,1
560,Sheila Jackson-Lee,Al Green,1
563,Sheila Jackson-Lee,Dennis J. Kucinich,1
576,Sheila Jackson-Lee,Jesse L. Jackson,1
578,Sheila Jackson-Lee,Charles B. Rangel,1
588,Sheila Jackson-Lee,Jim Mcdermott,1
592,Sheila Jackson-Lee,Jose E. Serrano,1
603,Sheila Jackson-Lee,Sanford D. Bishop,1
607,Sheila Jackson-Lee,Robert Wexler,1
610,Sheila Jackson-Lee,Janice D. Schakowsky,1
618,Sheila Jackson-Lee,Lynn Woolsey,1
619,Sheila Jackson-Lee,Neil Abercrombie,1
620,Sheila Jackson-Lee,Bennie Thompson,1
653,Sheila Jackson-Lee,Donna F. Edwards,1
664,Sheila Jackson-Lee,"Henry C. ""Hank"" Johnson",1
667,Sheila Jackson-Lee,Lucille Roybal-Allard,1
669,Sheila Jackson-Lee,Raul M. Grijalva,1
676,Sheila Jackson-Lee,Albio Sires,1
678,Sheila Jackson-Lee,Ellen O. Tauscher,1
680,Sheila Jackson-Lee,Diana Degette,1
682,Sheila Jackson-Lee,Chaka Fattah,1
683,Sheila Jackson-Lee,Charles A. Gonzalez,1
684,Sheila Jackson-Lee,"Robert C. ""Bobby"" Scott",1
700,Sheila Jackson-Lee,Maxine Waters,1
712,Sheila Jackson-Lee,Kendrick B. Meek,1
729,Sheila Jackson-Lee,Luis V. Gutierrez,1
734,Sheila Jackson-Lee,Keith Ellison,1
744,Sheila Jackson-Lee,Yvette D. Clarke,1
751,Sheila Jackson-Lee,James E. Clyburn,1
790,Sheila Jackson-Lee,Nydia M. Velazquez,1
807,Sheila Jackson-Lee,Alan Grayson,1
811,Sheila Jackson-Lee,Brad Miller,1
812,Sheila Jackson-Lee,Bill Delahunt,1
818,Sheila Jackson-Lee,Corrine Brown,1
843,Sheila Jackson-Lee,Marcia L. Fudge,1
857,Sheila Jackson-Lee,David Scott,1
860,Sheila Jackson-Lee,Andre Carson,1
878,Sheila Jackson-Lee,Ed Pastor,1
882,Sheila Jackson-Lee,John W. Olver,1
885,Sheila Jackson-Lee,Melvin Watt,1
896,Tammy Baldwin,Louise M. Slaughter,1
897,Tammy Baldwin,Sheila Jackson-Lee,1
900,Tammy Baldwin,Barbara Lee,1
901,Tammy Baldwin,Donald M. Payne,1
902,Tammy Baldwin,Sam Farr,1
904,Tammy Baldwin,Carolyn B. Maloney,1
905,Tammy Baldwin,Gerald E. Connolly,1
906,Tammy Baldwin,Nita M. Lowey,1
908,Tammy Baldwin,Gwen Moore,1
909,Tammy Baldwin,Tim Ryan,1
915,Tammy Baldwin,Wm. Lacy Clay,1
916,Tammy Baldwin,Steve Cohen,1
917,Tammy Baldwin,Maurice D. Hinchey,1
922,Tammy Baldwin,Diane E. Watson,1
923,Tammy Baldwin,Bobby L. Rush,1
924,Tammy Baldwin,Norman Dicks,1
925,Tammy Baldwin,Marcy Kaptur,1
929,Tammy Baldwin,Michael A. Arcuri,1
930,Tammy Baldwin,Danny K. Davis,1
931,Tammy Baldwin,John Lewis,1
932,Tammy Baldwin,Jerrold Nadler,1
934,Tammy Baldwin,Elijah E. Cummings,1
935,Tammy Baldwin,Rush D. Holt,1
936,Tammy Baldwin,Michael E. Capuano,1
937,Tammy Baldwin,Carolyn Mccarthy,1
940,Tammy Baldwin,Carolyn Cheeks Kilpatrick,1
942,Tammy Baldwin,Laura Richardson,1
943,Tammy Baldwin,Alcee L. Hastings,1
944,Tammy Baldwin,Emanuel Cleaver,1
948,Tammy Baldwin,David E. Price,1
951,Tammy Baldwin,James P. Mcgovern,1
953,Tammy Baldwin,John J. Hall,1
956,Tammy Baldwin,Ron Klein,1
959,Tammy Baldwin,Zoe Lofgren,1
961,Tammy Baldwin,Chris Van Hollen,1
962,Tammy Baldwin,Patrick J. Kennedy,1
970,Tammy Baldwin,Allyson Y. Schwartz,1
972,Tammy Baldwin,Shelley Berkley,1
973,Tammy Baldwin,David R. Obey,1
976,Tammy Baldwin,G. K. Butterfield,1
978,Tammy Baldwin,Donna M. Christensen,1
979,Tammy Baldwin,Eddie Bernice Johnson,1
980,Tammy Baldwin,Robert E. Andrews,1
983,Tammy Baldwin,Linda T. Sanchez,1
985,Tammy Baldwin,Nick J. Rahall,1
987,Tammy Baldwin,Marion Berry,1
988,Tammy Baldwin,George Miller,1
990,Tammy Baldwin,Chellie Pingree,1
991,Tammy Baldwin,Howard L. Berman,1
994,Tammy Baldwin,John Conyers,1
997,Tammy Baldwin,Adam B. Schiff,1
998,Tammy Baldwin,Bob Filner,1
999,Tammy Baldwin,Edolphus Towns,1
1004,Tammy Baldwin,Rick Larsen,1
1005,Tammy Baldwin,Susan A. Davis,1
1008,Tammy Baldwin,Al Green,1
1009,Tammy Baldwin,Mazie K. Hirono,1
1011,Tammy Baldwin,Dennis J. Kucinich,1
1013,Tammy Baldwin,Brian Baird,1
1014,Tammy Baldwin,Paul W. Hodes,1
1016,Tammy Baldwin,James A. Himes,1
1017,Tammy Baldwin,Ed Perlmutter,1
1018,Tammy Baldwin,Joe Courtney,1
1019,Tammy Baldwin,William J. Pascrell,1
1021,Tammy Baldwin,Eleanor Holmes Norton,1
1024,Tammy Baldwin,Jesse L. Jackson,1
1025,Tammy Baldwin,Jackie Speier,1
1029,Tammy Baldwin,Jane Harman,1
1030,Tammy Baldwin,Mary Jo Kilroy,1
1035,Tammy Baldwin,Steven R. Rothman,1
1036,Tammy Baldwin,Jim Mcdermott,1
1040,Tammy Baldwin,Jose E. Serrano,1
1044,Tammy Baldwin,Gene Green,1
1045,Tammy Baldwin,Anna G. Eshoo,1
1047,Tammy Baldwin,Lois Capps,1
1049,Tammy Baldwin,Debbie Wasserman Schultz,1
1051,Tammy Baldwin,Sanford D. Bishop,1
1052,Tammy Baldwin,Anthony D. Weiner,1
1054,Tammy Baldwin,Jared Polis,1
1055,Tammy Baldwin,Robert Wexler,1
1057,Tammy Baldwin,Bart Gordon,1
1058,Tammy Baldwin,Janice D. Schakowsky,1
1060,Tammy Baldwin,Henry A. Waxman,1
1061,Tammy Baldwin,James R. Langevin,1
1063,Tammy Baldwin,Ron Kind,1
1066,Tammy Baldwin,Lynn Woolsey,1
1067,Tammy Baldwin,Neil Abercrombie,1
1072,Tammy Baldwin,Eliot L. Engel,1
1074,Tammy Baldwin,Mike Doyle,1
1083,Tammy Baldwin,Doris O. Matsui,1
1087,Tammy Baldwin,Betty Mccollum,1
1091,Tammy Baldwin,John B. Larson,1
1094,Tammy Baldwin,Edward J. Markey,1
1095,Tammy Baldwin,Joseph Crowley,1
1099,Tammy Baldwin,Leonard L. Boswell,1
1101,Tammy Baldwin,Donna F. Edwards,1
1105,Tammy Baldwin,Michael H. Michaud,1
1106,Tammy Baldwin,Theodore E. Deutch,1
1112,Tammy Baldwin,"Henry C. ""Hank"" Johnson",1
1115,Tammy Baldwin,Lucille Roybal-Allard,1
1117,Tammy Baldwin,Raul M. Grijalva,1
1123,Tammy Baldwin,Joe Sestak,1
1124,Tammy Baldwin,Albio Sires,1
1128,Tammy Baldwin,Diana Degette,1
1130,Tammy Baldwin,Chaka Fattah,1
1131,Tammy Baldwin,Charles A. Gonzalez,1
1132,Tammy Baldwin,"Robert C. ""Bobby"" Scott",1
1134,Tammy Baldwin,Peter A. Defazio,1
1143,Tammy Baldwin,Rick Boucher,1
1144,Tammy Baldwin,Michael M. Honda,1
1145,Tammy Baldwin,Steve Kagen,1
1148,Tammy Baldwin,Maxine Waters,1
1150,Tammy Baldwin,Stephen F. Lynch,1
1157,Tammy Baldwin,Rosa Delauro,1
1159,Tammy Baldwin,Brian Higgins,1
1160,Tammy Baldwin,Kendrick B. Meek,1
1161,Tammy Baldwin,Russ Carnahan,1
1164,Tammy Baldwin,James L. Oberstar,1
1167,Tammy Baldwin,Dennis Moore,1
1169,Tammy Baldwin,Gary L. Ackerman,1
1171,Tammy Baldwin,Kathy Castor,1
1172,Tammy Baldwin,Jay Inslee,1
1174,Tammy Baldwin,James P. Moran,1
1175,Tammy Baldwin,Brad Sherman,1
1177,Tammy Baldwin,Luis V. Gutierrez,1
1179,Tammy Baldwin,Bruce L. Braley,1
1182,Tammy Baldwin,Keith Ellison,1
1183,Tammy Baldwin,Patrick J. Murphy,1
1184,Tammy Baldwin,Barney Frank,1
1189,Tammy Baldwin,Lloyd Doggett,1
1192,Tammy Baldwin,Yvette D. Clarke,1
1199,Tammy Baldwin,James E. Clyburn,1
1200,Tammy Baldwin,Robert A. Brady,1
1201,Tammy Baldwin,Phil Hare,1
1202,Tammy Baldwin,Grace F. Napolitano,1
1203,Tammy Baldwin,Frank Pallone,1
1205,Tammy Baldwin,John F. Tierney,1
1206,Tammy Baldwin,Steve Driehaus,1
1207,Tammy Baldwin,Timothy H. Bishop,1
1208,Tammy Baldwin,Earl Blumenauer,1
1211,Tammy Baldwin,Betty Sutton,1
1212,Tammy Baldwin,Ben Chandler,1
1215,Tammy Baldwin,John P. Sarbanes,1
1220,Tammy Baldwin,Pete Stark,1
1223,Tammy Baldwin,Steve Israel,1
1235,Tammy Baldwin,Gary C. Peters,1
1238,Tammy Baldwin,Nydia M. Velazquez,1
1239,Tammy Baldwin,Jerry Mcnerney,1
1246,Tammy Baldwin,Dale E. Kildee,1
1253,Tammy Baldwin,Christopher Murphy,1
1254,Tammy Baldwin,John Barrow,1
1255,Tammy Baldwin,Alan Grayson,1
1257,Tammy Baldwin,Jason Altmire,1
1259,Tammy Baldwin,Brad Miller,1
1260,Tammy Baldwin,Bill Delahunt,1
1262,Tammy Baldwin,Loretta Sanchez,1
1265,Tammy Baldwin,Peter Welch,1
1266,Tammy Baldwin,Corrine Brown,1
1271,Tammy Baldwin,David Loebsack,1
1277,Tammy Baldwin,Carol Shea-Porter,1
1282,Tammy Baldwin,Richard E. Neal,1
1287,Tammy Baldwin,John P. Murtha,1
1290,Tammy Baldwin,C. A. Dutch Ruppersberger,1
1291,Tammy Baldwin,Marcia L. Fudge,1
1292,Tammy Baldwin,John A. Yarmuth,1
1294,Tammy Baldwin,Paul Tonko,1
1297,Tammy Baldwin,Dina Titus,1
1302,Tammy Baldwin,Niki Tsongas,1
1303,Tammy Baldwin,Martin Heinrich,1
1306,Tammy Baldwin,David Wu,1
1307,Tammy Baldwin,Adam Smith,1
1308,Tammy Baldwin,Andre Carson,1
1311,Tammy Baldwin,Daniel B. Maffei,1
1313,Tammy Baldwin,Timothy J. Walz,1
1317,Tammy Baldwin,Kathleen A. Dahlkemper,1
1319,Tammy Baldwin,Mike Quigley,1
1326,Tammy Baldwin,Ed Pastor,1
1330,Tammy Baldwin,John W. Olver,1
1335,Tammy Baldwin,Judy Chu,1
1339,Tammy Baldwin,John Garamendi,1
1355,Jerry Lewis,Scott Garrett,1
1358,Jerry Lewis,Vern Buchanan,1
1359,Jerry Lewis,Mary Bono Mack,1
1360,Jerry Lewis,K. Michael Conaway,1
1361,Jerry Lewis,John Abney Culberson,1
1362,Jerry Lewis,John Linder,1
1366,Jerry Lewis,Paul C. Broun,1
1367,Jerry Lewis,Glenn Thompson,1
1368,Jerry Lewis,Connie Mack,1
1369,Jerry Lewis,Zach Wamp,1
1374,Jerry Lewis,Leonard Lance,1
1375,Jerry Lewis,Daniel Edward Lungren,1
1376,Jerry Lewis,Todd Tiahrt,1
1386,Jerry Lewis,Geoff Davis,1
1387,Jerry Lewis,J. Randy Forbes,1
1394,Jerry Lewis,Robert E. Latta,1
1398,Jerry Lewis,Jerry Moran,1
1402,Jerry Lewis,Rodney Alexander,1
1403,Jerry Lewis,Edward Whitfield,1
1405,Jerry Lewis,Darrell E. Issa,1
1408,Jerry Lewis,David G. Reichert,1
1411,Jerry Lewis,Peter Hoekstra,1
1412,Jerry Lewis,Sue Wilkins Myrick,1
1415,Jerry Lewis,Marsha Blackburn,1
1419,Jerry Lewis,Ted Poe,1
1422,Jerry Lewis,Michael C. Burgess,1
1429,Jerry Lewis,Charles W. Boustany,1
1430,Jerry Lewis,Phil Gingrey,1
1432,Jerry Lewis,Joe Wilson,1
1434,Jerry Lewis,Jeff Fortenberry,1
1437,Jerry Lewis,John L. Mica,1
1440,Jerry Lewis,Lee Terry,1
1444,Jerry Lewis,Bill Posey,1
1448,Jerry Lewis,Dennis A. Cardoza,1
1449,Jerry Lewis,Mike Coffman,1
1451,Jerry Lewis,Christopher J. Lee,1
1455,Jerry Lewis,Roy Blunt,1
1460,Jerry Lewis,Brian P. Bilbray,1
1470,Jerry Lewis,John M. Shimkus,1
1476,Jerry Lewis,Cathy Mcmorris Rodgers,1
1479,Jerry Lewis,Jim Jordan,1
1481,Jerry Lewis,Pete Sessions,1
1482,Jerry Lewis,John A. Boehner,1
1490,Jerry Lewis,Trent Franks,1
1491,Jerry Lewis,Howard P. Mckeon,1
1494,Jerry Lewis,John R. Carter,1
1496,Jerry Lewis,Joe L. Barton,1
1498,Jerry Lewis,Kevin Brady,1
1501,Jerry Lewis,Gary Miller,1
1504,Jerry Lewis,Jo Ann Emerson,1
1507,Jerry Lewis,Patrick J. Tiberi,1
1510,Jerry Lewis,Kay Granger,1
1512,Jerry Lewis,Rodney Frelinghuysen,1
1513,Jerry Lewis,Denny Rehberg,1
1517,Jerry Lewis,John Shadegg,1
1523,Jerry Lewis,Robert W. Goodlatte,1
1525,Jerry Lewis,Candice S. Miller,1
1527,Jerry Lewis,Steve King,1
1528,Jerry Lewis,Joe Baca,1
1529,Jerry Lewis,David Dreier,1
1532,Jerry Lewis,Xavier Becerra,1
1533,Jerry Lewis,Don E. Young,1
1534,Jerry Lewis,Virginia Foxx,1
1540,Jerry Lewis,Louie Gohmert,1
1541,Jerry Lewis,Dana Rohrabacher,1
1544,Jerry Lewis,Michael R. Turner,1
1545,Jerry Lewis,Tom Price,1
1546,Jerry Lewis,Ralph M. Hall,1
1548,Jerry Lewis,Jason Chaffetz,1
1550,Jerry Lewis,Jeb Hensarling,1
1551,Jerry Lewis,Randy Neugebauer,1
1559,Jerry Lewis,Tom Cole,1
1561,Jerry Lewis,John Sullivan,1
1562,Jerry Lewis,Duncan D. Hunter,1
1567,Jerry Lewis,Sam Johnson,1
1569,Jerry Lewis,Jeff Miller,1
1570,Jerry Lewis,Adam H. Putnam,1
1577,Jerry Lewis,Wally Herger,1
1583,Jerry Lewis,Ken Calvert,1
1585,Jerry Lewis,Walter B. Jones,1
1587,Jerry Lewis,Steve Scalise,1
1588,Jerry Lewis,Lamar Smith,1
1600,Jerry Lewis,F. James Sensenbrenner,1
1601,Jerry Lewis,Bill Shuster,1
1602,Jerry Lewis,Steven C. Latourette,1
1603,Jerry Lewis,Gus M. Bilirakis,1
1604,Jerry Lewis,Ginny Brown-Waite,1
1606,Jerry Lewis,Dean Heller,1
1610,Jerry Lewis,John Boozman,1
1614,Jerry Lewis,John Kline,1
1616,Jerry Lewis,Charles W. Dent,1
1618,Jerry Lewis,Bill Cassidy,1
1624,Jerry Lewis,Ander Crenshaw,1
1626,Jerry Lewis,W. Todd Akin,1
1628,Jerry Lewis,Elton Gallegly,1
1629,Jerry Lewis,Joseph R. Pitts,1
1633,Jerry Lewis,Cliff Stearns,1
1634,Jerry Lewis,Fred Upton,1
1635,Jerry Lewis,Stephen E. Buyer,1
1639,Jerry Lewis,Dan Burton,1
1645,Jerry Lewis,Paul Ryan,1
1646,Jerry Lewis,Judy Biggert,1
1652,Jerry Lewis,Tom Petri,1
1657,Jerry Lewis,Shelley Moore Capito,1
1658,Jerry Lewis,Jim Costa,1
1665,Jerry Lewis,Frank R. Wolf,1
1669,Jerry Lewis,Frank D. Lucas,1
1672,Jerry Lewis,Kenny Marchant,1
1673,Jerry Lewis,Patrick Mchenry,1
1675,Jerry Lewis,David P. Roe,1
1676,Jerry Lewis,Mike Rogers,1
1677,Jerry Lewis,Dave Camp,1
1678,Jerry Lewis,Tom Latham,1
1680,Jerry Lewis,Parker Griffith,1
1681,Jerry Lewis,Lynn Jenkins,1
1685,Jerry Lewis,Jean Schmidt,1
1690,Jerry Lewis,Mario Diaz-Balart,1
1691,Jerry Lewis,Timothy V. Johnson,1
1696,Jerry Lewis,Donald Manzullo,1
1699,Jerry Lewis,John Campbell,1
1704,Jerry Lewis,Doc Hastings,1
1711,Jerry Lewis,Kevin Mccarthy,1
1712,Jerry Lewis,Tim Murphy,1
1715,Jerry Lewis,J. Gresham Barrett,1
1716,Jerry Lewis,"Anh ""Joseph"" Cao",1
1718,Jerry Lewis,Blaine Luetkemeyer,1
1721,Jerry Lewis,Nathan Deal,1
1722,Jerry Lewis,Steve Austria,1
1723,Jerry Lewis,Spencer Bachus,1
1726,Jerry Lewis,Eric Cantor,1
1727,Jerry Lewis,Michael K. Simpson,1
1731,Jerry Lewis,Devin Nunes,1
1732,Jerry Lewis,Pete Olson,1
1734,Jerry Lewis,Tom Mcclintock,1
1736,Jerry Lewis,Michael T. Mccaul,1
1737,Jerry Lewis,William M. Thornberry,1
1743,Jerry Lewis,John J. Duncan,1
1747,Jerry Lewis,Mike Pence,1
1748,Jerry Lewis,Bob Inglis,1
1757,Jerry Lewis,Robert B. Aderholt,1
1758,Jerry Lewis,Greg Walden,1
1760,Jerry Lewis,Sam Graves,1
1762,Jerry Lewis,Howard Coble,1
1763,Jerry Lewis,Peter J. Roskam,1
1764,Jerry Lewis,Harold Rogers,1
1766,Jerry Lewis,Mike Rogers.1,1
1770,Jerry Lewis,Nancy Pelosi,1
1772,Jerry Lewis,Adrian Smith,1
1773,Jerry Lewis,Lincoln Diaz-Balart,1
1775,Jerry Lewis,Jack Kingston,1
1776,Jerry Lewis,Cynthia M. Lummis,1
1779,Jerry Lewis,Brett Guthrie,1
1780,Jerry Lewis,Ed Royce,1
1782,Jerry Lewis,Gregg Harper,1
1784,Jerry Lewis,George P. Radanovich,1
1785,Jerry Lewis,Parker Griffith.1,1
1786,Jerry Lewis,Jo Bonner,1
1789,Jerry Lewis,C. W. Bill Young,1
1791,Jerry Lewis,Tom Graves,1
1792,Barbara Lee,Louise M. Slaughter,1
1793,Barbara Lee,Sheila Jackson-Lee,1
1794,Barbara Lee,Tammy Baldwin,1
1797,Barbara Lee,Donald M. Payne,1
1798,Barbara Lee,Sam Farr,1
1800,Barbara Lee,Carolyn B. Maloney,1
1801,Barbara Lee,Gerald E. Connolly,1
1802,Barbara Lee,Nita M. Lowey,1
1804,Barbara Lee,Gwen Moore,1
1811,Barbara Lee,Wm. Lacy Clay,1
1812,Barbara Lee,Steve Cohen,1
1813,Barbara Lee,Maurice D. Hinchey,1
1818,Barbara Lee,Diane E. Watson,1
1819,Barbara Lee,Bobby L. Rush,1
1821,Barbara Lee,Marcy Kaptur,1
1826,Barbara Lee,Danny K. Davis,1
1827,Barbara Lee,John Lewis,1
1828,Barbara Lee,Jerrold Nadler,1
1830,Barbara Lee,Elijah E. Cummings,1
1831,Barbara Lee,Rush D. Holt,1
1832,Barbara Lee,Michael E. Capuano,1
