,From,To,edge
2,Louise M. Slaughter,Tammy Baldwin,1
4,Louise M. Slaughter,Barbara Lee,1
5,Louise M. Slaughter,Donald M. Payne,1
6,Louise M. Slaughter,Sam Farr,1
8,Louise M. Slaughter,Carolyn B. Maloney,1
9,Louise M. Slaughter,Gerald E. Connolly,1
10,Louise M. Slaughter,Nita M. Lowey,1
12,Louise M. Slaughter,Gwen Moore,1
13,Louise M. Slaughter,Tim Ryan,1
19,Louise M. Slaughter,Wm. Lacy Clay,1
20,Louise M. Slaughter,Steve Cohen,1
21,Louise M. Slaughter,Maurice D. Hinchey,1
26,Louise M. Slaughter,Diane E. Watson,1
27,Louise M. Slaughter,Bobby L. Rush,1
29,Louise M. Slaughter,Marcy Kaptur,1
33,Louise M. Slaughter,Michael A. Arcuri,1
34,Louise M. Slaughter,Danny K. Davis,1
35,Louise M. Slaughter,John Lewis,1
36,Louise M. Slaughter,Jerrold Nadler,1
38,Louise M. Slaughter,Elijah E. Cummings,1
39,Louise M. Slaughter,Rush D. Holt,1
40,Louise M. Slaughter,Michael E. Capuano,1
41,Louise M. Slaughter,Carolyn Mccarthy,1
44,Louise M. Slaughter,Carolyn Cheeks Kilpatrick,1
46,Louise M. Slaughter,Laura Richardson,1
47,Louise M. Slaughter,Alcee L. Hastings,1
48,Louise M. Slaughter,Emanuel Cleaver,1
52,Louise M. Slaughter,David E. Price,1
55,Louise M. Slaughter,James P. Mcgovern,1
57,Louise M. Slaughter,John J. Hall,1
63,Louise M. Slaughter,Zoe Lofgren,1
65,Louise M. Slaughter,Chris Van Hollen,1
66,Louise M. Slaughter,Patrick J. Kennedy,1
70,Louise M. Slaughter,Gregory W. Meeks,1
73,Louise M. Slaughter,Michael E. Mcmahon,1
74,Louise M. Slaughter,Allyson Y. Schwartz,1
76,Louise M. Slaughter,Shelley Berkley,1
83,Louise M. Slaughter,Eddie Bernice Johnson,1
84,Louise M. Slaughter,Robert E. Andrews,1
87,Louise M. Slaughter,Linda T. Sanchez,1
92,Louise M. Slaughter,George Miller,1
94,Louise M. Slaughter,Chellie Pingree,1
95,Louise M. Slaughter,Howard L. Berman,1
98,Louise M. Slaughter,John Conyers,1
101,Louise M. Slaughter,Adam B. Schiff,1
102,Louise M. Slaughter,Bob Filner,1
103,Louise M. Slaughter,Edolphus Towns,1
