,Representative,State,capital,latitude,longitude
89,John F. Reed (RI),Rhode Island,Providence,41.830914,-71.414963
90,Jerry Moran (KS),Kansas,Topeka,39.048191,-95.677956
91,Maria Cantwell (WA),Washington,Olympia,47.035805,-122.905014
92,Rand Paul (KY),Kentucky,Frankfort,38.186722,-84.875374
93,Thomas R. Carper (DE),Delaware,Dover,39.157307,-75.519722
94,Pat Toomey (PA),Pennsylvania,Harrisburg,40.264378,-76.883598
95,Lamar Alexander (TN),Tennessee,Nashville,36.16581,-86.784241
96,Kyrsten Sinema (AZ),Arizona,Phoenix,33.448143,-112.096962
97,Jacklyn Rosen (NV),Nevada,Carson City,39.163914,-119.766121
98,Lindsey O. Graham (SC),South Carolina,Columbia,34.000343,-81.033211
99,James E. Risch (ID),Idaho,Boise,43.617775,-116.199722
100,Johnny Isakson (GA),Georgia,Atlanta,33.749027,-84.388229
101,Kelly Loeffler (GA),Georgia,Atlanta,33.749027,-84.388229
